,CTBP2,TXNRD1,HSPG2,CCNA2,CCNB1,CCNB2,BUB1B,BUB1,AURKA,KIF11,CDC20,RRM2,UBE2C
CTBP2,1,0.912273027,0.893980898,-0.774490623,-0.873355717,-0.809378307,-0.708913817,-0.781751494,-0.807042375,-0.710531185,-0.782309601,-0.708777962,-0.413376726
TXNRD1,0.912273027,1,0.927920342,-0.650904238,-0.809939882,-0.710992917,-0.546709411,-0.64391895,-0.747546552,-0.572666661,-0.664957395,-0.534746257,-0.733215771
HSPG2,0.893980898,0.927920342,1,-0.783934161,-0.914717067,-0.836120293,-0.728543825,-0.782496694,-0.899238971,-0.743159226,-0.741787686,-0.715395995,-0.597298327
CCNA2,-0.774490623,-0.650904238,-0.783934161,1,0.909744039,0.875663094,0.899625865,0.91045648,0.881883953,0.933313694,0.950311613,0.942498403,0.180030786
CCNB1,-0.873355717,-0.809939882,-0.914717067,0.909744039,1,0.930370847,0.892852629,0.942573054,0.919242973,0.914689948,0.862116908,0.897774136,0.376888764
CCNB2,-0.809378307,-0.710992917,-0.836120293,0.875663094,0.930370847,1,0.830807157,0.919231121,0.825512161,0.935572116,0.900258223,0.889318748,0.191875903
BUB1B,-0.708913817,-0.546709411,-0.728543825,0.899625865,0.892852629,0.830807157,1,0.933668369,0.868096907,0.944985537,0.833075186,0.947527546,0.054697744
BUB1,-0.781751494,-0.64391895,-0.782496694,0.91045648,0.942573054,0.919231121,0.933668369,1,0.911408757,0.963815918,0.87851477,0.974196836,0.11803347
AURKA,-0.807042375,-0.747546552,-0.899238971,0.881883953,0.919242973,0.825512161,0.868096907,0.911408757,1,0.851916199,0.789646567,0.884919177,0.333581333
KIF11,-0.710531185,-0.572666661,-0.743159226,0.933313694,0.914689948,0.935572116,0.944985537,0.963815918,0.851916199,1,0.928040628,0.978375813,0.058777089
CDC20,-0.782309601,-0.664957395,-0.741787686,0.950311613,0.862116908,0.900258223,0.833075186,0.87851477,0.789646567,0.928040628,1,0.902884118,0.14326653
RRM2,-0.708777962,-0.534746257,-0.715395995,0.942498403,0.897774136,0.889318748,0.947527546,0.974196836,0.884919177,0.978375813,0.902884118,1,-0.004377678
UBE2C,-0.413376726,-0.733215771,-0.597298327,0.180030786,0.376888764,0.191875903,0.054697744,0.11803347,0.333581333,0.058777089,0.14326653,-0.004377678,1
