"","category","ID","term","count","genes","logFC","adj_pval","zscore"
"1","BP","GO:0043066","negative regulation of apoptotic process",17,"SERPINB2",-1.643285132,0.037807731,-4.12310562561766
"2","BP","GO:0043066","negative regulation of apoptotic process",17,"MSX2",-1.108137438,0.037807731,-4.12310562561766
"3","BP","GO:0043066","negative regulation of apoptotic process",17,"CBX4",-1.274258813,0.037807731,-4.12310562561766
"4","BP","GO:0043066","negative regulation of apoptotic process",17,"BCL11B",-1.688387658,0.037807731,-4.12310562561766
"5","BP","GO:0043066","negative regulation of apoptotic process",17,"CITED2",-1.957983703,0.037807731,-4.12310562561766
"6","BP","GO:0043066","negative regulation of apoptotic process",17,"PLK2",-1.969957039,0.037807731,-4.12310562561766
"7","BP","GO:0043066","negative regulation of apoptotic process",17,"TENT5B",-1.687621541,0.037807731,-4.12310562561766
"8","BP","GO:0043066","negative regulation of apoptotic process",17,"THBS1",-2.628866139,0.037807731,-4.12310562561766
"9","BP","GO:0043066","negative regulation of apoptotic process",17,"DKK1",-2.26967081,0.037807731,-4.12310562561766
"10","BP","GO:0043066","negative regulation of apoptotic process",17,"AURKA",-2.157863191,0.037807731,-4.12310562561766
"11","BP","GO:0043066","negative regulation of apoptotic process",17,"HSP90B1",-1.080957784,0.037807731,-4.12310562561766
"12","BP","GO:0043066","negative regulation of apoptotic process",17,"MIEN1",-1.055515865,0.037807731,-4.12310562561766
"13","BP","GO:0043066","negative regulation of apoptotic process",17,"CTSH",-2.030209213,0.037807731,-4.12310562561766
"14","BP","GO:0043066","negative regulation of apoptotic process",17,"BIRC5",-4.82778078,0.037807731,-4.12310562561766
"15","BP","GO:0043066","negative regulation of apoptotic process",17,"NAA38",-1.422779801,0.037807731,-4.12310562561766
"16","BP","GO:0043066","negative regulation of apoptotic process",17,"CRYAB",-1.075511568,0.037807731,-4.12310562561766
"17","BP","GO:0043066","negative regulation of apoptotic process",17,"PPARD",-1.395993315,0.037807731,-4.12310562561766
"18","BP","GO:0015031","protein transport",18,"BTF3",-1.086859698,0.003157091,-4.24264068711929
"19","BP","GO:0015031","protein transport",18,"SLC15A1",-2.162547782,0.003157091,-4.24264068711929
"20","BP","GO:0015031","protein transport",18,"NBAS",-1.196777922,0.003157091,-4.24264068711929
"21","BP","GO:0015031","protein transport",18,"PRAF2",-1.067179941,0.003157091,-4.24264068711929
"22","BP","GO:0015031","protein transport",18,"COMMD1",-1.05381083,0.003157091,-4.24264068711929
"23","BP","GO:0015031","protein transport",18,"COPZ1",-1.261227883,0.003157091,-4.24264068711929
"24","BP","GO:0015031","protein transport",18,"HSP90B1",-1.080957784,0.003157091,-4.24264068711929
"25","BP","GO:0015031","protein transport",18,"SCAMP2",-1.113366368,0.003157091,-4.24264068711929
