Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	155	39.54081632653062	2.503684390189911E-9	NCF2, GMNN, CTNND1, HJURP, BUB1B, ABCA12, IFIT1, CDC20, RGS2, MT2A, CDC23, LAMP1, STMN1, COTL1, MAP3K8, RPL39, B2M, RPS10, PPFIA3, RPTN, EPHB3, KRT4, MSX2, C17ORF49, AP1B1, LMO7, RUNDC3A, KRT9, INPP4B, MYL6, DAAM1, RBP1, PSME1, GEMIN4, PSME2, SNRPF, PHLDB2, FLG, MAOA, PSMD13, CDCA5, C1ORF198, NCAPG, HMMR, WDR62, RPS4Y1, DDX60, MTMR4, SKA3, HIF1A, SKA1, HSP90B1, CCNB2, CCNB1, COMMD9, PDZD2, SERF2, SPRR2D, FANCI, BTF3, FIS1, CDT1, RPL41, TFAP2C, UBE2C, PLK2, ISG15, EEF2, NDC80, TPX2, POLA2, HAL, DIAPH3, KIF4A, CHMP2A, CALM3, BLMH, ACO2, COPS8, GSDME, ABCD3, MCM7, CITED2, COX4I1, HSPB8, QPRT, KRT24, CLTB, KRT23, YBX1, KIF11, RND3, OASL, CTSH, MYBL2, DLGAP5, ZNF385A, MIOS, ARG1, CKAP2L, GAB1, COMMD1, SMC1A, COPZ1, RHOB, CCNA2, IL1A, ARL4A, SAPCD2, PSMA2, PELI1, BIRC5, MCM5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, NBAS, ACSS2, ATF6B, NXN, RAB1B, DCTN3, ADD3, TYMS, AURKA, PSMB6, NT5E, MIEN1, RASSF10, VPS51, VPS52, POLR2F, TNNI2, CKB, GBP2, RPL18, FNIP2, XDH, BUB1, POLR2K, RRM2, CENPF, PSMC5, NLRP10, PRC1, KRT15, RAB13, EIF3H, PFKM, CDKN3	374	5627	20647	1.5206880690787066	1.161708874763967E-6	1.1617095570481185E-6	1.11914692241489E-6
GOTERM_CC_DIRECT	GO:0000940~condensed chromosome outer kinetochore	7	1.7857142857142856	5.149260367191231E-8	CENPF, CCNB1, BUB1B, SKA3, BUB1, NDC80, SKA1	374	13	20647	29.726244343891402	2.3892283272264336E-5	1.1946284051883657E-5	1.1508596920672402E-5
GOTERM_CC_DIRECT	GO:0000776~kinetochore	16	4.081632653061225	2.6423653838560924E-7	CDT1, PLK2, DCTN3, HJURP, BUB1B, SMC1A, SKA3, NDC80, SKA1, AURKA, CDC20, CENPF, CHMP2A, BIRC5, KIF2C, BUB1	374	162	20647	5.452432824981844	1.2259825424854043E-4	4.0868584603640896E-5	3.9371244219455775E-5
GOTERM_CC_DIRECT	GO:0005819~spindle	15	3.826530612244898	5.540179117793131E-7	DCTN3, BUB1B, KIF11, HMMR, SHCBP1, AURKA, CDC20, ASPM, TPX2, CENPF, PRC1, BIRC5, KIF2C, KIF20A, SAC3D1	374	149	20647	5.557639163047769	2.570313440527494E-4	6.426607776640032E-5	6.191150164133823E-5
GOTERM_CC_DIRECT	GO:0005876~spindle microtubule	8	2.0408163265306123	1.2792269785200289E-5	PRC1, KIF4A, BIRC5, CALM3, KIF11, SKA3, SKA1, AURKA	374	44	20647	10.037433155080214	0.005918069970832662	0.0011871226360665869	0.0011436289187969058
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	142	36.224489795918366	2.0174399600515238E-5	SCARB1, FAM89B, GMNN, MT1M, CTNND1, TESK2, BUB1B, MT1X, ABCA12, IFIT1, AQP3, IPO4, RGS2, MT2A, CDC23, SESN3, LAMP1, RASSF5, STMN1, CHP1, TGM5, RPS10, TGM3, FST, SLC30A1, DNAAF5, LMO7, JMJD8, INPP4B, OLFM2, NCL, PSME1, MT1F, GEMIN4, PSME2, MT1H, SPATA18, MT1E, CEMIP, DLX5, CDCA5, NOLC1, NCAPG, HMMR, DDX60, MTMR4, HIF1A, C12ORF57, CCNB2, CCNB1, PDZD2, EIF4EBP3, SAC3D1, SPRR2D, MFAP3L, FANCI, BTF3, RPL41, TPRG1, PLK2, IFI44, ISG15, CNFN, MT4, EEF2, MRPL21, NDC80, IL1F10, TPX2, DIAPH3, NACA, KIF4A, ID4, CALM3, BLMH, COPS8, GSDME, CITED2, ZFAS1, HSPB8, QPRT, ZBTB8OS, YBX1, KIF11, SIPA1L2, OASL, ROBO1, MMP28, GET3, DLGAP5, ZNF385A, CEP55, ZNF365, EDN1, SERPINB2, MIOS, ARG1, GAB1, COMMD1, TENT5B, REXO2, CCNA2, ASPM, ARL4A, MRPS9, TUBB2A, PSMA2, BIRC5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, OAT, ACSS2, TUFT1, TYMS, PHYHIP, PSMB6, LMAN1, PPP1R7, GBP2, FILIP1L, RPL18, FNIP2, KLK13, NAP1L1, SHCBP1, CENPF, WEE1, PSMC5, KITLG, NLRP10, PRC1, CDK2AP2, NUCB1, PFKM, CDKN3	374	5771	20647	1.3583842131550246	0.009317337928751002	0.0015601535691065116	0.0015029927702383853
GOTERM_CC_DIRECT	GO:0005634~nucleus	147	37.5	3.956059569292375E-5	EHF, GMNN, MT1M, CTNND1, HJURP, TESK2, BUB1B, MT1X, IPO4, RGS2, MT2A, CHCHD2, ZSCAN31, SESN3, RASSF5, COTL1, CHP1, KRT4, MSX2, FST, LMO7, OVOL1, JMJD8, KRT9, OLFM2, NCL, RBP1, HAT1, MT1F, MT1H, KIF20A, SNRPF, MT1E, FLG, CEMIP, PSMD13, DLX5, CDCA5, NCAPG, WDR62, RPS4Y1, HIF1A, GLIS1, HSP90B1, CCNB2, CCNB1, PDZD2, NTHL1, SERF2, SAC3D1, ZBTB7C, MFAP3L, BTF3, CDT1, TFAP2C, CBX4, BCL11B, UBE2C, PLK2, XRCC1, ISG15, MT4, EEF2, NDC80, TPX2, POLA2, MAFB, DIAPH3, NACA, ID4, CALM3, BLMH, HPSE, COPS8, MCM7, CITED2, ZFAS1, HSPB8, TECR, NCAPG2, ZBTB8OS, MCM10, YBX1, KIF11, FOXM1, NAT14, EXO1, PBK, IDH3B, TIMP3, MYBL2, DLGAP5, ZNF385A, ZHX3, ARG1, COMMD1, SMC1A, TENT5B, REXO2, RHOB, CCNA2, ASPM, IL1A, MN1, ARL4A, TUBB2A, PSMA2, PELI1, BIRC5, MCM5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, PPARD, HDAC5, ATF6B, NXN, TYMS, AURKA, PSMB6, PPP1R7, POLR2F, TNNI2, CKB, GBP2, FILIP1L, RPL18, BUB1, POLR2K, RRM2, ATP5PB, NAP1L1, SSRP1, GRHL1, CENPF, WEE1, PSMC5, PRC1, KRT15, CDK2AP2, TRIP13, PFKM, SSBP3, CDKN3	374	6100	20647	1.3303712632594022	0.018189025518010493	0.002622302343073803	0.002526226610676702
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	66	16.83673469387755	7.783175533102401E-5	SCARB1, SLC44A2, CD81, QPRT, CTNND1, KRT24, YBX1, LAMP1, STMN1, COTL1, CTSH, CHP1, GET3, B2M, TGM3, ATP6AP1, RNASET2, HLA-A, RHOB, KRT9, HLA-E, SCAMP2, TOM1L2, SCNN1G, MYL6, TUBB2A, PSMA2, SCNN1B, NCL, UFC1, GEMIN4, PSME1, PSME2, PABPC1, CDH16, CRYAB, CFD, SPRR3, PMEL, SEMA3C, RAB1B, FBLN1, GDPD3, LTBP2, THBS1, HSP90B1, DPP4, PSMB6, LMAN1, NT5E, PPP1R7, CKB, GPR155, EEF2, SORL1, VASN, NUDT9, PSMC5, NACA, KRT15, RAB13, CHMP2A, NUCB1, EIF3H, BLMH, COPS8	374	2240	20647	1.6266018907563027	0.035470961665809875	0.004514241809199393	0.004348849329120967
GOTERM_CC_DIRECT	GO:0001533~cornified envelope	8	2.0408163265306123	1.1194194389239247E-4	FLG, SPRR3, CDSN, SERPINB2, NCL, CNFN, RPTN, SPRR2D	374	61	20647	7.240115718418514	0.050617940176955645	0.005771229107341123	0.005559783213322159
GOTERM_CC_DIRECT	GO:0030496~midbody	13	3.316326530612245	1.7629387837377012E-4	DCTN3, CTNND1, SHCBP1, AURKA, HSP90B1, ASPM, CENPF, PRC1, KIF4A, CHMP2A, BIRC5, KIF20A, CEP55	374	189	20647	3.797230003112356	0.07855074467894207	0.008180035956542934	0.007880336363307525
