Category,ID,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
KEGG_PATHWAY,hsa04110,Cell cycle,15,3.826530612,2.13E-05,"CDT1, MCM7, CDCA5, BUB1B, SMC1A, NDC80, CCNA2, CDC20, CCNB2, WEE1, CCNB1, CDC23, MCM5, TRIP13, BUB1",207,157,8644,3.98966122,0.00520375,0.005217281,0.005089511
KEGG_PATHWAY,hsa05020,Prion disease,18,4.591836735,2.59E-04,"COX7B, ATF6B, NDUFA11, ATP5PB, NDUFB11, NCF2, PSMD13, COX4I1, COX7A2, SDHD, COX6A1, UQCRHL, PSMB6, IL1A, PSMC5, TUBB2A, PSMA2, NDUFS3",207,272,8644,2.76342711,0.06142205,0.029370561,0.028651282
KEGG_PATHWAY,hsa05016,Huntington disease,19,4.846938776,3.60E-04,"COX7B, NDUFA11, ATP5PB, NDUFB11, PSMD13, COX4I1, DCTN3, CLTB, COX7A2, SDHD, COX6A1, UQCRHL, PSMB6, PSMC5, TUBB2A, PSMA2, NDUFS3, POLR2F, POLR2K",207,306,8644,2.59284519,0.084355904,0.029370561,0.028651282
KEGG_PATHWAY,hsa05012,Parkinson disease,17,4.336734694,6.02E-04,"COX7B, NDUFA11, MAOA, ATP5PB, NDUFB11, PSMD13, COX4I1, COX7A2, SDHD, COX6A1, UQCRHL, PSMB6, PSMC5, TUBB2A, PSMA2, NDUFS3, CALM3",207,266,8644,2.668773383,0.137087209,0.036849322,0.03594689
KEGG_PATHWAY,hsa00190,Oxidative phosphorylation,11,2.806122449,0.00132759,"COX7B, NDUFA11, ATP6AP1, ATP5PB, NDUFB11, COX4I1, NDUFS3, COX7A2, SDHD, COX6A1, UQCRHL",207,134,8644,3.4279328,0.277816286,0.065051925,0.063458816
KEGG_PATHWAY,hsa04978,Mineral absorption,7,1.785714286,0.002921646,"MT2A, MT1M, MT1F, MT1H, SLC30A1, MT1X, MT1E",207,60,8644,4.871819646,0.511712495,0.119300532,0.116378887
KEGG_PATHWAY,hsa04932,Non-alcoholic fatty liver disease,11,2.806122449,0.003880091,"IL1A, COX7B, NDUFA11, NDUFB11, COX4I1, NDUFS3, COX7A2, SDHD, ADIPOR1, COX6A1, UQCRHL",207,155,8644,2.963503195,0.614213537,0.126012197,0.122926184
KEGG_PATHWAY,hsa03050,Proteasome,6,1.530612245,0.004538117,"PSMB6, PSMC5, PSMA2, PSMD13, PSME1, PSME2",207,46,8644,5.446754883,0.67187778,0.126012197,0.122926184
KEGG_PATHWAY,hsa05010,Alzheimer disease,19,4.846938776,0.004629019,"COX7B, NDUFA11, ATP5PB, NDUFB11, PSMD13, COX4I1, COX7A2, SDHD, COX6A1, DKK1, UQCRHL, PSMB6, IL1A, BACE2, PSMC5, TUBB2A, PSMA2, NDUFS3, CALM3",207,384,8644,2.06617351,0.67913757,0.126012197,0.122926184
KEGG_PATHWAY,hsa05415,Diabetic cardiomyopathy,12,3.06122449,0.009189369,"COX7B, NDUFA11, NCF2, ATP5PB, NDUFB11, MPC1, COX4I1, NDUFS3, COX7A2, SDHD, COX6A1, UQCRHL",207,203,8644,2.468480046,0.89583757,0.22513955,0.219625929
KEGG_PATHWAY,hsa04218,Cellular senescence,10,2.551020408,0.012178575,"CCNA2, IL1A, CCNB2, CCNB1, RASSF5, CALM3, MYBL2, HLA-A, FOXM1, HLA-E",207,156,8644,2.676823981,0.950315824,0.271250091,0.264607231
KEGG_PATHWAY,hsa05208,Chemical carcinogenesis - reactive oxygen species,12,3.06122449,0.017641616,"COX7B, NDUFA11, NCF2, ATP5PB, NDUFB11, COX4I1, NDUFS3, COX7A2, SDHD, COX6A1, HIF1A, UQCRHL",207,223,8644,2.247091701,0.987231519,0.360182993,0.351362185
KEGG_PATHWAY,hsa05014,Amyotrophic lateral sclerosis,16,4.081632653,0.027248056,"COX7B, NDUFA11, ATP5PB, NDUFB11, PSMD13, COX4I1, DCTN3, COX7A2, SDHD, COX6A1, UQCRHL, PSMB6, PSMC5, TUBB2A, PSMA2, NDUFS3",207,364,8644,1.835536444,0.998850481,0.503100288,0.490779464
KEGG_PATHWAY,hsa04145,Phagosome,9,2.295918367,0.028748588,"SCARB1, TUBB2A, ATP6AP1, LAMP1, NCF2, HLA-A, THBS2, THBS1, HLA-E",207,152,8644,2.472540046,0.999212487,0.503100288,0.490779464
KEGG_PATHWAY,hsa04115,p53 signaling pathway,6,1.530612245,0.031329372,"CCNB2, CCNB1, RRM2, SESN3, THBS1, ZNF385A",207,74,8644,3.385820603,0.999589652,0.511713074,0.499181325
KEGG_PATHWAY,hsa05022,Pathways of neurodegeneration - multiple diseases,19,4.846938776,0.034884437,"COX7B, NDUFA11, ATP5PB, NDUFB11, PSMD13, COX4I1, DCTN3, COX7A2, SDHD, COX6A1, DKK1, UQCRHL, PSMB6, IL1A, PSMC5, TUBB2A, PSMA2, NDUFS3, CALM3",207,476,8644,1.66682905,0.999833301,0.531325153,0.518313109
KEGG_PATHWAY,hsa04114,Oocyte meiosis,8,2.040816327,0.03686746,"CDC20, CCNB2, CCNB1, CDC23, CALM3, SMC1A, BUB1, AURKA",207,131,8644,2.550134602,0.999899287,0.531325153,0.518313109
KEGG_PATHWAY,hsa05166,Human T-cell leukemia virus 1 infection,10,2.551020408,0.083276075,"CCNA2, CDC20, CCNB2, CDC23, MSX2, ATF6B, BUB1B, HLA-A, B2M, HLA-E",207,222,8644,1.881011446,0.999999999,1,0.979508197
KEGG_PATHWAY,hsa04142,Lysosome,7,1.785714286,0.095254873,"ATP6AP1, LAMP1, CTSK, AP1B1, CLTB, CTSH, CD68",207,132,8644,2.214463475,1,1,0.979508197
KEGG_PATHWAY,hsa04914,Progesterone-mediated oocyte maturation,6,1.530612245,0.096135699,"CCNA2, CCNB2, CCNB1, CDC23, BUB1, AURKA",207,102,8644,2.456379653,1,1,0.979508197
