"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TSPAN6",6.79756881531215,-2.08956841337903,0.819848632535379,0.00165748547649101,0.00639276120055225
"LAS1L",21.9810785756794,-1.41580205584736,0.42158466768918,0.000262192724362321,0.00123955450366565
"SEMA3F",43.2852067833556,-2.36648005971288,0.326636930278905,7.16438581742347e-14,1.1390382981618e-12
"LAP3",19.7561801112173,-1.53084613789285,0.453065027563412,0.000211647770097613,0.00102374315714934
"RBM5",329.452065709463,1.81000014286559,0.206038716379682,5.5140874937719e-19,1.18527114352106e-17
"ARF5",164.947658527375,-0.81015922224292,0.167358410205012,8.76437123448156e-07,6.62367596034204e-06
"POLDIP2",120.10237738997,-0.914568193604562,0.197222865246183,2.15494409131945e-06,1.5313196941405e-05
"FKBP4",463.211847561009,0.451267122038297,0.114230651846562,6.58885601075741e-05,0.00035898299195
"RECQL",535.561625345351,1.85846736369545,0.176864788371424,2.38111715997892e-26,7.33469125172076e-25
"ARHGAP33",8.91815020148677,2.0702439169112,1.04836937623679,0.00959768393678001,0.0288909577151023
"NDUFAB1",81.6233339093508,-0.768133504905411,0.25872140413879,0.00205317093887032,0.00768097192564083
"CDC27",43.1430047305333,0.829240630398371,0.307356880913611,0.00455523575353052,0.0154036396468319
"HCCS",110.915367583637,1.03210035080091,0.203919544740966,2.39731550055682e-07,1.98696419865971e-06
"PRSS22",72.7418581563756,2.29020802989146,0.360567192783935,4.95002064243334e-11,6.1209932675251e-10
"UPF1",106.896140982526,0.489310474557148,0.211437012287346,0.0178591115943024,0.0485435769157717
"SLC25A5",392.143601063938,-2.32736261872335,0.135471673372654,6.32452436751378e-67,5.28960219828425e-65
"FAM214B",151.924085198622,1.39831482909977,0.198360797386225,7.23142258700935e-13,1.05378702957475e-11
"CREBBP",84.6868742170062,0.894242806235122,0.282741251105184,0.000978403089363693,0.00399702860663676
"WDR54",5.22663162874265,-1.71677741345528,0.974302224961825,0.0137610387025575,0.0391712735345076
"CROT",7.10262676604535,-3.1011152847297,0.953254997914702,0.000109879348642858,0.000569194824050843
"KMT2E",59.7910446348461,0.961004212576604,0.296968666191937,0.000710955398795178,0.00302068488404355
"SOX8",16.8639966654017,6.62346326780809,2.3644739266937,4.1597601645451e-07,3.32395427161102e-06
"FBXL3",43.2673968884685,1.29731125891073,0.324964653099562,2.72374644600828e-05,0.000160357085985129
"ITGA3",120.572893034118,0.556765500685578,0.185897522135172,0.00230671612436454,0.00851141243749482
"ZFX",34.3641527014179,1.38362704712701,0.415602308773501,0.00032994646673984,0.00152515459311235
"REX1BD",5.34493359360072,-2.75386125720197,1.05795331743732,0.000963346697523225,0.00394837672284541
"MAP3K14",20.8641449516022,2.09711253179378,0.510692660139884,8.47415771243526e-06,5.48514898834928e-05
"TMEM132A",22.6282547073305,1.20888243573402,0.465848385529516,0.00400091980652996,0.0137824361550333
"AP2B1",137.898797213961,1.31564133593876,0.183767859034614,3.43507871495672e-13,5.17454572441864e-12
"ZNF263",41.374098097587,1.12248154027759,0.346620056269054,0.000592239237446428,0.00257333169923196
"SPATA20",10.3407642426892,1.25482889576549,0.609584545723301,0.0146582509454451,0.041316148498191
"TNFRSF12A",979.184796857992,2.07843332616691,0.0968736388696299,8.76575487798091e-103,1.24708677645502e-100
"MAP3K9",44.5972757600941,0.944247246693121,0.327964803196627,0.00234522845944961,0.00864372508179732
"BAIAP2L1",99.6016904856885,0.605382546684232,0.222598315496861,0.0052376030860254,0.01734139217542
"KDM7A",45.5126032611037,1.21463714585569,0.309253024020642,3.84837648133892e-05,0.000219452873729244
"TTC22",11.5963416922196,-1.28378180083498,0.58102364088249,0.00929482065314937,0.0281784984651716
"GGCT",132.892982306462,-2.30330346339264,0.220774209144853,2.97965958934136e-26,9.09719078161743e-25
"IFRD1",132.635128619225,0.838149559019216,0.235016913077107,0.000242848972345503,0.00115762204434126
"PRSS21",9.11670285620664,1.67395063899458,0.760550769700451,0.00661279366653759,0.0211822205192281
"CCDC124",63.0726260849318,-1.98507629331603,0.298484347753378,6.06795250244776e-12,8.14569499355828e-11
"PAFAH1B1",160.230634489123,0.495140783463752,0.160443446332533,0.00176219287671491,0.00675132195965179
"RHBDF1",134.362460661816,2.21702682353142,0.251060773062794,2.4382617049597e-19,5.35796361917896e-18
"LUC7L",42.9339584056534,0.993157888446796,0.342638444026208,0.00209067762880056,0.00779766250741832
"TSR3",58.8402136211082,-2.04950760989079,0.296302917110923,9.05674713145199e-13,1.29785161385293e-11
