Category,ID,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0007052,mitotic spindle organization,10,4.048582996,2.88E-08,"CCNB1, PLK2, KIF4A, STMN1, BIRC5, WDR62, KIF11, NDC80, DLGAP5, AURKA",235,58,19453,14.27219369,4.65E-05,4.65E-05,4.63E-05
GOTERM_BP_DIRECT,GO:0051301,cell division,20,8.097165992,2.11E-07,"CDCA5, NCAPG2, NCAPG, BUB1B, KIF11, SMC1A, NDC80, SKA1, AURKA, CCNA2, CDC20, ASPM, CCNB2, TPX2, CENPF, CCNB1, CDC23, BIRC5, MCM5, KIF2C",235,383,19453,4.322648742,3.41E-04,1.70E-04,1.70E-04
GOTERM_BP_DIRECT,GO:0000278,mitotic cell cycle,13,5.263157895,3.68E-07,"CDCA5, PLK2, DCTN3, KIF11, NDC80, SKA1, AURKA, TPX2, CENPF, TUBB2A, CDC23, BIRC5, MYBL2",235,154,19453,6.987814313,5.94E-04,1.98E-04,1.97E-04
GOTERM_BP_DIRECT,GO:0007094,mitotic spindle assembly checkpoint,6,2.429149798,3.73E-05,"CDC20, CENPF, BIRC5, BUB1B, TRIP13, NDC80",235,32,19453,15.52101064,0.058356456,0.01503184,0.014966605
GOTERM_BP_DIRECT,GO:0000281,mitotic cytokinesis,7,2.834008097,1.67E-04,"KIF4A, STMN1, BIRC5, KIF20A, CEP55, RHOB, ZNF365",235,68,19453,8.521339174,0.23600066,0.053833179,0.053599557
GOTERM_BP_DIRECT,GO:0018149,peptide cross-linking,5,2.024291498,3.83E-04,"FLG, SPRR3, TGM5, THBS1, TGM3",235,29,19453,14.27219369,0.46060613,0.102865187,0.102418779
GOTERM_BP_DIRECT,GO:0008544,epidermis development,7,2.834008097,5.99E-04,"COL17A1, LCE2B, SPRR3, YBX1, GRHL1, TGM5, SPRR2D",235,86,19453,6.737803068,0.61961098,0.132680536,0.132104737
GOTERM_BP_DIRECT,GO:0000086,G2/M transition of mitotic cell cycle,6,2.429149798,6.58E-04,"CCNA2, CCNB1, BIRC5, CALM3, FOXM1, AURKA",235,58,19453,8.563316214,0.654165064,0.132680536,0.132104737
GOTERM_BP_DIRECT,GO:0031424,keratinization,7,2.834008097,8.08E-04,"LCE2B, IL1A, SPRR3, CNFN, ABCA12, TGM3, SPRR2D",235,91,19453,6.367594108,0.728556859,0.137238392,0.136642813
GOTERM_BP_DIRECT,GO:0007057,spindle assembly involved in female meiosis I,3,1.214574899,8.51E-04,"CCNB2, NDC80, AURKA",235,4,19453,62.08404255,0.746646132,0.137238392,0.136642813
GOTERM_BP_DIRECT,GO:0090307,mitotic spindle assembly,5,2.024291498,0.001457488,"CDC20, TPX2, MYBL2, KIF11, SMC1A",235,41,19453,10.09496627,0.904882527,0.2137207,0.212793208
GOTERM_BP_DIRECT,GO:0007080,mitotic metaphase plate congression,5,2.024291498,0.001595877,"CCNB1, CDC23, CDCA5, CHMP2A, KIF2C",235,42,19453,9.854609929,0.923937926,0.214512442,0.213581514
GOTERM_BP_DIRECT,GO:0006605,protein targeting,5,2.024291498,0.002065478,"SYNGR1, VPS51, OS9, LTBP2, SORL1",235,45,19453,9.197635934,0.964387597,0.256278143,0.255165963
GOTERM_BP_DIRECT,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",4,1.619433198,0.003250263,"COX7B, COX4I1, COX7A2, COX6A1",235,25,19453,13.24459574,0.994758845,0.374476778,0.372851646
GOTERM_BP_DIRECT,GO:0055085,transmembrane transport,10,4.048582996,0.003553593,"SLC44A5, PSMB6, SLC35B2, SLC44A3, SLC44A2, PSMA2, GJA9, ABCA12, GPR155, GSDME",235,252,19453,3.284869976,0.996792149,0.38212968,0.380471337
GOTERM_BP_DIRECT,GO:0015871,choline transport,3,1.214574899,0.004905961,"SLC44A5, SLC44A3, SLC44A2",235,9,19453,27.5929078,0.999641216,0.494582194,0.492435836
GOTERM_BP_DIRECT,GO:0007059,chromosome segregation,6,2.429149798,0.006346711,"CENPF, HJURP, BIRC5, NDC80, SKA1, DLGAP5",235,97,19453,5.120333406,0.999965338,0.585402295,0.582861802
GOTERM_BP_DIRECT,GO:0009410,response to xenobiotic stimulus,10,4.048582996,0.006532698,"BCHE, HDAC5, CENPF, ABCD3, SEMA3C, ARG1, XRCC1, BLMH, ADD3, THBS1",235,277,19453,2.988401567,0.999974372,0.585402295,0.582861802
GOTERM_BP_DIRECT,GO:0070863,positive regulation of protein exit from endoplasmic reticulum,3,1.214574899,0.007377354,"CD81, SORL1, TM9SF4",235,11,19453,22.57601547,0.9999935,0.626298504,0.623580531
GOTERM_BP_DIRECT,GO:0061436,establishment of skin barrier,4,1.619433198,0.008469101,"FLG, STMN1, GRHL1, ABCA12",235,35,19453,9.460425532,0.999998898,0.639021012,0.636247827
GOTERM_BP_DIRECT,GO:0007346,regulation of mitotic cell cycle,5,2.024291498,0.008655809,"CDC20, CDC23, GMNN, BIRC5, DLGAP5",235,67,19453,6.177516672,0.999999187,0.639021012,0.636247827
