"GENE ONTOLOGY (BP,CC,MF)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Go_Result_of_396_Exclusively_Upregulated_Genes,,,,,,,,,Go_Result_of_407_Exclusively_Downregulated_Genes,,,,,,,,,,,,,,,
category,ID,term,count,genes,logFC,adj_pval,zscore,,category,ID,term,count,genes,logFC,adj_pval,zscore,,Category,Term,Count,PValue,Genes,Fold Enrichment,FDR
BP,GO:0001666,response to hypoxia,12,"SMAD4, ACE, CASP3, BNIP3, DDIT4, SLC2A1, ADM, PLOD2, LIMD1, WTIP, HSPG2, VEGFA",0.283585806,1.75E-04,4.106318604,,BP,GO:0043066,negative regulation of apoptotic process,17,"SERPINB2, MSX2, CBX4, BCL11B, CITED2, PLK2, TENT5B, THBS1, DKK1, AURKA, HSP90B1, MIEN1, CTSH, BIRC5, NAA38, CRYAB, PPARD",0.993695,2.98E-09,1.73487,,GOTERM_BP_DIRECT,GO:0000278~mitotic cell cycle,17,3.60E-09,"CDT1, CDCA5, DCTN3, NOLC1, KIF11, SKA3, NDC80, SKA1, AURKA, TPX2, CENPF, WEE1, TUBB2A, CDC23, PBK, BIRC5, MYBL2",6.866180049,6.82E-06
BP,GO:0006357,regulation of transcription from RNA polymerase II promoter,49,"ZNF251, ZNF805, ZMIZ2, LRRFIP1, TGIF1, KLF12, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, MED22, CREB3, DGKQ, ZNF319, ZNF514, HOXB2, IRF5, JDP2, KDM7A, ZNF397, ZNF275, KDM3A, CTBP2, CBFB, CTBP1, MLLT6, MNT, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF587, ZNF224, ZNF664, XBP1, SMAD4, VEGFA, KLF8, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF337, PKN1, RBAK, RCOR1, ZFP28, ZNF354B",0.283585806,2.92E-04,1.699927594,,BP,GO:0015031,protein transport,18,"BTF3, SLC15A1, NBAS, PRAF2, COMMD1, COPZ1, HSP90B1, SCAMP2, TOM1L2, SCAMP4, LMAN1, CENPF, VPS51, NACA, VPS52, CHMP2A, KIF20A, VPS35L",0.269537,8.63E-09,2.234094,,GOTERM_BP_DIRECT,GO:0051301~cell division,26,3.89E-08,"CDCA5, NCAPG2, NCAPG, BUB1B, KIF11, SKA3, SKA1, AURKA, CDC20, CCNB2, CCNB1, CDC23, BUB1, SAC3D1, CDT1, UBE2C, SMC1A, NDC80, CCNA2, TPX2, CENPF, WEE1, PRC1, BIRC5, MCM5, KIF2C",3.727115717,3.69E-05
BP,GO:0007420,brain development,13,"KDM4B, ACE, FKRP, SPHK2, ATP2B1, SMARCA1, HSPG2, EPOR, PPP3CC, PITPNM1, DDIT4, FPGS, PAFAH1B2",0.921426285,0.001568659,2.965674547,,BP,GO:0006412,translation,9,"MRPS9, RPL41, NACA, RPS4Y1, RPL18, RPL39, RPS10, MRPL21, MRPL11",0.993695,2.54E-05,2.264698,,GOTERM_BP_DIRECT,GO:0010273~detoxification of copper ion,7,2.26E-07,"MT2A, MT1M, MT1F, MT1H, MT1X, MT4, MT1E",24.20833333,1.42E-04
BP,GO:0008285,negative regulation of cell proliferation,18,"SMAD4, KLF13, TES, CTBP2, CTBP1, TPBG, EIF2AK2, ADM, CGRRF1, HSPG2, CDC73, MNT, RASSF3, NACC2, FTH1, SPRY2, SPEG, SH2B3",0.921426285,0.001896915,2.346467774,,BP,GO:0009410,response to xenobiotic stimulus,12,"BCHE, HDAC5, CENPF, ABCD3, SEMA3C, ARG1, SCNN1B, XRCC1, BLMH, TYMS, ADD3, THBS1",0.674036,2.45E-04,2.387335,,GOTERM_BP_DIRECT,GO:0070887~cellular response to chemical stimulus,6,4.32E-07,"MT2A, MT1M, MT1F, MT1H, MT1X, MT1E",33.2,1.92E-04
BP,GO:0045892,"negative regulation of transcription, DNA-templated",20,"ZNF397, L3MBTL1, SMAD4, CTBP2, ZNF282, CTBP1, LIMD1, WTIP, DEAF1, NACC2, BHLHE40, SCMH1, HSBP1L1, TRIB3, BCOR, RBAK, ZNF224, EID2B, RCOR1, TRIM11",1,0.004728564,2.038105116,,BP,GO:0055085,transmembrane transport,11,"SLC44A5, PSMB6, SLC35B2, SLC44A3, SLC44A2, PSMA2, GJA5, GJA9, ABCA12, GPR155, GSDME",0.799693,3.79E-04,2.405493,,GOTERM_BP_DIRECT,GO:0045926~negative regulation of growth,7,5.07E-07,"MT2A, MT1M, MT1F, MT1H, MT1X, HIF1A, MT1E",21.51851852,1.92E-04
BP,GO:0006469,negative regulation of protein kinase activity,6,"DBNDD2, DVL1, TRIB3, PKN1, TRIM27, SNCA",1,0.005360877,5.31405937,,BP,GO:0071222,cellular response to lipopolysaccharide,10,"HADHB, IL1A, HDAC5, ARG1, PDCD1LG2, CD68, GBP2, B2M, PPARD, IL1F10",0.619647,6.16E-04,2.783215,,GOTERM_BP_DIRECT,GO:0007052~mitotic spindle organization,10,6.49E-07,"CCNB1, PLK2, KIF4A, STMN1, BIRC5, WDR62, KIF11, NDC80, DLGAP5, AURKA",9.880952381,2.05E-04
BP,GO:0006355,"regulation of transcription, DNA-templated",29,"L3MBTL1, ZNF251, CHD7, LIMD1, MLLT6, SCMH1, DVL1, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, PDE8A, TGIF1, SMAD4, ZNF284, ZNF282, ZNF160, SMARCA1, WTIP, SAP30, PTP4A3, ZNF37A, BHLHE40, ZNF778, ZNF514, ZNF337, RBAK, ZFP28, ZNF354B",1,0.005678323,1.722440019,,BP,GO:0001666,response to hypoxia,9,"DPP4, IL1A, CITED2, XRCC1, THBS1, CRYAB, HIF1A, TM9SF4, HSP90B1",0.751352,0.001433,2.818005,,GOTERM_BP_DIRECT,GO:0006882~cellular zinc ion homeostasis,8,2.53E-06,"MT2A, MT1M, MT1F, MT1H, SLC30A1, MT1X, MT4, MT1E",12.64761905,6.85E-04
BP,GO:0006468,protein phosphorylation,16,"CDKL2, PLK3, SRMS, CTBP1, CDC42BPG, TNK1, HUS1, EIF2AK2, CDC42BPB, RSKR, NRBP2, TRIB3, PKN1, CAMK1, MAP3K11, PDK1",1,0.007397841,2.170306529,,BP,GO:0071456,cellular response to hypoxia,7,"CCNA2, EDN1, SDHD, HIF1A, AQP3, VASN, PPARD",0.993695,0.002404,2.878758,,GOTERM_BP_DIRECT,GO:0071294~cellular response to zinc ion,7,3.36E-06,"MT2A, MT1M, MT1F, MT1H, MT1X, MT4, MT1E",16.13888889,7.94E-04
BP,GO:0032092,positive regulation of protein binding,6,"ACE, RALB, LRP1, CAPRIN2, TRIB3, PKD1",1,0.00764778,4.883189691,,BP,GO:0009615,response to virus,7,"PSMA2, STMN1, IFI44, ISG15, DDX60, IFIT1, OASL",0.751352,0.003157,3.50685,,GOTERM_BP_DIRECT,GO:0010035~response to inorganic substance,7,4.35E-06,"MT2A, NT5E, MT1M, MT1F, MT1H, MT1X, MT1E",15.49333333,9.15E-04
BP,GO:0031623,receptor internalization,5,"ITCH, RALB, LRP1, ADM, SNCA",1,0.009996076,5.904510411,,BP,GO:0051301,cell division,27,"CDCA5, NCAPG2, NCAPG, BUB1B, KIF11, SKA3, SKA1, AURKA, CDC20, CCNB2, CCNB1, CDC23, BUB1, SAC3D1, CDT1, UBE2C, SMC1A, NDC80, CCNA2, ASPM, TPX2, CENPF, WEE1, PRC1, BIRC5, MCM5, KIF2C",8.84E-06,0.006298,3.884873,,GOTERM_BP_DIRECT,GO:0071280~cellular response to copper ion,7,5.57E-06,"MT2A, MT1M, MT1F, MT1H, MT1X, MT4, MT1E",14.8974359,0.001054509
