Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini		FDR
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	11	5.789473684	3.86E-12	"RPS26, RPS4X, RPS25, RPS27, RPS3, RPS3A, RPS2, RPS4Y1, RPS21, RPS24, RPS23"	169	47	20660	28.61135591	1.05E-09	1.05E-09	cytosolic small ribosomal subunit	1.03E-09
GOTERM_CC_DIRECT	GO:0015935~small ribosomal subunit	8	4.210526316	3.61E-09	"RPS26, RPS4X, RPS25, RPS3, RPS2, RPS21, RPS24, RPS23"	169	30	20660	32.59960552	9.81E-07	4.91E-07	small ribosomal subunit	4.81E-07
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	9	4.736842105	9.16E-07	"RPS4X, RPS25, RPS27, RPS3, RPS3A, RPS2, RPS21, RPS24, RPS23"	169	93	20660	11.830502	2.49E-04	8.30E-05	cytosolic ribosome	8.15E-05
GOTERM_CC_DIRECT	GO:0005840~ribosome	11	5.789473684	2.25E-06	"RPS26, RPS4X, RPS25, RPS27, RPS3, RPS3A, RPS2, RPS4Y1, RPS21, RPS24, RPS23"	169	180	20660	7.470742932	6.12E-04	1.53E-04	ribosome	1.50E-04
GOTERM_CC_DIRECT	GO:0005829~cytosol	74	38.94736842	4.25E-06	"C2CD3, ELL, GBE1, PIK3C2G, TNFAIP1, TTF1, PIK3C2B, RPS4X, HERC1, TBC1D30, CAPN3, PHLDA1, DLGAP5, PLEKHG3, ARHGEF11, CUBN, NUDC, METTL1, FBXW11, ARHGEF17, CAD, ACOT11, DHPS, TNNC2, GAB1, RPS3A, CACNB4, PLCB4, PIK3CA, DNAJC7, DNAJC6, ULK3, TAX1BP1, TRIM14, PIK3C3, TKT, PLCB2, NFAT5, WAS, SPATA2, RPS4Y1, SERTAD2, PCBP2, RPS3, SLC25A20, RPS2, SASH1, CLASP1, EIF2B3, EIF2B2, OSBPL3, PTGES3, MBD2, TTC1, STAM, NPM3, PEX14, RPS26, RGP1, RPS25, MLLT10, MCM3AP, RPS27, CAPZA1, CAPRIN1, CAPZA2, TTC3, CCDC6, RPS21, EIF4G3, CAPS, RPS24, GSDME, RPS23"	169	5629	20660	1.607104376	0.001155155	2.31E-04		2.27E-04
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	57	30	2.17E-05	"WASHC4, GMEB1, ELL, ASH2L, TTF1, PIK3C2B, RPS4X, PHLDA1, TLE4, ARHGEF11, TLE2, NUDC, METTL1, CAD, PAX4, RPS3A, GCAT, DNAJC7, TRIM14, TKT, UTRN, NFAT5, GATA6, FOXK2, SPATA2, GATA4, CCNDBP1, RPS4Y1, POLR2A, SERTAD2, BMS1, PLAGL1, PCBP2, RPS3, DHX38, E2F2, RPS2, SASH1, MBD4, CBX6, CBX5, PTGES3, MBD2, NPM3, HINFP, RPS26, RPS25, MLLT10, MCM3AP, RPS27, POLE2, TTC3, RPS21, ZNF212, CAPS, RPS24, RPS23"	169	4077	20660	1.709140466	0.005897371	9.86E-04		9.68E-04
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	6	3.157894737	3.65E-04	"RPS4X, RPS27, BMS1, RPS3A, RPS24, RPS23"	169	75	20660	9.779881657	0.094577178	0.014190728		0.013929869
GOTERM_CC_DIRECT	GO:0016604~nuclear body	10	5.263157895	0.002753736	"TLE2, CBX6, ELL, RPN2, POLE2, PLAGL1, YME1L1, GATA4, CCNDBP1, TKT"	169	359	20660	3.405251273	0.527656761	0.09362702		0.091905936
GOTERM_CC_DIRECT	GO:0042101~T cell receptor complex	6	3.157894737	0.006506159	"TRAV7, TRAV4, TRAV3, TRAV1-2, TRAV2, TRAV8-1"	169	144	20660	5.093688363	0.830594038	0.19663059		0.193016057
GOTERM_CC_DIRECT	GO:0016020~membrane	43	22.63157895	0.012516857	"RPN2, TTK, PIK3C2G, AUP1, RPS4Y1, LRP8, PIK3C2B, RPS4X, PTDSS1, CYB5R3, HERC1, PCBP2, RPS3, DHX38, RPS2, SUSD5, CLASP1, ARHGEF11, CUBN, DDX18, GALNT1, OSBPL3, CAD, PLAUR, TAS2R38, DNAJC16, PEX14, TNFRSF1A, RPS26, RGP1, SLC4A8, DNAJC7, PIK3CA, CAPRIN1, CAPZA2, YME1L1, PIK3C3, UTRN, NPTXR, SLC26A4, RPS24, RPS23, GSDME"	169	3693	20660	1.423419006	0.967485595	0.337445409		0.331242369
