Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05171:Coronavirus disease - COVID-19	14	7.368421052631578	6.663810438283324E-7	C1S, RPS3A, RPS4Y1, TNFRSF1A, RPS4X, RPS26, RPS25, RPS27, PIK3CA, RPS3, RPS2, RPS21, RPS24, RPS23	90	232	8586	5.756896551724139	1.479256989271871E-4	1.479365917298898E-4	1.479365917298898E-4
KEGG_PATHWAY	hsa03010:Ribosome	11	5.7894736842105265	8.011876131502188E-6	RPS26, RPS4X, RPS25, RPS27, RPS3, RPS3A, RPS2, RPS4Y1, RPS21, RPS24, RPS23	90	167	8586	6.283832335329341	0.0017770627771653835	8.893182505967428E-4	8.893182505967428E-4
KEGG_PATHWAY	hsa00562:Inositol phosphate metabolism	6	3.1578947368421053	9.222189615397279E-4	PLCB4, PIK3CA, PIK3C2G, PIK3C3, PLCB2, PIK3C2B	90	73	8586	7.841095890410959	0.1852117958236127	0.06824420315393986	0.06824420315393986
KEGG_PATHWAY	hsa04070:Phosphatidylinositol signaling system	6	3.1578947368421053	0.003258632910446703	PLCB4, PIK3CA, PIK3C2G, PIK3C3, PLCB2, PIK3C2B	90	97	8586	5.901030927835051	0.5154805710333956	0.18085412652979202	0.18085412652979202
KEGG_PATHWAY	hsa04918:Thyroid hormone synthesis	4	2.1052631578947367	0.042602659342190166	PLCB4, SLC26A4, TTF1, PLCB2	90	75	8586	5.088	0.9999365440816966	1.0	1.0
KEGG_PATHWAY	hsa05132:Salmonella infection	7	3.684210526315789	0.04420381963338741	PIK3CA, RPS3, PLEKHM2, PIK3C2G, PIK3C3, PIK3C2B, TNFRSF1A	90	249	8586	2.6819277108433734	0.9999562382663508	1.0	1.0
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	6	3.1578947368421053	0.05439308323924	ARHGEF11, MYO1B, CLDN12, RPS3, CLDN16, TNFRSF1A	90	198	8586	2.890909090909091	0.9999959471350199	1.0	1.0
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	4	2.1052631578947367	0.059599558950907676	C1S, PLAU, PLAUR, PLAT	90	86	8586	4.437209302325582	0.9999988102739839	1.0	1.0
KEGG_PATHWAY	hsa03410:Base excision repair	3	1.5789473684210527	0.07595557500184245	MBD4, POLE2, POLG	90	44	8586	6.504545454545455	0.9999999758001341	1.0	1.0
KEGG_PATHWAY	hsa04218:Cellular senescence	5	2.631578947368421	0.07838620218774112	PIK3CA, FBXW11, IGFBP3, E2F2, GATA4	90	156	8586	3.057692307692308	0.9999999865143799	1.0	1.0
KEGG_PATHWAY	hsa05215:Prostate cancer	4	2.1052631578947367	0.07929352533114722	PIK3CA, PLAU, E2F2, PLAT	90	97	8586	3.9340206185567013	0.999999989163082	1.0	1.0
KEGG_PATHWAY	hsa05160:Hepatitis C	5	2.631578947368421	0.08128034073775493	PIK3CA, CLDN12, E2F2, CLDN16, TNFRSF1A	90	158	8586	3.0189873417721516	0.9999999932914577	1.0	1.0
KEGG_PATHWAY	hsa05163:Human cytomegalovirus infection	6	3.1578947368421053	0.083862616938806	ARHGEF11, PLCB4, PIK3CA, E2F2, PLCB2, TNFRSF1A	90	225	8586	2.544	0.9999999964086784	1.0	1.0
KEGG_PATHWAY	hsa04973:Carbohydrate digestion and absorption	3	1.5789473684210527	0.08510666178729197	PLCB4, PIK3CA, PLCB2	90	47	8586	6.089361702127659	0.9999999973439069	1.0	1.0
KEGG_PATHWAY	hsa05142:Chagas disease	4	2.1052631578947367	0.08907254265158776	PLCB4, PIK3CA, PLCB2, TNFRSF1A	90	102	8586	3.7411764705882353	0.9999999989874837	1.0	1.0
