Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,,FDR
GOTERM_MF_DIRECT,GO:0003735~structural constituent of ribosome,11,5.789473684,5.19E-06,"RPS26, RPS4X, RPS25, RPS27, RPS3, RPS3A, RPS2, RPS4Y1, RPS21, RPS24, RPS23",161,191,18976,6.787941856,0.001597876,0.00159915,structural constituent of ribosome,0.001573189
GOTERM_MF_DIRECT,GO:0005520~insulin-like growth factor binding,5,2.631578947,3.80E-05,"IGFBP4, IGFBP3, IGFBP7, IGFBP6, CCN1",161,23,18976,25.62246827,0.011648082,0.005858115,insulin-like growth factor binding,0.005763016
GOTERM_MF_DIRECT,GO:0016303~1-phosphatidylinositol-3-kinase activity,4,2.105263158,6.76E-05,"PIK3CA, PIK3C2G, PIK3C3, PIK3C2B",161,10,18976,47.14534161,0.020604298,0.006939608,1-phosphatidylinositol-3-kinase activity,0.006826952
GOTERM_MF_DIRECT,GO:0052742~phosphatidylinositol kinase activity,4,2.105263158,3.04E-04,"PIK3CA, PIK3C2G, PIK3C3, PIK3C2B",161,16,18976,29.46583851,0.089370554,0.023401248,phosphatidylinositol kinase activity,0.023021358
GOTERM_MF_DIRECT,GO:0005515~protein binding,127,66.84210526,5.33E-04,"WASHC4, RRH, GBA1, PLAT, AUP1, ICAM5, TTF1, CAPN6, TRIM29, PLAU, CAPN3, CCN1, PHLDA1, TLE4, CUBN, DDX18, TLE2, METTL1, IGFBP4, FBXW11, IGFBP3, FOXH1, CACNB4, ULK3, TRIM14, YME1L1, UTRN, RPN2, GATA6, SPATA2, GATA4, CYB5R3, FUT9, PCBP2, DHX38, IGFBP7, IGFBP6, CBX6, EIF2B3, CBX5, EIF2B2, OSBPL3, STAM, RPS26, RPS25, MLLT10, RPS27, CAPRIN1, PLEKHM2, SLC26A4, RPS21, RPS23, GSDME, GMEB1, C2CD3, ELL, GBE1, TNFAIP2, ASH2L, TNFAIP1, PIK3C2B, FARS2, RPS4X, DLGAP5, POLG, ARHGEF11, NUDC, WDR37, ARHGEF17, DHPS, TNNC2, PLAUR, GAB1, IQCE, RPS3A, MTSS1, NIPSNAP2, TNFRSF1A, PLCB4, DNAJC7, PIK3CA, CLDN12, TAX1BP1, PIK3C3, CLDN16, KIFC3, TKT, PLCB2, NFAT5, C1S, WAS, FOXK2, TTK, CCNDBP1, LRP8, COCH, JAKMIP2, POLR2A, SERTAD2, PLAGL1, RPS3, E2F2, ZNF623, SLC25A20, RPS2, SASH1, CLASP1, MBD4, PTGES3, MBD2, TTC1, PNMA2, NPM3, PEX14, HINFP, RGP1, NELL1, SPCS2, MYO1B, MCM3AP, KIAA0586, POLE2, CAPZA1, CAPZA2, TTC3, CCDC6, ZNF212",161,12657,18976,1.182637747,0.151505728,0.032849627,,0.032316354
GOTERM_MF_DIRECT,GO:0035005~1-phosphatidylinositol-4-phosphate 3-kinase activity,3,1.578947368,0.001443037,"PIK3CA, PIK3C2G, PIK3C2B",161,7,18976,50.51286602,0.35903244,0.074075907,,0.072873376
GOTERM_MF_DIRECT,GO:0031995~insulin-like growth factor II binding,3,1.578947368,0.001913404,"IGFBP4, IGFBP3, IGFBP6",161,8,18976,44.19875776,0.445613294,0.084189754,,0.082823037
GOTERM_MF_DIRECT,GO:0003682~chromatin binding,12,6.315789474,0.003598111,"TLE4, NFAT5, MLLT10, MCM3AP, CBX6, CBX5, MBD2, GATA6, TTF1, NPM3, POLG, HINFP",161,502,18976,2.817450694,0.670512506,0.138527292,,0.136278473
GOTERM_MF_DIRECT,GO:0031994~insulin-like growth factor I binding,3,1.578947368,0.005184643,"IGFBP4, IGFBP3, IGFBP6",161,13,18976,27.19923555,0.798310137,0.177430014,,0.174549657
GOTERM_MF_DIRECT,GO:0019900~kinase binding,5,2.631578947,0.012440891,"POLR2A, TAX1BP1, RPS3, TTC28, JAKMIP2",161,106,18976,5.559592172,0.978843955,0.383179458,,0.376959012
