Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005634~nucleus	537	42.99439551641313	1.5607384492302E-39	ATF1, ATF2, ZNF292, TESK1, HNRNPU, SCX, GPATCH1, GABPB1, ELK1, RNF112, RNF114, PPP4R2, ZXDB, ZC3H12A, GPBP1, AKT3, ADNP2, HOXA1, PKNOX1, JUNB, NFRKB, IER2, IER3, DDX17, TSPYL2, ZNF165, SAP30BP, MAP1S, ZNF281, CSNK2A2, PRKCD, WDR74, HCFC2, EID3, ZSCAN20, DDX39B, EWSR1, DDIT3, CGGBP1, ATF3, TSPYL4, ATF4, ZNF155, ZNF274, NAIF1, GATA6, AKAP17A, BCL10, OAZ1, OAZ2, HSPH1, RNF216, S100A13, PIP5K1A, ZNF267, ZNF266, ZNF264, ZNF142, PRPF38B, ZNF263, NCAPH2, TMEM190, PBX2, BRAF, NFATC1, INO80, PHC3, LARP6, SETX, FOSL1, AGO2, SNAI1, REL, FERMT2, ZNF256, ZNF254, OGFR, ACHE, SETD5, SETD2, SMG1, GMEB2, TCF25, PHF1, ZNF44, MED15, ING1, MYPN, MED17, PHF8, IKBKB, NIPBL, CSRP2, MED13, MED10, IKBKG, GPRASP1, GPRASP2, OFD1, ZNF121, DUSP5, BRD2, BRD1, DUSP2, WDR37, DUSP1, SPHK1, AEN, SIRT6, FOS, SIRT7, ASH1L, DUSP8, SIRT1, CDYL2, RNF169, ZEB1, TET3, RARA, PLEKHO1, ZNF236, ZNF112, ZNF473, AP5Z1, PKN3, ZNF518B, SRRT, HSPA13, CENPC, NSD2, RNASE7, STX3, SRSF10, ZNF222, BRD4, CENPT, EVC2, MBD6, YTHDF2, ZNF460, EGLN2, HSPA1L, PCGF5, PCGF2, SAMD4B, SCAF1, GTF2H4, DHRS2, SCAF4, RYBP, ZNF219, RLIM, PWWP3A, FOSB, ZNF335, YPEL4, HSPA1B, HSPA1A, DGKD, CCNT2, UBE2D3, CRAMP1, MSI1, CLU, EDC4, ZFP36, SESN2, ZNF207, KPNA4, KMT5B, ZNF567, ZNF441, ANKRD49, DYRK1A, DGKZ, FBXO11, THOC6, CLIP2, HIC2, DMTF1, SAP25, DMWD, ERF, ZNF316, ZNF558, MALAT1, ZNF678, TNIK, RAD54L2, ZNF432, ZNF431, ZNF671, ZNF550, BRSK1, KMT2D, DLX2, INO80D, KMT2A, KMT2C, KMT2B, UBR2, AEBP1, GPATCH2L, RLF, GLIS2, BCL2L12, STIP1, SBNO2, HMBOX1, ATXN1, HNRNPDL, BAG3, ZKSCAN8, SAFB2, ZNF426, KHDC4, SKIL, SOCS4, ZNF783, AKIRIN1, BRPF1, ZBTB10, OGA, NFKB1, NFKB2, ZC3HC1, MOB1B, CNOT4, BCL9, RGCC, MAFG, CDK3, MAFF, BCL3, CNOT3, NF1, MDM4, MAFK, ZNF655, ZNF776, ZNF654, OGT, ZNF532, DIDO1, HSP90AB1, PPP1R13B, CELF1, ZC3H4, FHL3, RESF1, LBH, SIN3B, SNRNP70, ZNF528, TLK2, ZNF764, ZNF641, CHUK, DNMT3A, MSL2, VEZF1, ZNF75A, PTBP2, DNAJC2, TRAF4, ESPL1, SYF2, NUMB, LCOR, NFAT5, TRIM52, NUFIP2, UHRF2, PLAG1, ZBTB46, MGRN1, ZBTB48, ZBTB43, LENG8, RCHY1, HDAC9, ZBTB40, DNAJB1, PARD6B, ZNF507, TP53INP2, ZNF746, FYN, E2F3, IGF2BP2, E2F4, ZNF621, E2F6, JAZF1, FOXJ3, IRX4, EXOG, PNRC2, ASXL1, DNAJA1, ZGLP1, PABPC1L, ZNF611, PPIL4, CPNE7, IKZF4, CHORDC1, EPC1, ZNF844, SOX8, CCNL2, ZNF721, CCNL1, SFMBT1, ZFP3, RECQL, CSNK1D, CSNK1E, PISD, JMJD6, THAP1, UHMK1, NEIL2, RRAGC, ZNF830, TRIB1, CBLL1, CCDC82, DCUN1D4, DCUN1D2, NLK, UBE2J2, MIER3, NHLH1, MIER1, CMYA5, TP53BP2, DHX38, ZNF821, HIVEP3, RBM10, BANP, EGR1, XRCC4, GADD45B, INTS2, SIAH1, SS18L2, PARP14, GADD45G, ZUP1, FUBP1, CREBRF, INTS6, DCP1A, SUGP2, INTS11, CSRNP1, PPP1R10, ZFAND2A, OTUD7B, BMI1, N4BP2L2, XPO1, PCF11, XPO6, ZMYM5, UIMC1, UBXN7, CLIC2, TFE3, CACYBP, CCDC117, PPRC1, IGFN1, ZFX, HNRNPH1, WAC, FAM193B, ARHGEF5, PNCK, SPINDOC, SATB2, PRICKLE4, RELA, RELB, EXOSC6, SERTAD3, ARVCF, SERTAD1, NFIL3, GPBP1L1, APBB1, MSX1, MYEF2, HYPK, PER2, NR6A1, PER3, PRDM8, CRTC2, ZSCAN9, JADE1, INPPL1, ARID4B, CWC25, ETS1, AMMECR1L, CWC22, POGZ, SACS, SNIP1, PCID2, ZGPAT, NANOS3, GEM, ZNF91, ZNF92, PRPF3, MZF1, ZCCHC8, DDX5, KLHL15, NPR2, VCPIP1, UBB, UBC, EP400, PMAIP1, CAMTA2, HSPA8, CBX6, UBE2I, TGFB1, UBE2B, SMURF2, HSPA6, HELZ, CLK4, CLK3, SMAD7, CLK1, ISG20, NFKBIA, NR4A1, FER, RSRP1, NABP1, TAF4B, PHF13, NFKBID, FGFR1, PHF19, CREBZF, RBM27, ZMYND15, DDX3Y, USP36, C2ORF42, KDM5C, DYRK3, KDM5D, DDX47, USP34, HP1BP3, CGAS, CHD3, CHD2, TENT4A, CHD1, MYSM1, SENP6, CASP9, FLCN, RBM4, SIX4, GPER1, SNAPC4, NFKBIZ, RBM7, RBM5, KDM6B, TGIF2, RBM15, AXIN1, TRNAU1AP, SAFB, ETV5, GCNA, SFPQ, ELF1, LATS2, ELF4, IRF1, CRY1, RBM24, CREB5, USP12, ADD1, CIART, STRN3, BICRA, GNA13, TBRG1, NXF1, MAPK8, RASD1, PABPN1, TDG, PTK2B, CRYM, SMNDC1, PDLIM4, HES4, ZNF189, RBM38, RBM39, CDK11A, URGCP, KDM4C, TAF13, ZFC3H1, NAP1L2, ARID3B, MEIS3, YY1AP1, UFM1, REST, KANSL1, ACIN1, TAF7, NAA16, LPIN1, TAF4, PAXBP1, LPIN2, OTUD3	1128	6106	20660	1.610789178415371	1.0862739606642192E-36	1.0862739606642192E-36	1.0566199301288454E-36
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	402	32.1857485988791	6.867320417174807E-38	ATF1, ATF2, HNRNPU, GPATCH1, GABPB1, ELK1, RNF112, ZFYVE27, PPP4R2, ZC3H12A, JUNB, NFRKB, IER2, DDX17, TSPYL2, FNBP4, SAP30BP, MAP1S, ZNF281, NGDN, CSNK2A2, PRKCD, WDR74, HCFC2, NISCH, EID3, DDX39B, EWSR1, CGGBP1, ATF3, ATF4, ABCB1, NAIF1, GATA6, NEDD4L, ABCB8, DEDD2, GJC1, HSPH1, RNF216, POM121C, S100A13, PIP5K1A, ZNF143, NGFR, NCAPH2, NFATC1, INO80, PHC3, SETX, FOSL1, AGO3, AGO2, SNAI1, REL, FERMT2, ZNF256, SETD5, SETD2, SMG1, GMEB2, ELL, PHF1, MED15, MYPN, MED17, PHF8, NIPBL, PIP4P1, MED13, MED10, PEA15, IKBKG, DUSP5, BRD2, DUSP2, AEN, SIRT6, FOS, SIRT7, ASH1L, GMIP, SIRT1, RNF169, ZEB1, RARA, PHLPP2, ZNF473, LIN37, AP5Z1, SRRT, SGMS2, CENPC, BTAF1, PLAGL1, NSD2, RNASE7, SRSF10, BRD4, CENPT, MBD6, EGLN2, HSPA1L, PCGF5, PCGF2, GPR50, NOC3L, SCAF1, GTF2H4, DHRS2, SCAF4, RYBP, ZNF219, RLIM, PWWP3A, FOSB, ZNF335, HSPA1B, ZNF212, HSPA1A, ANKRD37, CRCP, TXNL4B, CCNT2, UBE2D3, EDC4, ZNF207, SLC26A11, KPNA4, KMT5B, DYRK1A, ZBTB34, FBXO11, THOC6, HIC2, DMTF1, DMWD, ERF, SRSF3, SRSF5, TNIK, SRSF6, SQSTM1, ZNF432, BRSK1, KMT2D, PFKFB3, INO80D, KMT2A, KMT2C, KMT2B, ANKRD12, PHF21A, GLIS2, HMBOX1, ATXN1, KLC2, SOCS1, NDOR1, HNRNPDL, BAG3, MBIP, SAFB2, PLXNA1, KHDC4, E4F1, SKIL, AKIRIN1, BRPF1, ZBTB10, NFKB1, NFKB2, ZC3HC1, MOB1B, BCL9, RGCC, SP2, P4HA2, MAFG, MAFF, BCL3, NF1, MDM4, MAFK, OGT, MAP3K14, HSP90AB1, PPP1R13B, CELF1, ZC3H4, SIN3B, SNRNP70, TLK2, UPP1, ZNF641, CHUK, DNMT3A, MSL2, VEZF1, DNAJC2, TRAF4, SYF2, LCOR, SMCR8, BDP1, NFAT5, NUFIP2, UHRF2, PLAG1, RCHY1, HDAC9, DNAJB1, BAHD1, DNAJB4, ZNF746, FEM1C, E2F3, E2F4, E2F6, JAZF1, PNRC2, ASXL1, ZGLP1, ESF1, NPIPB3, PPIL4, NPIPB5, GORAB, JMJD1C, IKZF4, CRKL, PNN, GOLGA3, CDC26, EPC1, CCNL2, SFMBT1, PTOV1, RECQL, CSNK1D, CSNK1E, JMJD6, THAP1, UHMK1, NEIL2, RRAGC, KCTD13, ZNF830, NLK, KLK6, MIER3, MIER1, TP53BP2, DHX38, RBM12, RBM10, BANP, EGR1, XRCC4, INTS2, EAF1, PUM1, ZUP1, FUBP1, CREBRF, INTS6, SUGP2, INTS11, PPP1R10, GRIK5, BMI1, XPO1, PCF11, XPO6, UIMC1, UBXN7, CLIC2, RAB8B, TFE3, CACYBP, PPRC1, ZFX, HNRNPH1, WAC, FAM193B, ARHGEF5, STK40, SATB2, RELA, RELB, EXOSC6, APBB1, MSX1, RELT, HYPK, PER2, NR6A1, TRIML2, PRDM8, CRTC2, JADE1, ARID4B, CWC25, ETS1, CWC22, POGZ, SNIP1, ZGPAT, NANOS3, PRPF3, LRIF1, MZF1, ZCCHC8, DDX5, DTX3, UBB, UBC, EP400, HSPA8, CBX6, UBE2I, UBE2B, SMURF2, DENND4B, CLK3, SMAD7, ISG20, NFKBIA, ARHGAP33, NR4A1, AFDN, UVSSA, NABP1, TAF4B, PHF13, CLASRP, NFKBIE, PHF19, CREBZF, DDX3Y, GPSM1, USP36, C2ORF42, KDM5C, RBM25, DYRK3, KDM5D, DDX47, CGAS, CHD3, CTDSPL2, TENT4A, CHD1, MYSM1, AFF4, SENP6, RBM4, SPRED1, GPER1, SNAPC4, MAN2C1, RBM7, RBM5, GET4, KDM6B, TGIF2, RBM15, USP43, PLA2G4C, SAFB, ETV5, GCNA, SFPQ, ELF1, ELF4, IRF1, RBM24, RBM48, USP12, SLC3A2, NR2C2, ADD1, STRN3, TBRG1, NXF1, TAF1D, MAPK8, PABPN1, TDG, SMNDC1, RBM39, KDM4C, TAF13, ARID3B, YY1AP1, CLCN7, REST, KANSL1, ACIN1, TAF7, LPIN1, TAF4	1128	4077	20660	1.8059534806047417	4.7796550103536655E-35	2.3898275051768328E-35	2.324587961213672E-35
GOTERM_CC_DIRECT	GO:0005829~cytosol	427	34.18734987990392	1.4494132143192066E-15	TRIO, SERPINE2, TESK1, HNRNPU, FNBP1L, ENO2, ENO3, GLS, ZFYVE27, RNF114, TMEM88, FGFR1OP2, GPBP1, PKNOX1, IER3, DDX17, GABARAPL1, WSB1, MAP1S, CSNK2A2, PRKCD, FNDC3A, HCFC2, UNC13D, NISCH, TEP1, MAP1B, DDIT3, NGEF, NAIF1, NEDD4L, AKAP17A, BCL10, OAZ1, OAZ2, HSPH1, RIC8B, RNF216, CEP70, S100A13, PIP5K1A, NGFR, PRPF38B, CHKB, CHKA, HOMER1, DMPK, MTHFR, BRAF, NFATC1, INO80, FOSL1, CYLD, EIF5, AGO3, AGO2, SNAI1, REL, FERMT2, DENND1B, SMG1, GMEB2, ELL, TCF25, PHF1, MYPN, IKBKB, NIPBL, PEA15, IKBKG, GPRASP1, GPRASP2, OFD1, SPHK1, FOS, GMIP, JOSD1, DUSP8, SIRT1, RNF169, ZEB1, CDC42EP3, RARA, RAPGEF2, VAMP1, PHLPP2, GRAMD1A, SAMD8, PKN3, ODC1, HSPA13, FGD1, CENPC, STX4, FLNC, SRSF10, CENPT, YTHDF2, CKM, HSPA1L, YTHDF3, SAMD4A, SAMD4B, SCAF1, TTLL3, SNX16, RLIM, PWWP3A, HSPA1B, HSPA1A, ANKRD37, PHLDB1, DGKD, CRCP, TXNL4B, CCNT2, FAM13B, UBE2D3, IRS2, SAT1, CLU, HID1, EDC4, STK10, ZFP36, SESN2, GRB10, PIM3, KPNA4, ANKRD49, LARP4B, DGKZ, FBXO11, ATXN2L, GOLGA8B, DMTF1, ERF, SRSF5, TNIK, SQSTM1, GOLGA8A, PFKFB3, KMT2A, KMT2C, ANKRD12, UBR2, RASAL2, SOCS2, RAP1B, STIP1, SOCS3, ATXN2, HMBOX1, ATXN1, KLC2, SOCS1, NDOR1, BAG2, HNRNPDL, BAG3, MBIP, ABL2, PLXNA1, DVL3, SOCS4, BRPF1, OGA, ASNS, NFKB1, NFKB2, MOB1B, CNOT4, RGCC, P4HA2, BCL3, CNOT3, AAK1, NF1, CNTROB, OGT, MAP3K14, SLC26A6, HSP90AB1, PPP1R13B, ZC3H4, PIK3CD, WDR6, UPP1, ZNF641, OVGP1, CHUK, CEMIP2, PATL1, GIGYF1, DNAJC2, TRAF4, ESPL1, TRAF3, PPP1R15A, NFAT5, TRIM52, NUFIP2, PLAG1, MGRN1, RCHY1, DNAJB1, PARD6B, PHKG1, DNAJB5, TP53INP2, DNAJB4, PHKG2, ZNF746, FYN, FEM1C, IGF2BP2, FNIP1, CTNNAL1, ALOXE3, JAZF1, HIP1R, CDC42BPA, FBXL14, PNRC2, DNAJA1, VAPA, DNAJA4, CTH, TRIM36, PABPC1L, PPIL4, BCAR1, EIF4A2, GORAB, GBA2, CRKL, GOLGA3, CDC26, ARFIP2, CHAC1, YOD1, CSNK1D, CSNK1E, MYO7A, PISD, JMJD6, ARC, RRAGC, TRIM17, KCTD13, ULK1, TRIB1, CBLL1, STX1A, RRAD, STXBP2, NLK, UBE2J2, MICAL1, CMYA5, TP53BP2, SNX9, RCE1, KCNN4, RIMKLB, SNX8, ATP6V1C1, XRCC4, SIAH1, RAB39A, LIF, PARP14, PUM1, PUM2, ZUP1, DCP1A, INTS11, GDI1, OTUD7B, BMI1, PTPRH, KIF17, SH3RF1, MAP1LC3B, XPO1, XPO6, UBXN7, CLIC2, PGGHG, TFE3, CACYBP, GAK, HNRNPH1, ARHGEF2, ARHGEF5, STK40, RELA, RELB, EXOSC6, KIAA0753, PCNT, IL32, MAP3K3, MYO9B, MIB1, ATAT1, PER2, TRIML2, KIF26A, KBTBD8, ENGASE, WWC2, JADE1, INPPL1, ARID4B, TEPSIN, GRIP1, PPIP5K1, CWC22, POGZ, KIF5A, PPFIA1, SNIP1, DENND5A, CA13, MYH15, NANOS3, KCTD7, ARHGAP45, HGS, PRPF3, GPD1, ISYNA1, NDRG4, DDX5, PXN, CNN3, ARHGAP21, UBB, UBC, PMAIP1, VARS2, HSPA8, UBE2I, SMURF2, DENND4B, HSPA6, KLHL21, HELZ, TRPV1, ARHGAP23, SMAD7, NFKBIA, ARHGAP33, NR4A1, AFDN, FER, NABP1, GCLM, NFKBIE, ULBP1, FGFR1, DOCK6, DDX3Y, GPSM1, USP36, KDM5C, DYRK3, USP34, CGAS, TENT4B, SENP6, CASP9, FLCN, RBM4, SPRED1, RB1CC1, GPER1, AOX1, MAN2C1, GET4, ARHGEF10, PLA2G4C, AXIN1, CIP2A, SFPQ, LATS2, DDAH2, PEAK1, IRF1, RASA2, SHANK3, RBM24, SHANK1, USP12, ASAP1, CBL, ADD1, HSPD1, GNA13, CYTH2, NXF1, IL1RL1, TAF1D, MAPK8, PDLIM3, MAT2A, NT5DC3, PTK2B, CRYM, RBM38, URGCP, CMTM3, FMNL3, REST, NEURL2, CAPN10, PPP2R2D, ACIN1, NAA16, VIM, LPIN1, TAF4, PAXBP1, LPIN2, ASB1, OTUD3	1128	5629	20660	1.3893697657394775	1.0045297926808416E-12	3.3626386572205593E-13	3.2708424869803426E-13
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	70	5.604483586869495	3.271999422231578E-15	RBM27, USP36, DENND1B, RBM25, DYRK3, ELL, HP1BP3, INPPL1, JADE1, HNRNPU, CWC25, PTPRH, TEPSIN, PNN, RBM4, SNRNP70, NFKBIZ, CWC22, CCNL2, CCNL1, DDX17, FNBP4, BRD2, BRD1, RBM15, DYRK1A, SIRT7, DGKZ, PATL1, UHMK1, THOC6, ATXN2L, SFPQ, DDX39B, SYF2, PRPF3, WAC, SRSF3, FAM193B, FAM76B, SRSF5, SRSF6, ZNF830, CBLL1, ATF4, DDX5, AP5Z1, PLAG1, AKAP17A, RCHY1, GLIS2, NXF1, PABPN1, CMYA5, EP400, PIP5K1A, APBB1, SRSF10, SMNDC1, RBM10, RBM39, SMURF2, EAF1, NOC3L, GTF2H4, CLK3, AFDN, ACIN1, HSPA1B, HSPA1A	1128	445	20660	2.8811060642282253	2.240874152903416E-12	5.693278994682946E-13	5.537859022126946E-13
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	424	33.94715772618094	8.468483141132577E-13	ATF2, TRIO, TESK1, FNBP1L, CAPN15, EPS8, RNF112, PPP4R2, ZC3H12A, AKT3, CEP95, PKNOX1, IER2, DDX17, TSPYL2, WSB1, PRKCD, FNDC3A, HCFC2, KIAA1217, NISCH, EID3, DDX39B, EWSR1, TEP1, DDIT3, TBPL1, ATF4, ZNF274, ABCB1, TERC, MRPL18, NEDD4L, BCL10, OAZ1, OAZ2, HSPH1, RIC8B, CEP70, S100A13, PROSER3, CHKB, CHKA, HOMER1, NFATC1, LARP6, SETX, EIF5, AGO3, AGO2, SNAI1, REL, FERMT2, OGFR, SETD2, SMG1, PHF1, MED15, IKBKB, CSRP2, TRIM3, PEA15, NEFM, IKBKG, GPRASP2, DUSP5, BRD2, DUSP2, WDR37, DUSP1, SPHK1, SIRT7, DUSP8, SIRT1, CDC42EP3, TET3, RARA, RAPGEF2, PLEKHO1, RNF166, PHLPP2, AP5Z1, PKN3, SRRT, ODC1, HSPA13, FGD1, NSD2, RNASE7, FLNC, SRSF10, AOC3, EVC2, YTHDF2, AOC2, EGLN2, HSPA1L, YTHDF3, WHRN, SAMD4B, GPR3, SCAF1, DHRS2, RYBP, RLIM, HSPA1B, HSPA1A, ANKRD37, DGKD, MSI1, SAT2, CLU, HID1, EDC4, STK10, ZFP36, SESN2, ZNF207, GRB10, PIM3, KPNA4, PHLDA2, DYRK1A, DGKZ, FBXO11, CLIP2, SAP25, DMWD, SRSF3, TNIK, SQSTM1, DGKH, BRSK1, UBR2, AEBP1, LIN7C, GLIS2, SOCS2, KLC4, ATXN2, HMBOX1, ATXN1, KLC2, SOCS1, NDOR1, HNRNPDL, BAG3, SAFB2, KHDC4, E4F1, SKIL, MPDZ, CCDC18, BRPF1, LVRN, CORO2B, NFKB1, NFKB2, MOB1B, RGCC, CDK3, BCL3, CNOT3, AAK1, NF1, CNTROB, ZNF655, DIDO1, HSP90AB1, PPP1R13B, CELF1, PIK3CD, PTPN21, SYNE3, LBH, SIN3B, MDK, CEP170B, WDR6, UPP1, CHUK, DNMT3A, DNAJC2, TRAF4, ESPL1, TRAF3, NUMB, SMCR8, PPP1R15A, PPP1R15B, NLGN2, TRIM52, NUFIP2, MGRN1, RCHY1, HDAC9, MROH1, DNAJB1, ZNF746, FYN, IGF2BP2, E2F4, FNIP1, CTNNAL1, ALOXE3, TRIM44, NCKAP5L, CDC42BPA, FBXL14, DNAJA1, DNAJA4, RAB15, CTH, TRIM36, PABPC1L, BCAR1, LPGAT1, GORAB, PITPNB, CPNE7, CYB5D1, CHORDC1, ARFIP2, EPC1, SOX8, CHAC1, ARL14, RECQL, ACSL4, YOD1, CSNK1D, CSNK1E, MYO7A, MAPK8IP3, JMJD6, ARC, NEIL2, RRAGC, TRIM17, PNLDC1, ULK1, TRIB1, CBLL1, NECAB2, NUMBL, LHB, DCUN1D2, LPAR2, NLK, KLK6, MICAL1, MIER1, CMYA5, TP53BP2, SNX9, HIVEP3, RIMKLB, EGR1, XRCC4, GADD45B, INTS2, SIAH1, PARP14, PUM1, GADD45G, PUM2, GDF9, SMTN, MC1R, ZUP1, FUBP1, CREBRF, DCP1A, INTS11, GDI1, ZFAND2A, OTUD7B, PTPRH, KIF17, XPO1, PCF11, XPO6, KIF1A, CLIC2, IL11, TFE3, CACYBP, NBPF12, CCDC117, GAK, FAM193B, ARHGEF2, ACTRT3, ARHGEF5, PNCK, RELA, BEGAIN, RELB, ARVCF, SERTAD1, APBB1, PCNT, MAP3K3, MYEF2, MYO9B, PLEKHA4, HYPK, MIB1, ATAT1, PER2, PER3, TRIML2, SGSM2, APBA3, KBTBD8, CRTC2, RIPOR1, WWC2, JADE1, ETS1, PVR, TEPSIN, PPIP5K1, POGZ, KIF5A, PPFIA1, SACS, CA13, SLC30A7, PCID2, GAS2L3, MYH15, NANOS3, KCTD7, POLG2, PPIF, ISYNA1, NDRG4, DDX5, NPR2, PXN, KLHL10, DTX3, VCPIP1, UBB, UBC, HSPA8, UBE2I, TGFB1, UBE2B, SMURF2, DENND4B, HSPA6, SMAD7, CLK1, ISG20, NFKBIA, ARHGAP33, NR4A1, FER, FGF19, TAF4B, NFKBIE, ZCCHC3, ZCCHC2, RBM27, ZMYND15, USP36, KDM5C, RBM25, DYRK3, DDX47, CGB7, CGAS, CHD3, CHD1, MYSM1, TENT4B, SENP6, CASP9, FLCN, RBM4, SIX4, GPER1, AOX1, GET4, AXIN1, CIP2A, TRNAU1AP, PEAK1, IRF1, CRY1, SHANK3, SHANK1, ASAP1, CBL, ADD1, HSPD1, STRN3, GNA13, CYTH2, NXF1, MAPK8, RASD1, PABPN1, PTK2B, CRYM, SMNDC1, PDLIM4, CDK11A, URGCP, CMTM3, YY1AP1, FMNL3, UFM1, REST, CAPN12, CAPN10, TAF7, TBKBP1, NAA16, VIM, LPIN1, OTUD3	1128	5796	20660	1.33985776446461	5.894271737361123E-10	1.1788128532456545E-10	1.146632617309351E-10
GOTERM_CC_DIRECT	GO:0000785~chromatin	102	8.166533226581265	2.9768555908946145E-7	ATF1, ATF2, SCX, JMJD1C, ETS1, ELK1, PPP4R2, POGZ, ADNP2, SOX8, HOXA1, PKNOX1, JUNB, TSPYL2, ZGPAT, CSNK2A2, ZBTB34, THAP1, DDIT3, ERF, ATF3, TSPYL4, ATF4, DLX2, GATA6, UBR2, HMBOX1, NHLH1, DVL3, CAMTA2, EGR1, AKIRIN1, CBX6, UBE2B, PBX2, NFATC1, NFKB1, NFKB2, SMAD7, FOSL1, NR4A1, FER, SP2, MAFF, REL, MAFK, CREBZF, CSRNP1, SETD5, KDM5C, KDM5D, GMEB2, PPP1R10, CHD3, CHD2, CHD1, NIPBL, SIN3B, SIX4, MED10, BRD2, TGIF2, TFE3, SIRT6, FOS, SIRT7, SIRT1, ZFX, ETV5, SFPQ, ELF1, ZEB1, ELF4, IRF1, RARA, SMCR8, CREB5, NFAT5, ZBTB46, SATB2, ZBTB43, NR2C2, RELA, BICRA, RELB, NFIL3, NSD2, E2F3, E2F4, MSX1, E2F6, BRD4, HES4, KDM4C, PCGF2, FOXJ3, IRX4, NAP1L2, MEIS3, NR6A1, FOSB, TAF4	1128	1114	20660	1.677012108942282	2.0716771777073983E-4	3.453152485437753E-5	3.35888539172609E-5
GOTERM_CC_DIRECT	GO:0000932~P-body	19	1.521216973578863	6.95486622738871E-6	YTHDF2, YTHDF3, NANOS3, SAMD4A, RC3H1, SAMD4B, PUM1, PATL1, PNRC2, ISG20, EDC4, ZFP36, AGO3, CNOT3, ZC3H12A, AGO2, IGF2BP2, DCP1A, SQSTM1	1128	100	20660	3.4799645390070926	0.004828906885792517	6.915124134660775E-4	6.726349194203081E-4
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	69	5.524419535628502	3.190797171287234E-5	EIF4A2, DOCK6, ACHE, CCNT2, PPP1R13B, HSP90AB1, CSF1, TESK1, CLU, SH3RF1, RBM4, GPER1, KIF5A, TLK2, KIF1A, RAB8B, SLC30A7, MAP1S, NANOS3, PRKCD, PTOV1, AXIN1, CSNK1D, SLC39A13, SYP, MAPK8IP3, GAK, TRAF4, RAB34, MAP1B, RASA2, RARA, RAPGEF2, TNIK, PKN3, BCL10, CBL, SLC5A3, ARHGAP21, ATXN2, NDOR1, RASD1, STC2, CMYA5, S100A13, TP53BP2, PTK2B, STX4, FYN, RELT, ASIC3, PDLIM4, HSPA8, UBE2I, HIP1R, NFATC1, MYO9B, INHBA, PUM2, PER2, DNAJA1, CYLD, VAPA, RAB15, BCL3, NFKBIE, APBA3, HSPA1B, HSPA1A	1128	754	20660	1.676096280828489	0.02196351373614469	0.002775993539019894	0.002700212106201822
GOTERM_CC_DIRECT	GO:0010494~cytoplasmic stress granule	17	1.3610888710968776	5.192228322065336E-5	DYRK3, YTHDF2, YTHDF3, NUFIP2, CELF1, NANOS3, RC3H1, LARP4B, PUM1, PUM2, ATXN2L, RBM4, NXF1, ATXN2, ZFP36, PABPC1L, IGF2BP2	1128	95	20660	3.2775289287047404	0.035493634953290165	0.004015323235730527	0.0039057095267091475
GOTERM_CC_DIRECT	GO:0071159~NF-kappaB complex	5	0.4003202562049639	1.2091768311116752E-4	REL, RELA, NFKB1, RELB, NFKB2	1128	6	20660	15.263002364066196	0.08071933072786264	0.008415870744537259	0.00818612714662604
