Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,,FDR
KEGG_PATHWAY,hsa04668:TNF signaling pathway,27,2.161729384,1.82E-09,"CXCL6, ATF2, CSF1, PIK3CD, CXCL1, CXCL3, CXCL2, RELA, IKBKB, SOCS3, MAPK8, AKT3, IKBKG, JUNB, CHUK, CCL20, LIF, FOS, NFKB1, NFKBIA, CYLD, TRAF3, IRF1, BCL3, MAP3K14, ATF4, CREB5",512,114,8586,3.971731086,5.36E-07,5.36E-07,TNF signaling pathway,4.38E-07
KEGG_PATHWAY,hsa04010:MAPK signaling pathway,46,3.682946357,6.75E-09,"ATF2, CSF1, NLK, ELK1, RELA, RELB, CRKL, RAP1B, IKBKB, MAPK8, AKT3, IKBKG, FLNC, NGFR, HSPA8, MAP3K3, DUSP5, DUSP2, TGFB1, GADD45B, HSPA1L, CHUK, DUSP1, PLA2G4C, HSPA6, RRAS2, BRAF, NFATC1, FOS, DUSP8, MAPK8IP3, NFKB1, GADD45G, NFKB2, NR4A1, FGF19, DDIT3, RASA2, NF1, RAPGEF2, MAP3K14, HSPA1B, FGFR1, ATF4, HSPA1A, EPHA2",512,301,8586,2.562785507,1.99E-06,9.93E-07,MAPK signaling pathway,8.11E-07
KEGG_PATHWAY,hsa05134:Legionellosis,18,1.441152922,1.27E-08,"HSPA8, ITGAM, CXCL8, HSPA1L, HSPA6, CXCL1, CXCL3, CXCL2, CLK4, RELA, NFKB1, HSPD1, NFKB2, CASP9, CLK1, NFKBIA, HSPA1B, HSPA1A",512,56,8586,5.390206473,3.73E-06,1.24E-06,Legionellosis,1.01E-06
KEGG_PATHWAY,hsa05166:Human T-cell leukemia virus 1 infection,34,2.722177742,8.60E-07,"ATF2, CRTC2, PIK3CD, ETS1, ELK1, ADCY7, RELA, ADCY6, RELB, IKBKB, MAPK8, ZFP36, XPO1, CDC26, AKT3, E2F3, IKBKG, MSX1, EGR1, MAP3K3, TGFB1, CHUK, NFATC1, FOS, HLA-F, NFKB1, NFKB2, NFKBIA, FOSL1, ESPL1, TBPL1, MAP3K14, ATF4, CREB5",512,222,8586,2.568306588,2.53E-04,6.32E-05,,5.16E-05
KEGG_PATHWAY,hsa04657:IL-17 signaling pathway,20,1.601281025,2.05E-06,"CXCL6, CXCL8, HSP90AB1, CHUK, MMP1, CCL20, CXCL1, FOS, CXCL3, CXCL2, RELA, NFKB1, NFKBIA, FOSL1, IKBKB, MAPK8, TRAF4, TRAF3, FOSB, IKBKG",512,94,8586,3.567985372,6.04E-04,1.21E-04,IL-17 signaling pathway,9.86E-05
KEGG_PATHWAY,hsa04380:Osteoclast differentiation,24,1.92153723,4.00E-06,"TGFB1, CHUK, CSF1, PIK3CD, NFATC1, FOS, RELA, NFKB1, RELB, NFKB2, NFKBIA, FOSL1, IKBKB, CYLD, SOCS3, MAPK8, SOCS1, AKT3, FOSB, FYN, IKBKG, SQSTM1, JUNB, MAP3K14",512,135,8586,2.98125,0.001176719,1.96E-04,,1.60E-04
KEGG_PATHWAY,hsa04064:NF-kappa B signaling pathway,20,1.601281025,9.81E-06,"UBE2I, CXCL8, GADD45B, CHUK, CSNK2A2, CXCL1, BCL10, CXCL3, CXCL2, RELA, NFKB1, GADD45G, RELB, NFKB2, NFKBIA, IKBKB, CYLD, TRAF3, IKBKG, MAP3K14",512,104,8586,3.224909856,0.002880005,3.69E-04,NF-kappa B signaling pathway,3.01E-04
KEGG_PATHWAY,hsa05417:Lipid and atherosclerosis,31,2.481985588,1.00E-05,"CXCL8, HSP90AB1, PIK3CD, CXCL1, CXCL3, CXCL2, AGER, RELA, HSPD1, CASP9, RAP1B, IKBKB, MAPK8, AKT3, IKBKG, HSPA8, HSPA1L, CHUK, MMP1, HSPA6, TNFRSF10B, NFATC1, FOS, NFKB1, MIB1, NFKBIA, TRAF3, DDIT3, HSPA1B, ATF4, HSPA1A",512,215,8586,2.417932413,0.00294893,3.69E-04,,3.01E-04
KEGG_PATHWAY,hsa03083:Polycomb repressive complex,17,1.361088871,2.87E-05,"CBX6, MBD6, SFMBT1, PCGF5, PHF1, PCGF2, UBE2D3, EPOP, BMI1, HCFC2, PHC3, ASXL1, RYBP, LCOR, E2F6, OGT, PHF19",512,84,8586,3.393833705,0.00841614,9.39E-04,,7.67E-04
KEGG_PATHWAY,hsa04625:C-type lectin receptor signaling pathway,19,1.521216974,3.59E-05,"CHUK, PRKCD, PIK3CD, RRAS2, NFATC1, BCL10, RELA, NFKB1, RELB, NFKB2, NFKBIA, IKBKB, CYLD, MAPK8, IRF1, AKT3, BCL3, IKBKG, MAP3K14",512,104,8586,3.063664363,0.010507253,0.001056265,,8.62E-04
