GO,FDR,Color
positive regulation of transcription from RNA polymerase II promoter,2.91E-15,1
"regulation of transcription, DNA-templated",1.49E-11,1
chromatin organization,1.49E-11,1
I-kappaB kinase/NF-kappaB signaling,7.96E-04,1
mRNA processing,0.001495681,1
nucleus,1.06E-36,2
nucleoplasm,2.32E-35,2
cytosol,3.27E-13,2
nuclear speck,5.54E-13,2
chromatin,3.36E-05,2
protein binding,4.05E-22,3
DNA binding,6.70E-07,3
chromatin binding,6.70E-07,3
RNA polymerase II core promoter proximal region sequence-specific DNA binding,1.88E-06,3
ubiquitin protein ligase binding,9.50E-04,3
TNF signaling pathway,4.38E-07,4
MAPK signaling pathway,8.11E-07,4
Legionellosis,1.01E-06,4
IL-17 signaling pathway,9.86E-05,4
NF-kappa B signaling pathway,3.01E-04,4
