Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0001666~response to hypoxia,12,3.260869565,1.98E-04,"SMAD4, ACE, CASP3, BNIP3, DDIT4, SLC2A1, ADM, PLOD2, LIMD1, WTIP, HSPG2, VEGFA",326,177,19462,4.047416034,0.321261965,0.349832846,0.349832846
GOTERM_BP_DIRECT,GO:0006357~regulation of transcription from RNA polymerase II promoter,49,13.31521739,3.58E-04,"ZNF251, ZNF805, ZMIZ2, LRRFIP1, TGIF1, KLF12, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, MED22, CREB3, DGKQ, ZNF319, ZNF514, HOXB2, IRF5, JDP2, KDM7A, ZNF397, ZNF275, KDM3A, CTBP2, CBFB, CTBP1, MLLT6, MNT, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF587, ZNF224, ZNF664, XBP1, SMAD4, VEGFA, KLF8, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF337, PKN1, RBAK, RCOR1, ZFP28, ZNF354B",326,1736,19462,1.685063329,0.50331086,0.349832846,0.349832846
GOTERM_BP_DIRECT,GO:0007420~brain development,13,3.532608696,0.001689837,"KDM4B, ACE, FKRP, SPHK2, ATP2B1, SMARCA1, HSPG2, EPOR, PPP3CC, PITPNM1, DDIT4, FPGS, PAFAH1B2",326,264,19462,2.939742517,0.963353042,1,1
GOTERM_BP_DIRECT,GO:0008285~negative regulation of cell proliferation,18,4.891304348,0.002068477,"SMAD4, KLF13, TES, CTBP2, CTBP1, TPBG, EIF2AK2, ADM, CGRRF1, HSPG2, CDC73, MNT, RASSF3, NACC2, FTH1, SPRY2, SPEG, SH2B3",326,462,19462,2.325950123,0.982543818,1,1
GOTERM_BP_DIRECT,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,30,8.152173913,0.00348981,"CTBP2, CBFB, CTBP1, CDC73, MNT, DEAF1, NACC2, TRIM27, ANKRD52, LRRFIP1, ZNF224, SNCA, TGIF1, PLK3, XBP1, KLF12, SMAD4, ZNF282, SAP30, VEGFA, OVOL2, KLF8, BHLHE40, ZNF778, TRIB3, ZNF337, BCOR, BCORL1, JDP2, ZNF354B",326,1015,19462,1.764513887,0.998924007,1,1
GOTERM_BP_DIRECT,GO:0006760~folic acid-containing compound metabolic process,3,0.815217391,0.003989119,"MTHFD1L, MTHFD2, FPGS",326,6,19462,29.84969325,0.999596092,1,1
GOTERM_BP_DIRECT,"GO:0045892~negative regulation of transcription, DNA-templated",20,5.434782609,0.00521019,"ZNF397, L3MBTL1, SMAD4, CTBP2, ZNF282, CTBP1, LIMD1, WTIP, DEAF1, NACC2, BHLHE40, SCMH1, HSBP1L1, TRIB3, BCOR, RBAK, ZNF224, EID2B, RCOR1, TRIM11",326,592,19462,2.016871166,0.999963293,1,1
GOTERM_BP_DIRECT,GO:0006469~negative regulation of protein kinase activity,6,1.630434783,0.005561503,"DBNDD2, DVL1, TRIB3, PKN1, TRIM27, SNCA",326,68,19462,5.267592927,0.999981599,1,1
GOTERM_BP_DIRECT,GO:0090141~positive regulation of mitochondrial fission,4,1.086956522,0.005615184,"BNIP3, DDHD2, SPIRE1, MIEF2",326,22,19462,10.85443391,0.999983442,1,1
GOTERM_BP_DIRECT,"GO:0006355~regulation of transcription, DNA-templated",29,7.880434783,0.007328274,"L3MBTL1, ZNF251, CHD7, LIMD1, MLLT6, SCMH1, DVL1, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, PDE8A, TGIF1, SMAD4, ZNF284, ZNF282, ZNF160, SMARCA1, WTIP, SAP30, PTP4A3, ZNF37A, BHLHE40, ZNF778, ZNF514, ZNF337, RBAK, ZFP28, ZNF354B",326,1024,19462,1.690705282,0.999999431,1,1
GOTERM_BP_DIRECT,GO:0032092~positive regulation of protein binding,6,1.630434783,0.007928435,"ACE, RALB, LRP1, CAPRIN2, TRIB3, PKD1",326,74,19462,4.840490798,0.999999826,1,1
GOTERM_BP_DIRECT,GO:0006468~protein phosphorylation,16,4.347826087,0.008171664,"CDKL2, PLK3, SRMS, CTBP1, CDC42BPG, TNK1, HUS1, EIF2AK2, CDC42BPB, RSKR, NRBP2, TRIB3, PKN1, CAMK1, MAP3K11, PDK1",326,445,19462,2.146494796,0.999999892,1,1
GOTERM_BP_DIRECT,GO:0070534~protein K63-linked ubiquitination,5,1.358695652,0.008337918,"ITCH, TRAF5, TRAF2, TRIM27, TRIM56",326,48,19462,6.218686094,0.999999922,1,1
GOTERM_BP_DIRECT,GO:0031623~receptor internalization,5,1.358695652,0.0103003,"ITCH, RALB, LRP1, ADM, SNCA",326,51,19462,5.85288103,0.999999998,1,1
GOTERM_BP_DIRECT,GO:0035556~intracellular signal transduction,16,4.347826087,0.011196016,"SMAD4, CDC42BPG, ADCY4, ADCY3, CDC42BPB, KCTD9, NRBP2, RASSF1, RASSF3, DGKQ, DDIT4, DVL1, PKN1, SH2B3, SIPA1, TNS1",326,462,19462,2.067511221,1,1,1
GOTERM_BP_DIRECT,GO:0001843~neural tube closure,6,1.630434783,0.011481204,"VASP, SDC4, MTHFD1L, DEAF1, ADM, CELSR1",326,81,19462,4.422176778,1,1,1
GOTERM_BP_DIRECT,GO:0007565~female pregnancy,6,1.630434783,0.014597118,"SLC38A1, ACE, SPHK2, SLC2A1, ADM, UPRT",326,86,19462,4.165073477,1,1,1
GOTERM_BP_DIRECT,GO:0030036~actin cytoskeleton organization,10,2.717391304,0.016750854,"VASP, INF2, PDLIM2, IQSEC1, CDC42BPG, SPIRE1, KRAS, CDC42BPB, ARFGEF3, PDLIM7",326,233,19462,2.562205429,1,1,1
GOTERM_BP_DIRECT,GO:0007264~small GTPase mediated signal transduction,7,1.902173913,0.017281319,"DOCK11, CCDC88A, RGS19, RASGEF1A, DOCK9, SH2D3A, VAV2",326,123,19462,3.397526061,1,1,1
GOTERM_BP_DIRECT,GO:0060394~negative regulation of pathway-restricted SMAD protein phosphorylation,3,0.815217391,0.019203469,"XBP1, LRP1, SNX25",326,13,19462,13.7767815,1,1,1
GOTERM_BP_DIRECT,GO:0016024~CDP-diacylglycerol biosynthetic process,3,0.815217391,0.019203469,"GPAT4, AGPAT2, CDS2",326,13,19462,13.7767815,1,1,1
GOTERM_BP_DIRECT,GO:0033169~histone H3-K9 demethylation,3,0.815217391,0.019203469,"KDM4B, KDM3A, KDM7A",326,13,19462,13.7767815,1,1,1
GOTERM_BP_DIRECT,GO:0033138~positive regulation of peptidyl-serine phosphorylation,6,1.630434783,0.019843083,"SH2D3A, CAPRIN2, SPRY2, CAMK1, VEGFA, SNCA",326,93,19462,3.851573323,1,1,1
GOTERM_BP_DIRECT,GO:0016567~protein ubiquitination,16,4.347826087,0.020774589,"RNF34, DCAF4, MID2, KLHL9, KCTD9, ITCH, MED30, GAN, TSPAN17, ENC1, TRIM47, KCTD11, TRIM27, LZTR1, TRIM11, FBXO9",326,498,19462,1.918052578,1,1,1
