cell division,20,1
negative regulation of apoptotic process,14,1
mitotic cell cycle,13,1
protein transport,11,1
mitotic spindle organization,10,1
transmembrane transport,10,1
response to xenobiotic stimulus,10,1
cell cycle,10,1
cellular response to lipopolysaccharide,8,1
mitotic cytokinesis,7,1
epidermis development,7,1
keratinization,7,1
response to hypoxia,7,1
mitotic spindle assembly checkpoint,6,1
G2/M transition of mitotic cell cycle,6,1
chromosome segregation,6,1
cytosol,112,2
cytoplasm,99,2
nucleus,98,2
nucleoplasm,73,2
membrane,67,2
extracellular exosome,40,2
mitochondrion,29,2
intracellular membrane-bounded organelle,22,2
centrosome,15,2
kinetochore,13,2
spindle,12,2
protein binding,197,3
protein kinase binding,13,3
ATPase activity,12,3
microtubule binding,11,3
protein C-terminus binding,8,3
beta-amyloid binding,5,3
fibronectin binding,4,3
microtubule motor activity,4,3
choline transmembrane transporter activity,3,3
low-density lipoprotein particle binding,3,3
cytochrome-c oxidase activity,3,3
