Category,Term,,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0051301~cell division,cell division,20,8.097165992,2.66E-07,"CDCA5, NCAPG2, NCAPG, BUB1B, KIF11, SMC1A, NDC80, SKA1, AURKA, CCNA2, CDC20, ASPM, CCNB2, TPX2, CENPF, CCNB1, CDC23, BIRC5, MCM5, KIF2C",235,389,19462,4.257944539,4.31E-04,2.12E-04,2.11E-04
GOTERM_BP_DIRECT,GO:0043066~negative regulation of apoptotic process,negative regulation of apoptotic process,14,5.668016194,0.014482099,"MSX2, CBX4, BCL11B, CITED2, PLK2, TENT5B, THBS1, DKK1, AURKA, MIEN1, CTSH, BIRC5, CRYAB, PPARD",235,542,19462,2.139185051,1,0.780585156,0.776723262
GOTERM_BP_DIRECT,GO:0000278~mitotic cell cycle,mitotic cell cycle,13,5.263157895,3.93E-07,"CDCA5, PLK2, DCTN3, KIF11, NDC80, SKA1, AURKA, TPX2, CENPF, TUBB2A, CDC23, BIRC5, MYBL2",235,155,19462,6.94594372,6.35E-04,2.12E-04,2.11E-04
GOTERM_BP_DIRECT,GO:0015031~protein transport,protein transport,11,4.453441296,0.043949439,"BTF3, LMAN1, SLC15A1, CENPF, NBAS, VPS51, CHMP2A, KIF20A, COPZ1, SCAMP2, VPS35L",235,446,19462,2.042572274,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0007052~mitotic spindle organization,mitotic spindle organization,10,4.048582996,2.87E-08,"CCNB1, PLK2, KIF4A, STMN1, BIRC5, WDR62, KIF11, NDC80, DLGAP5, AURKA",235,58,19462,14.27879677,4.65E-05,4.65E-05,4.62E-05
GOTERM_BP_DIRECT,GO:0055085~transmembrane transport,transmembrane transport,10,4.048582996,0.003829748,"SLC44A5, PSMB6, SLC35B2, SLC44A3, SLC44A2, PSMA2, GJA9, ABCA12, GPR155, GSDME",235,255,19462,3.247726325,0.997979867,0.412846886,0.410804354
GOTERM_BP_DIRECT,GO:0009410~response to xenobiotic stimulus,response to xenobiotic stimulus,10,4.048582996,0.006513169,"BCHE, HDAC5, CENPF, ABCD3, SEMA3C, ARG1, XRCC1, BLMH, ADD3, THBS1",235,277,19462,2.989784162,0.999974229,0.585099722,0.58220498
GOTERM_BP_DIRECT,GO:0007049~cell cycle,cell cycle,10,4.048582996,0.0354758,"FANCI, RGS2, CDCA5, HJURP, BIRC5, MCM5, MAP3K8, KIF11, AURKA, CDKN3",235,370,19462,2.238297872,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0071222~cellular response to lipopolysaccharide,cellular response to lipopolysaccharide,8,3.238866397,0.010212956,"HADHB, IL1A, HDAC5, ARG1, CD68, GBP2, PPARD, IL1F10",235,198,19462,3.346142274,0.999999938,0.68809793,0.684693611
GOTERM_BP_DIRECT,GO:0000281~mitotic cytokinesis,mitotic cytokinesis,7,2.834008097,1.66E-04,"KIF4A, STMN1, BIRC5, KIF20A, CEP55, RHOB, ZNF365",235,68,19462,8.525281602,0.235998365,0.053832589,0.053566256
