NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	48	4.83844518661499	0.017478311	No	
row_1	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	69	4.78495454788208	0.03581598	No	
row_2	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	451	4.062023162841797	0.03743432	No	
row_3	HSPH1	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]	490	4.013598442077637	0.052002598	No	
row_4	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	504	3.997051954269409	0.06746277	No	
row_5	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	522	3.979344129562378	0.08269898	No	
row_6	TP53INP2	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	586	3.898139715194702	0.09584832	No	
row_7	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	712	3.742083787918091	0.10599885	No	
row_8	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	1031	3.443187713623047	0.10756055	No	
row_9	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	1115	3.3812448978424072	0.11787981	No	
row_10	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	1197	3.324180841445923	0.12804787	No	
row_11	KMT5A	lysine methyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:29489]	1233	3.3021271228790283	0.13989054	No	
row_12	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	1336	3.2357327938079834	0.14890078	No	
row_13	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	1624	3.053799867630005	0.15009572	No	
row_14	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	2118	2.8015928268432617	0.14239007	No	
row_15	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	2292	2.707294225692749	0.1465699	No	
row_16	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	2315	2.6918790340423584	0.15647428	No	
row_17	SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	2490	2.6213250160217285	0.16027254	No	
row_18	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	2577	2.5819413661956787	0.1672856	No	
row_19	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	2688	2.5313756465911865	0.17317714	No	
row_20	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	2715	2.521784782409668	0.18224913	No	
row_21	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	2942	2.4202728271484375	0.18325213	No	
row_22	PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]	3250	2.296576499938965	0.18065746	No	
row_23	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	3300	2.279416084289551	0.18788047	No	
row_24	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	3412	2.230943202972412	0.19253421	No	
row_25	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	3645	2.134016275405884	0.1921644	No	
row_26	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	3699	2.1125552654266357	0.19856794	No	
row_27	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	3754	2.093181610107422	0.20485581	No	
row_28	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	4209	1.9288606643676758	0.1951602	No	
row_29	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	4247	1.9182463884353638	0.20140105	No	
row_30	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	4352	1.879826545715332	0.20492117	No	
row_31	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	4591	1.8010388612747192	0.20299204	No	
row_32	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	4739	1.7579824924468994	0.204378	No	
row_33	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	4767	1.7459880113601685	0.21031429	No	
