NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	62	4.80010986328125	0.07966471	Yes	
row_1	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	269	4.375152111053467	0.14657508	Yes	
row_2	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	270	4.374635219573975	0.22133352	Yes	
row_3	L1CAM	L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]	286	4.339810848236084	0.29492474	Yes	
row_4	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1059	3.4261136054992676	0.32402954	Yes	
row_5	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	1406	3.184235095977783	0.36524862	Yes	
row_6	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	1566	3.0874829292297363	0.4119465	Yes	
row_7	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	1776	2.9690639972686768	0.45471373	Yes	
row_8	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	2195	2.7634921073913574	0.4859966	Yes	
row_9	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	2938	2.421004056930542	0.4990692	Yes	
row_10	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	4649	1.7847199440002441	0.46434855	Yes	
row_11	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	5109	1.6374778747558594	0.4748251	Yes	
row_12	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	5327	1.559878945350647	0.49320555	Yes	
row_13	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	5710	1.444409966468811	0.5033196	Yes	
row_14	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	5873	1.3958617448806763	0.52099484	Yes	
row_15	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	7467	0.9524882435798645	0.47651452	Yes	
row_16	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	7544	0.9316073656082153	0.48953617	Yes	
row_17	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	7700	0.8903880715370178	0.49884033	Yes	
row_18	LDB1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	7704	0.8889734148979187	0.5139176	Yes	
row_19	TLE1	TLE family member 1, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11837]	8142	0.7887876033782959	0.51072997	Yes	
row_20	PML	PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113]	8164	0.7846354246139526	0.5233377	Yes	
row_21	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	10575	0.3583342730998993	0.43754324	No	
row_22	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	10592	0.3566243052482605	0.44302738	No	
row_23	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	10828	0.32195165753364563	0.43956625	No	
row_24	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	11458	0.2269384115934372	0.4194542	No	
row_25	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	11561	0.2080041915178299	0.4191185	No	
row_26	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	12294	0.021380411460995674	0.39156517	No	
row_27	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	14253	0.0	0.3168865	No	
row_28	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	14450	0.0	0.30941102	No	
row_29	UNC5C	unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569]	14546	0.0	0.30578768	No	
row_30	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	20228	-0.06491106003522873	0.09022202	No	
row_31	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	22928	-0.7570527195930481	2.1873883E-4	No	
row_32	AMOT	angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]	23107	-0.8395084142684937	0.0077761863	No	
row_33	SCG2	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	23219	-0.890036404132843	0.018752508	No	
row_34	ADGRG1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	25349	-2.548436164855957	-0.018897748	No	
row_35	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	25727	-3.1234347820281982	0.020099957	No	
