NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	32	4.907126426696777	0.013358596	Yes	
row_1	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	190	4.531520366668701	0.020803135	Yes	
row_2	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	242	4.419641971588135	0.031983424	Yes	
row_3	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	274	4.365061283111572	0.043769076	Yes	
row_4	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	312	4.282459259033203	0.055078905	Yes	
row_5	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	400	4.148212432861328	0.06407066	Yes	
row_6	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	426	4.103784561157227	0.075309925	Yes	
row_7	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	481	4.019989490509033	0.08518708	Yes	
row_8	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	502	3.9989688396453857	0.09630668	Yes	
row_9	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	573	3.9132943153381348	0.10525259	Yes	
row_10	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	585	3.8982765674591064	0.1164183	Yes	
row_11	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	922	3.5324254035949707	0.11402287	Yes	
row_12	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1046	3.432276487350464	0.11950477	Yes	
