NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	28	4.912119388580322	0.015089555	Yes	
row_1	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	30	4.909865379333496	0.031207962	Yes	
row_2	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	48	4.83844518661499	0.046477262	Yes	
row_3	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	62	4.80010986328125	0.061773933	Yes	
row_4	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	64	4.796769618988037	0.07752018	Yes	
row_5	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	90	4.728743553161621	0.092121445	Yes	
row_6	PTP4A3	protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]	121	4.654543399810791	0.10628664	Yes	
row_7	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	181	4.548426628112793	0.1189896	Yes	
row_8	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	224	4.461257457733154	0.13205819	Yes	
row_9	SCHIP1	schwannomin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15678]	281	4.354400634765625	0.14423782	Yes	
row_10	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	359	4.211082935333252	0.15513985	Yes	
row_11	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	443	4.080909729003906	0.16538325	Yes	
row_12	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	544	3.956326961517334	0.17456421	Yes	
row_13	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	549	3.941235303878784	0.18738002	Yes	
row_14	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	711	3.7436423301696777	0.1935199	Yes	
row_15	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	923	3.5309531688690186	0.19704089	Yes	
row_16	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	938	3.517674684524536	0.2080791	Yes	
row_17	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1015	3.4555821418762207	0.2165334	Yes	
row_18	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	1030	3.4433038234710693	0.22732687	Yes	
row_19	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1107	3.386061429977417	0.23555242	Yes	
row_20	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	1115	3.3812448978424072	0.24641034	Yes	
row_21	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	1132	3.3653218746185303	0.25687045	Yes	
row_22	CNN3	calponin 3 [Source:HGNC Symbol;Acc:HGNC:2157]	1180	3.3379833698272705	0.2660508	Yes	
row_23	CHRNB1	cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]	1332	3.237584114074707	0.27090922	Yes	
row_24	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	1591	3.0724422931671143	0.2711175	Yes	
row_25	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1650	3.033430814743042	0.27887347	Yes	
row_26	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	1823	2.9513585567474365	0.28198403	Yes	
row_27	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	1899	2.9044086933135986	0.28866297	Yes	
row_28	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	1939	2.8863794803619385	0.2966643	Yes	
row_29	TEAD4	TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]	2071	2.820047378540039	0.30091634	Yes	
row_30	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	2073	2.8194267749786377	0.31015578	Yes	
row_31	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	2196	2.761693239212036	0.31456122	Yes	
row_32	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	2322	2.6890101432800293	0.31861234	Yes	
row_33	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	2520	2.6048848628997803	0.31962326	Yes	
row_34	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]	2589	2.575373888015747	0.32548812	Yes	
row_35	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	2690	2.5312740802764893	0.3299797	Yes	
row_36	MEF2A	myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]	2776	2.5001132488250732	0.33494443	Yes	
row_37	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	2927	2.4275426864624023	0.33717564	Yes	
row_38	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	3043	2.381472587585449	0.34059855	Yes	
row_39	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	3178	2.321709632873535	0.3430956	Yes	
row_40	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	3183	2.319847822189331	0.35057592	Yes	
row_41	SORBS3	sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]	3218	2.3063364028930664	0.35686043	Yes	
row_42	AEBP1	AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]	3264	2.290834426879883	0.3626717	Yes	
