NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	30	4.909865379333496	0.02540742	Yes	
row_1	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	32	4.907126426696777	0.051909354	Yes	
row_2	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]	100	4.7071919441223145	0.07480527	Yes	
row_3	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	199	4.505660533905029	0.095425375	Yes	
row_4	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	221	4.478017330169678	0.11884142	Yes	
row_5	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	229	4.45467472076416	0.14266676	Yes	
row_6	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	242	4.419641971588135	0.16611135	Yes	
row_7	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	896	3.5563273429870605	0.16036677	Yes	
row_8	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	918	3.5361578464508057	0.17868878	Yes	
row_9	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1059	3.4261136054992676	0.19186354	Yes	
row_10	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	1263	3.287936210632324	0.20188105	Yes	
row_11	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	1456	3.152669668197632	0.21158776	Yes	
row_12	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1504	3.1244497299194336	0.22668847	Yes	
row_13	DCP1A	decapping mRNA 1A [Source:HGNC Symbol;Acc:HGNC:18714]	1561	3.08833909034729	0.2412496	Yes	
row_14	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	1663	3.026052474975586	0.2537525	Yes	
row_15	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	2052	2.8289928436279297	0.25421107	Yes	
row_16	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	2075	2.8190033435821533	0.26861608	Yes	
row_17	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	2295	2.7067883014678955	0.27487844	Yes	
row_18	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	2486	2.6229910850524902	0.28179687	Yes	
row_19	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	2491	2.6209843158721924	0.29581946	Yes	
row_20	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	2520	2.6048848628997803	0.3088369	Yes	
row_21	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	2531	2.6001198291778564	0.32251713	Yes	
row_22	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	2717	2.520789861679077	0.32907408	Yes	
row_23	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	2722	2.520049810409546	0.34255075	Yes	
row_24	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	2857	2.464794158935547	0.35075572	Yes	
row_25	NFYB	nuclear transcription factor Y subunit beta [Source:HGNC Symbol;Acc:HGNC:7805]	2874	2.453104019165039	0.3634113	Yes	
row_26	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	2930	2.4250545501708984	0.3744233	Yes	
row_27	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	2959	2.4121475219726562	0.38639835	Yes	
row_28	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	3047	2.3805861473083496	0.39594576	Yes	
row_29	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	3251	2.2959747314453125	0.40059826	Yes	
row_30	ZBTB17	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	3276	2.287552833557129	0.41205242	Yes	
row_31	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	3401	2.234380006790161	0.41939372	Yes	
