Row_Names,Genes_Present
1,"MPC1, OAT, ATP6AP1, POLR2F, ACO2, IDH3B, COX6A1, COX7A2, ATP5PB, COX4I1, COX7B, HADHB, MRPL11, SDHD, NDUFS3"
2,"POLA2, TRIP13, SMC1A, HMMR, AURKA, BIRC5, KIF4A, MCM5, CDKN3, MYBL2, CDC20, STMN1, DLGAP5, DIAPH3, KIF2C, SSRP1, BUB1B, CCNB2, NOLC1, WEE1, MCM7, RRM2, NAA38, NAP1L1"
3,"PSME1, PSME2, OASL, DDX60, IFI44, GBP2, B2M, ISG15"
4,"RBP1, ABCD3, PFKM, SLC35B2"
5,"EDN1, SGK1, SPRR3, CDH16, KRT4, KRT15, SERPINB2"
6,"SCARB1, ACO2, COX6A1, ARL4A, COX7B, COQ3, HSPB8, NDUFS3"
7,"NTHL1, PSME1, ACO2, IDH3B, MCEE, HADHB, MAOA, SDHD"
8,"FBLN1, ACO2, PPARD, ARG1, MT2A, XDH, MAOA"
9,"RPL18, PABPC1, MCM5, PSMA2, CDC20, RPS10, CCNA2, NOLC1, MCM7, TYMS, NAP1L1"
10,"PABPC1, SEMA3C, ABCD3, SLC35B2, FIS1"
11,"PSME1, HIF1A, PSME2, PSMA2, ARL4A, MT2A, OASL, DDX60, IFI44, B2M, IFIT1, ISG15, PELI1, HLA-A"
12,"SCARB1, TFAP2C, KIF20A, CDC20, SGK1, ADD3, HSPB8, CKB"
13,"RPL18, CD81, IL1A, TNFSF9, ZNF365, PLK2"
14,"DPP4, MAFB"
15,"TIMP3, CTSH, THBS1, CTSK, SERPINB2, DPP4, CFD"
16,"POLA2, SMC1A, HMMR, NDC80, AURKA, TPX2, BIRC5, KIF4A, MCM5, CDKN3, HIF1A, MYBL2, NCL, CDC20, STMN1, CENPF, MT2A, KIF11, KIF2C, CCNA2, CCNB2, NOLC1, PBK, BUB1, EXO1, UBE2C, PRC1"
17,"POLA2, POLR2F, GSDME, POLR2K, SSRP1, SAC3D1, NUDT9, TYMS"
18,
19,ACSS2
20,"CTSH, CALM3, SERPINB2, DPP4"
21,"SCARB1, TFAP2C, SYNGR1, BCL11B, ADD3, HSPB8, AQP3, NAV2, KRT15"
22,"MCM5, NOLC1, IPO4"
23,"AURKA, CDKN3, ARL4A, KIF2C, CCNB2, BUB1"
24,
25,"HMMR, AURKA, KIF20A, STMN1, NT5E, CITED2"
26,PPARD
27,"COL17A1, CLDN4, CTNND1, CDSN"
28,"HIF1A, GBP2, B2M, RPL39, HLA-E, HLA-A"
29,
30,"LMAN1, ERGIC3"
31,"LMAN1, INPP4B, SGK1, B2M"
32,"AURKA, ADD3, HSP90B1, BUB1, RRM2, PSMD13"
33,"TIMP3, IL1A, RHOB, WEE1"
34,"ATP6AP1, HDAC5, CRYAB, TNNI2, FST, HSPB8, PFKM, CKB, NAV2, EPHB3, CFD, GJA5"
35,"EDN1, HIF1A, IL1A, TNFSF9, PCDH7"
36,"SMC1A, NDC80, AURKA, TPX2, BIRC5, KIF4A, CENPF, DLGAP5, KIF11, KIF2C, CCNB2, SAC3D1, BUB1, GEMIN4, PRC1"
37,"FBLN1, TIMP3, DKK1, NT5E, THBS1, GLIPR1, RHOB, MCM7, THBS2"
38,"MAP3K8, CD81, ARL4A, NT5E, RHOB, PRAF2"
39,"ARG1, PDCD1LG2, MAFB"
40,MAP3K8
41,"DAAM1, ADIPOR1, AQP3, SLC30A1"
42,"DKK1, HDAC5, PPARD"
43,HSP90B1
44,NRP2
45,"TUBB2A, NOLC1, HSP90B1, EEF2, GEMIN4, IFIT1"
46,"SCARB1, MT2A, CITED2, MT1E"
47,"RHOB, AQP3, CLTB, MAOA"
48,"INPP4B, RND3, ADD3, CITED2, MIOS, MT1E"
49,"LTBP2, THBS1"
50,"EDN1, MAP3K8, IL1A, SGK1, TNFSF9, TUBB2A, RHOB, PLK2, SERPINB2"
