HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_E2F_TARGETS,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_MYC_TARGETS_V1,HALLMARK_PEROXISOME,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_COAGULATION,HALLMARK_G2M_CHECKPOINT,HALLMARK_DNA_REPAIR,HALLMARK_APICAL_SURFACE,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COMPLEMENT,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_MYC_TARGETS_V2,HALLMARK_SPERMATOGENESIS,HALLMARK_ANGIOGENESIS,HALLMARK_GLYCOLYSIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_APICAL_JUNCTION,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_PROTEIN_SECRETION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MTORC1_SIGNALING,HALLMARK_APOPTOSIS,HALLMARK_MYOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MITOTIC_SPINDLE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_HYPOXIA,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_DN,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ABCB7,AK2,ADAR,ABCA1,ABCB11,ABCA1,AADAT,ABCC2,ABCE1,ABCB1,ADAR,ABCA3,ABAT,ABCC8,A2M,ABL1,AAAS,ADAM10,ABCA2,ACTN2,ABAT,AIMP2,ACE,APOH,ABCB6,APH1A,ACTA1,AARS1,ABCC1,ABCA1,ABCC4,ABCF2,ADD1,ABLIM1,ABCA1,ABI1,ABI3BP,ABCB1,ABCB1,A2M,ABCB6,ADAM17,ACACA,ACHE,ALDH18A1,ACKR3,ABCB1,ABCC1,ACVR1,ABCA1
ACAA1,ANP32E,B2M,ABCA2,ABCG4,ABCB8,ACAA1,ABCC3,ACP1,ABCB4,APOL6,ABHD2,ABCC5,AKT3,ACOX2,AMD1,ADA,ADIPOR2,ACAT2,ADAM9,ABCA3,BYSL,ACRBP,APP,ADORA2B,ARRB1,ACTB,ABCE1,ATOX1,ADAM10,ABHD2,ACACA,AIFM3,ACHE,ABI1,ABL1,ACTA2,ADAM19,ACE,ACVR1B,ABCG2,AXIN1,ACTR2,ADGRG1,ARFGAP1,ADM,ACAA1,ACVR2A,APC,ACKR3
ACAA2,ASF1A,BATF2,ABCA3,ACTC1,ACAA2,ACAA2,ABCD2,AIMP2,ABCB9,ARID5B,ACOX2,ABHD4,CHGA,ADAM9,ARID4A,ADCY6,AFAP1L2,ACSS2,ADRA2B,ABHD2,CBX3,ACRV1,CCND2,AGL,CCND1,ACTC1,ABI1,CAT,ANP32E,ACSL3,ACLY,ANKH,ACSL1,ACVR1B,ABR,ADAM12,AGER,ADAM17,ACVRL1,ACKR1,AXIN2,ACTR3,AMOT,ASNS,ADORA2B,AGO2,ADD3,ARID4B,AREG
ACADM,ASF1B,BST2,ABCA4,ADRA2C,ACADL,ACADL,ABHD6,AP3S1,ABCC5,ARL4A,ADD3,ACVR1B,DCX,ANG,ATF5,ADRM1,AKAP7,ACTG1,AKAP10,ABLIM1,CDK4,ACTL7B,COL3A1,AGRN,CUL1,ACTG1,ACHE,CDKN2D,AP1G1,ACTN1,ACSL3,ANXA1,ACTA1,ACVR2A,ACTN4,ANPEP,AHCY,ADAM8,BAK1,ACP5,CCND2,ADCY2,CDK5R1,ATF3,AK4,ALAS1,ADGRL2,BCAR3,ATF3
ACADSB,ATAD2,C1S,ABCA5,AKR1B10,ACADM,ACADM,ACO2,APEX1,ABCC8,AUTS2,AFF1,ADA,DPP4,ANXA1,ATRX,AGO4,APP,ADH4,ANG,ADCY1,DCTPP1,ADAD1,COL5A2,AK3,DLL1,ACTG2,ACVR2A,EGLN2,AP2B1,ADAMTS1,ACTR2,APP,ACTC1,ADGRE1,AKAP13,APLP1,AHNAK,ADAMDEC1,CBL,ACSL6,CSNK1E,AKT1,CDK6,ATF4,AKAP12,ALDOA,ADORA2B,BMP2,ATP2B1
ACADVL,AURKA,CASP1,ABCA6,ALOX12B,ACADS,ACADS,ACOX1,BUB3,ABCD1,B2M,AGR2,AEN,ELP4,APOA1,AURKA,AK1,ATP6V0A4,ALCAM,ANXA5,ADCY9,DDX18,ADAM2,CXCL6,AK4,DTX1,ACTN1,AKT1,ERCC2,AP2M1,ADRM1,ACTR3,ATF3,ACTN2,ADM,ALMS1,AREG,AHR,ADGRA2,CCL7,ADD1,CTNNB1,AKT1S1,CELSR1,ATF6,ALDOA,AMD1,AGGF1,BMPR1A,B4GALT1
ACAT1,AURKB,CASP8,ABCA8,AMBN,ACLY,ACADVL,ACOX2,C1QBP,ABCD2,BANK1,ALDH3A2,AK1,FOXA2,APOC1,AURKB,AK3,ATP8B1,ALDOC,APOA4,ADD3,DUSP2,ADCYAP1,FGFR1,AKR1A1,DTX2,ACTN2,APBB1,FES,AP2S1,AKAP12,ADD3,AVPR1A,ACTN3,ADORA2B,ALS2,BASP1,ALCAM,ADGRL4,CCR1,ADD2,CUL1,AP2M1,CNTFR,ATP6V0D1,ALDOB,AP2S1,AKT3,BMPR2,B4GALT5
ACO2,BARD1,CCRL2,ABCA9,ARHGDIG,ACO2,ACAT2,ACOX3,CAD,ABCD3,BATF2,ALDH3B1,ALOX15B,FOXO1,APOC2,BARD1,ALYREF,B4GALT1,ANTXR2,APOBEC3F,AFF1,EXOSC5,AGFG1,FSTL1,ALDH7A1,DTX4,ACTN3,B2M,FTL,AP3B1,AKT1,ADIPOR2,BAX,ADAM12,ADRM1,ANLN,BDNF,AMACR,AKAP12,CD14,ADIPOR1,DKK1,ARF1,CRMP1,BAG3,ALDOC,APOM,AMPH,CDH1,BCL2A1
AFG3L2,BIRC5,CD47,ABCD1,ARPP21,ACOX1,ACO2,ACP1,CANX,ACAA1,BPGM,AMFR,ANKRA2,G6PC2,APOC3,BCL3,APRT,BRCA1,ANXA13,APOBEC3G,AKAP1,FARSA,AKAP4,ITGAV,ALDH9A1,FBXW11,ACTN4,BCAT1,G6PD,AP3S1,ALDH1A3,AK4,BCAP31,ADCY9,AHR,APC,BGN,ANXA4,AKT2,CD36,AGPAT4,DKK4,ARHGDIA,DPYSL2,BANF1,AMPD3,AQP3,ANXA2,CDK9,BCL3
