NAME	TITLE	SCORE	
H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	4.9932003	
HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	4.990402	
LUCAT1	lung cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:48498]	4.9900427	
IGFN1	immunoglobulin like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24607]	4.9859014	
FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	4.9804635	
H4C6	H4 clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4783]	4.9763327	
GPR50	G protein-coupled receptor 50 [Source:HGNC Symbol;Acc:HGNC:4506]	4.9721317	
KIF1A	kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888]	4.966316	
ENSG00000205890	novel transcript, antisense to CCDC64B	4.9651375	
MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	4.960189	
AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	4.953473	
IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	4.953259	
CORO2B	coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256]	4.948382	
WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	4.9462433	
CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	4.944272	
CCN3	cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]	4.940688	
MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	4.9403615	
CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	4.93752	
IL6R-AS1	IL6R antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53716]	4.9337816	
ARC	activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648]	4.933271	
IL11	interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]	4.9313755	
H4C2	H4 clustered histone 2 [Source:HGNC Symbol;Acc:HGNC:4789]	4.9304633	
H4C5	H4 clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4790]	4.9256296	
H1-4	H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]	4.924778	
CARMIL2	capping protein regulator and myosin 1 linker 2 [Source:HGNC Symbol;Acc:HGNC:27089]	4.9221787	
SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	4.9183836	
H4C13	H4 clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4791]	4.917434	
LINC02533	long intergenic non-protein coding RNA 2533 [Source:HGNC Symbol;Acc:HGNC:53566]	4.913868	
COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	4.9121194	
H2AC12	H2A clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13671]	4.91163	
STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	4.9098654	
SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	4.9074926	
ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	4.9071264	
CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	4.902826	
VGF	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	4.901189	
PTPRH	protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]	4.8953238	
H3C3	H3 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4768]	4.891048	
DPH1-AS1	DPH1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56040]	4.8908834	
CYLD-AS1	CYLD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55352]	4.8884573	
RBM24	RNA binding motif protein 24 [Source:HGNC Symbol;Acc:HGNC:21539]	4.8840094	
FAM131B	family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]	4.8823223	
ZBTB46	zinc finger and BTB domain containing 46 [Source:HGNC Symbol;Acc:HGNC:16094]	4.867822	
LINC00452	long intergenic non-protein coding RNA 452 [Source:HGNC Symbol;Acc:HGNC:42800]	4.8540063	
LINC01807	long intergenic non-protein coding RNA 1807 [Source:HGNC Symbol;Acc:HGNC:52610]	4.8516026	
ADM2	adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]	4.8493834	
BEGAIN	brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]	4.848035	
EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	4.8449326	
FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	4.8421464	
ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	4.838445	
LINC02925	long intergenic non-protein coding RNA 2925 [Source:HGNC Symbol;Acc:HGNC:55756]	4.834055	
PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]	4.8317327	
H2AC20	H2A clustered histone 20 [Source:HGNC Symbol;Acc:HGNC:4738]	4.8285155	
LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	4.8270345	
WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	4.823784	
H4C16	H4 histone 16 [Source:HGNC Symbol;Acc:HGNC:20510]	4.822664	
TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	4.82221	
MSI1	musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330]	4.816952	
GPAT3	glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]	4.8160553	
H2AC7	H2A clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4729]	4.815072	
FADS3	fatty acid desaturase 3 [Source:HGNC Symbol;Acc:HGNC:3576]	4.8131375	
ARID3B	AT-rich interaction domain 3B [Source:HGNC Symbol;Acc:HGNC:14350]	4.8125086	
GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	4.8004937	
ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	4.80011	
SLC44A4	solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]	4.7971516	
CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	4.7967696	
MEIS3	Meis homeobox 3 [Source:HGNC Symbol;Acc:HGNC:29537]	4.7966127	
MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	4.7951837	
KCP	kielin cysteine rich BMP regulator [Source:HGNC Symbol;Acc:HGNC:17585]	4.795179	
CCDC18	coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:HGNC:30370]	4.7849755	
ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	4.7849545	
NPR2	natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]	4.783602	
CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	4.783584	
KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	4.7826376	
ADIRF-AS1	ADIRF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45127]	4.7787285	
NTNG1	netrin G1 [Source:HGNC Symbol;Acc:HGNC:23319]	4.7653294	
ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	4.764308	
PLAC4	placenta enriched 4 [Source:HGNC Symbol;Acc:HGNC:14616]	4.7599626	
GABRR2	gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]	4.7589936	
FGF19	fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675]	4.7589455	
CCL24	C-C motif chemokine ligand 24 [Source:HGNC Symbol;Acc:HGNC:10623]	4.75869	
ENSG00000268858	novel transcript, antisense to ABHD16B	4.7556033	
CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	4.739298	
THOC6	THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]	4.739288	
COX6B2	cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380]	4.7391734	
H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	4.7376266	
ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	4.737329	
DINOL	damage induced long noncoding RNA [Source:HGNC Symbol;Acc:HGNC:53146]	4.734342	
KIF26A	kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]	4.733737	
AKR1C1	aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]	4.7335806	
RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	4.72967	
SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	4.7287436	
FOXL2NB	FOXL2 neighbor [Source:HGNC Symbol;Acc:HGNC:34428]	4.7271266	
NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	4.7260604	
MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	4.7252603	
DLGAP1-AS2	DLGAP1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:28146]	4.72496	
MEG9	maternally expressed 9 [Source:HGNC Symbol;Acc:HGNC:43874]	4.7248626	
MCOLN3	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]	4.7231345	
MMP19	matrix metallopeptidase 19 [Source:HGNC Symbol;Acc:HGNC:7165]	4.717025	
