NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHCG	Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140]	2085	2.448660135269165	-0.03191403	No	
row_1	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	2436	2.2045559883117676	-0.0023829304	No	
row_2	NTNG1	netrin G1 [Source:HGNC Symbol;Acc:HGNC:23319]	2514	2.151977777481079	0.036540866	No	
row_3	MAL	mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]	3643	1.542617678642273	0.023513373	No	
row_4	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	3843	1.4511175155639648	0.0441491	No	
row_5	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	4161	1.3162816762924194	0.057660002	No	
row_6	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	4324	1.2457611560821533	0.07571264	No	
row_7	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	5542	0.8238550424575806	0.04530785	No	
row_8	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	5727	0.7769312858581543	0.053401206	No	
row_9	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:HGNC Symbol;Acc:HGNC:19267]	5831	0.7521235346794128	0.06410229	No	
row_10	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]	5855	0.7454625368118286	0.077725954	No	
row_11	CD160	CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]	6221	0.6467758417129517	0.07638196	No	
row_12	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	7067	0.4844021797180176	0.05356645	No	
row_13	SLC34A3	solute carrier family 34 member 3 [Source:HGNC Symbol;Acc:HGNC:20305]	7705	0.4057981073856354	0.03715749	No	
row_14	ATP6V0A4	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]	8558	0.28851190209388733	0.010264351	No	
row_15	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	9129	0.197045236825943	-0.007649208	No	
row_16	NCOA6	nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:HGNC:15936]	9214	0.18185976147651672	-0.00731633	No	
row_17	AKAP7	A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377]	9780	0.04781636968255043	-0.027942013	No	
row_18	GHRL	ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]	14773	0.0	-0.2183964	No	
row_19	SLC22A12	solute carrier family 22 member 12 [Source:HGNC Symbol;Acc:HGNC:17989]	17242	0.0	-0.31255534	No	
row_20	SLC2A4	solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009]	17465	0.0	-0.32102507	No	
row_21	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	17816	-0.06491106003522873	-0.33311555	No	
row_22	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13441]	17856	-0.07165046036243439	-0.3332097	No	
row_23	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	18878	-0.23825284838676453	-0.36752817	No	
row_24	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	18896	-0.24185389280319214	-0.36347207	No	
row_25	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	20598	-0.6168853044509888	-0.41636848	No	
row_26	AFAP1L2	actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]	20732	-0.6596795916557312	-0.40861022	No	
row_27	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	21045	-0.7521131634712219	-0.4058831	No	
row_28	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	22009	-1.0784940719604492	-0.4216439	Yes	
row_29	ATP8B1	ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]	22020	-1.0834133625030518	-0.40095028	Yes	
row_30	GSTM3	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	22428	-1.2288857698440552	-0.39257312	Yes	
row_31	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	23142	-1.5028327703475952	-0.3905415	Yes	
row_32	PCSK9	proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001]	23581	-1.6742695569992065	-0.37468317	Yes	
row_33	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	23846	-1.7908941507339478	-0.3499178	Yes	
row_34	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	24138	-1.9041309356689453	-0.32397977	Yes	
row_35	FLOT2	flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]	24516	-2.0866780281066895	-0.2977718	Yes	
row_36	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	24519	-2.089506149291992	-0.25720185	Yes	
row_37	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	24549	-2.1030118465423584	-0.21739928	Yes	
row_38	RTN4RL1	reticulon 4 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21329]	24551	-2.104912519454956	-0.17649148	Yes	
row_39	LYPD3	LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]	24741	-2.200702667236328	-0.14089288	Yes	
row_40	EPHB4	EPH receptor B4 [Source:HGNC Symbol;Acc:HGNC:3395]	24952	-2.305725574493408	-0.1040525	Yes	
row_41	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	25236	-2.495453119277954	-0.066306524	Yes	
row_42	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	25359	-2.5780136585235596	-0.020812074	Yes	
row_43	SULF2	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	25677	-2.823267936706543	0.022013577	Yes	
