NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPR2	natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]	83	4.8371124267578125	0.018276332	No	
row_1	SRSF6	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]	363	4.23685884475708	0.026382003	No	
row_2	ELL	elongation factor for RNA polymerase II [Source:HGNC Symbol;Acc:HGNC:23114]	707	3.741769790649414	0.029839989	No	
row_3	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	1077	3.31553316116333	0.030411353	No	
row_4	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	1358	3.054196834564209	0.033232827	No	
row_5	SNAPC4	small nuclear RNA activating complex polypeptide 4 [Source:HGNC Symbol;Acc:HGNC:11137]	1423	2.986246347427368	0.04402717	No	
row_6	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	1430	2.9800453186035156	0.057015806	No	
row_7	EIF1B	eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]	1728	2.734511613845825	0.057768047	No	
row_8	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	1732	2.732219696044922	0.06977233	No	
row_9	RAE1	ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]	1853	2.630471706390381	0.076843396	No	
row_10	GTF2B	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]	1960	2.542048454284668	0.08405854	No	
row_11	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	2083	2.450273275375366	0.090253696	No	
row_12	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	2203	2.3595733642578125	0.096161455	No	
row_13	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	2251	2.3230032920837402	0.10466509	No	
row_14	VPS37D	VPS37D subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18287]	2292	2.29185152053833	0.1132987	No	
row_15	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	2711	2.0289154052734375	0.10628603	No	
row_16	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	2778	2.000601291656494	0.11263177	No	
row_17	POLR1C	RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]	2809	1.9860117435455322	0.12029184	No	
row_18	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	2910	1.926406979560852	0.12500605	No	
row_19	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	2933	1.9180601835250854	0.13267116	No	
row_20	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	3042	1.8595495223999023	0.13678236	No	
row_21	NELFCD	negative elongation factor complex member C/D [Source:HGNC Symbol;Acc:HGNC:15934]	3062	1.847926378250122	0.14425132	No	
row_22	ZNF707	zinc finger protein 707 [Source:HGNC Symbol;Acc:HGNC:27815]	3152	1.8024368286132812	0.148837	No	
row_23	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	3153	1.802063226699829	0.15683036	No	
row_24	POLR3C	RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076]	3337	1.7105411291122437	0.15740758	No	
row_25	PDE6G	phosphodiesterase 6G [Source:HGNC Symbol;Acc:HGNC:8789]	3620	1.5571986436843872	0.15351225	No	
row_26	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	3666	1.5273886919021606	0.15856344	No	
row_27	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	3800	1.4682565927505493	0.15998131	No	
row_28	RNMT	RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]	3863	1.4412050247192383	0.16399899	No	
row_29	POLR1D	RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]	3964	1.3980751037597656	0.16636969	No	
row_30	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	4215	1.293160080909729	0.162529	No	
row_31	TAF9	TATA-box binding protein associated factor 9 [Source:HGNC Symbol;Acc:HGNC:11542]	4244	1.280726671218872	0.1671373	No	
row_32	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	4290	1.2593518495559692	0.17099954	No	
row_33	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	4520	1.151998519897461	0.16733715	No	
row_34	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	4909	1.0013924837112427	0.15691595	No	
row_35	POLR2H	RNA polymerase II, I and III subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	5198	0.910101056098938	0.14992048	No	
row_36	POLR2C	RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]	5623	0.8062160015106201	0.13725448	No	
row_37	POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	5740	0.7724713683128357	0.13623731	No	
row_38	CSTF3	cleavage stimulation factor subunit 3 [Source:HGNC Symbol;Acc:HGNC:2485]	5836	0.7503432631492615	0.13592643	No	
row_39	GTF3C5	general transcription factor IIIC subunit 5 [Source:HGNC Symbol;Acc:HGNC:4668]	6117	0.6750335097312927	0.12819473	No	
row_40	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	6162	0.6621025800704956	0.1294461	No	
row_41	NFX1	nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]	6198	0.6518468856811523	0.13099673	No	
row_42	TAF10	TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]	6269	0.6327650547027588	0.131122	No	
row_43	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	6313	0.6227202415466309	0.13223697	No	
row_44	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	6392	0.6036123037338257	0.13192646	No	
row_45	GMPR2	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	6432	0.5967258810997009	0.13307936	No	
row_46	DGCR8	DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]	6511	0.5721274018287659	0.1326292	No	
row_47	UPF3B	UPF3B regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:20439]	6681	0.5389557480812073	0.12854597	No	
row_48	SF3A3	splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]	7189	0.47051966190338135	0.111211464	No	
row_49	POLR1H	RNA polymerase I subunit H [Source:HGNC Symbol;Acc:HGNC:13182]	7387	0.4430754482746124	0.10563035	No	
row_50	AGO4	argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]	7506	0.4268953204154968	0.10300371	No	
row_51	DCTN4	dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]	7668	0.409974068403244	0.098654814	No	
row_52	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	7966	0.36946430802345276	0.0889165	No	
row_53	USP11	ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609]	8852	0.24147124588489532	0.05608604	No	
row_54	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	8964	0.2230512797832489	0.05282336	No	
row_55	XPC	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	9282	0.16996145248413086	0.041433986	No	
row_56	TARBP2	TARBP2 subunit of RISC loading complex [Source:HGNC Symbol;Acc:HGNC:11569]	9766	0.05511406064033508	0.023176251	No	
row_57	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	9787	0.045558784157037735	0.022612197	No	
row_58	CCNO	cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]	9811	0.04046916961669922	0.021910649	No	
row_59	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	9930	0.005942995660007	0.017416803	No	
row_60	COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	18025	-0.10049619525671005	-0.29219297	No	
row_61	NT5C	5', 3'-nucleotidase, cytosolic [Source:HGNC Symbol;Acc:HGNC:17144]	18444	-0.16675956547260284	-0.30746552	No	
row_62	GTF2A2	general transcription factor IIA subunit 2 [Source:HGNC Symbol;Acc:HGNC:4647]	18583	-0.18775631487369537	-0.31191906	No	
row_63	CLP1	cleavage factor polyribonucleotide kinase subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]	18773	-0.21930405497550964	-0.31818628	No	
row_64	VPS28	VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178]	18816	-0.22774997353553772	-0.31878495	No	
row_65	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	18950	-0.2501901388168335	-0.32277	No	
row_66	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	19288	-0.31351345777511597	-0.33428878	No	
row_67	GUK1	guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]	19379	-0.3345535695552826	-0.33625242	No	
row_68	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]	19485	-0.3575187027454376	-0.3386888	No	
row_69	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	19855	-0.43281641602516174	-0.3509042	No	
row_70	MPC2	mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]	20121	-0.4886809289455414	-0.35888788	No	
row_71	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	20293	-0.5312582850456238	-0.36308187	No	
row_72	GTF2F1	general transcription factor IIF subunit 1 [Source:HGNC Symbol;Acc:HGNC:4652]	20339	-0.5428197383880615	-0.3623979	No	
row_73	GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	20378	-0.5531654953956604	-0.36139992	No	
row_74	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3436]	20383	-0.5541559457778931	-0.3590951	No	
row_75	POLR2E	RNA polymerase II, I and III subunit E [Source:HGNC Symbol;Acc:HGNC:9192]	20498	-0.5900561213493347	-0.3608448	No	
row_76	PDE4B	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	20555	-0.606298565864563	-0.36030063	No	
row_77	ELOA	elongin A [Source:HGNC Symbol;Acc:HGNC:11620]	20575	-0.6129904389381409	-0.35830945	No	
row_78	NCBP2	nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]	20708	-0.6547572016716003	-0.36046165	No	
row_79	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	20845	-0.6880571842193604	-0.3626194	No	
row_80	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	21333	-0.8491469025611877	-0.3775083	Yes	
row_81	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	21378	-0.8622881174087524	-0.37536898	Yes	
row_82	SNAPC5	small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]	21453	-0.8863473534584045	-0.37427214	Yes	
row_83	BOLA2	bolA family member 2 [Source:HGNC Symbol;Acc:HGNC:29488]	21501	-0.8980082273483276	-0.3720893	Yes	
row_84	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]	21685	-0.9604457020759583	-0.37483925	Yes	
row_85	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	21704	-0.9685001969337463	-0.37123284	Yes	
row_86	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	21787	-0.9960734844207764	-0.36995575	Yes	
row_87	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	21889	-1.0338467359542847	-0.36923894	Yes	
row_88	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	21979	-1.0661163330078125	-0.36791933	Yes	
row_89	NUDT21	nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870]	22035	-1.0895408391952515	-0.36519337	Yes	
row_90	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	22098	-1.1083312034606934	-0.36265218	Yes	
row_91	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	22295	-1.1761808395385742	-0.3649432	Yes	
row_92	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	22432	-1.2299838066101074	-0.36469713	Yes	
row_93	SSRP1	structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]	22447	-1.2351840734481812	-0.35975456	Yes	
row_94	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	22586	-1.2951592206954956	-0.35929602	Yes	
row_95	SMAD5	SMAD family member 5 [Source:HGNC Symbol;Acc:HGNC:6771]	22762	-1.3588879108428955	-0.35997215	Yes	
row_96	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	22854	-1.3939763307571411	-0.35727486	Yes	
row_97	POLR2K	RNA polymerase II, I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	22884	-1.4026371240615845	-0.35216412	Yes	
