NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	16	4.963619232177734	0.018750163	No	
row_1	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	61	4.8727126121521	0.036072776	No	
row_2	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	155	4.688907146453857	0.050800744	No	
row_3	TP53INP2	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	193	4.613330364227295	0.06737973	No	
row_4	HSPH1	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]	236	4.526772975921631	0.083429456	No	
row_5	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	408	4.149330139160156	0.09306367	No	
row_6	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	830	3.5978286266326904	0.090966806	No	
row_7	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	1237	3.162825345993042	0.08774775	No	
row_8	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	1703	2.7570443153381348	0.080684945	No	
row_9	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	1709	2.7495763301849365	0.09121955	No	
row_10	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1771	2.6983444690704346	0.099408455	No	
row_11	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	1793	2.6777122020721436	0.10904962	No	
row_12	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	1825	2.657193422317505	0.11822756	No	
row_13	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	1999	2.5168135166168213	0.12141662	No	
row_14	SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	2038	2.484116554260254	0.12965114	No	
row_15	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	2073	2.4567508697509766	0.13793218	No	
row_16	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	2148	2.4011380672454834	0.14446354	No	
row_17	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	2238	2.3334622383117676	0.15015611	No	
row_18	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	2331	2.2734055519104004	0.15549943	No	
row_19	NCAPH2	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	2645	2.0662193298339844	0.15156612	No	
row_20	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	2879	1.9473050832748413	0.1502344	No	
row_21	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	2971	1.899448037147522	0.15415722	No	
row_22	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	3535	1.6067405939102173	0.1388518	No	
row_23	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	3604	1.5652183294296265	0.14235212	No	
row_24	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	3634	1.546730875968933	0.14727473	No	
row_25	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	3647	1.5414193868637085	0.15282805	No	
row_26	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	3664	1.5282979011535645	0.1581769	No	
row_27	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	3727	1.499165654182434	0.16164945	No	
row_28	KMT5A	lysine methyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:29489]	3815	1.4633558988571167	0.16402434	No	
row_29	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	4249	1.2771692276000977	0.15241466	No	
row_30	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	4287	1.2602719068527222	0.15591325	No	
row_31	PPARA	peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]	4453	1.187193751335144	0.15422197	No	
row_32	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	4812	1.0393275022506714	0.14455837	No	
row_33	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	4997	0.9731143712997437	0.14130391	No	
row_34	HAO2	hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810]	5622	0.8062871694564819	0.12053847	No	
row_35	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	5727	0.7769312858581543	0.11958418	No	
row_36	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	6253	0.6373295187950134	0.10195317	No	
row_37	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	6359	0.6131374835968018	0.10032159	No	
row_38	AUH	AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]	6704	0.5349743366241455	0.08922695	No	
row_39	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	7195	0.46993395686149597	0.07228408	No	
row_40	GCDH	glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]	7341	0.4504764676094055	0.06848521	No	
row_41	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	7494	0.4282277822494507	0.064331315	No	
row_42	CA6	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	8066	0.35663118958473206	0.04384264	No	
row_43	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	8274	0.3275996744632721	0.03718867	No	
row_44	AQP7	aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]	8959	0.22390231490135193	0.011852213	No	
row_45	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	9104	0.19950778782367706	0.007112625	No	
row_46	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	9345	0.15498673915863037	-0.0014792251	No	
row_47	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	9624	0.09412738680839539	-0.011764596	No	
row_48	CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	9709	0.06926417350769043	-0.014713154	No	
row_49	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	9858	0.02857176400721073	-0.020272845	No	
row_50	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	11435	0.0	-0.08066293	No	
row_51	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	11443	0.0	-0.08093116	No	
row_52	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	11659	0.0	-0.08916965	No	
row_53	XIST	X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]	12301	0.0	-0.11373186	No	
row_54	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	13118	0.0	-0.14499982	No	
row_55	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	13492	0.0	-0.15929265	No	
row_56	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	17294	0.0	-0.30494156	No	
row_57	FABP2	fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]	17295	0.0	-0.30494156	No	
row_58	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	17508	-0.00917115993797779	-0.31302935	No	
row_59	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	17562	-0.02075234055519104	-0.31497926	No	
row_60	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	17813	-0.06442052870988846	-0.3243076	No	
row_61	PTPRG	protein tyrosine phosphatase receptor type G [Source:HGNC Symbol;Acc:HGNC:9671]	17921	-0.08410865813493729	-0.32807958	No	
row_62	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	18093	-0.11114789545536041	-0.33419847	No	
row_63	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	18132	-0.11707962304353714	-0.33519784	No	
row_64	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	18391	-0.1569286435842514	-0.34447184	No	
row_65	MIX23	mitochondrial matrix import factor 23 [Source:HGNC Symbol;Acc:HGNC:31136]	18638	-0.19544796645641327	-0.35313576	No	
row_66	D2HGDH	D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358]	18641	-0.1960846483707428	-0.35244748	No	
row_67	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	18647	-0.19677144289016724	-0.35187146	No	
row_68	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	18697	-0.20321856439113617	-0.3529563	No	
row_69	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	18755	-0.2140354961156845	-0.3543055	No	
