NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR3	G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]	162	4.677868843078613	0.014032998	No	
row_1	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	240	4.518519401550293	0.0306385	No	
row_2	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	352	4.264209270477295	0.044838153	No	
row_3	KCND1	potassium voltage-gated channel subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:6237]	378	4.206488132476807	0.06208864	No	
row_4	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	379	4.205531120300293	0.08029449	No	
row_5	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	415	4.1379876136779785	0.09686463	No	
row_6	PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	873	3.544935703277588	0.09467094	No	
row_7	NR6A1	nuclear receptor subfamily 6 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7985]	942	3.462423801422119	0.107049994	No	
row_8	GPRC5C	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	963	3.439362049102783	0.121171474	No	
row_9	THNSL2	threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]	1254	3.1483254432678223	0.123670354	No	
row_10	KMT2D	lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]	1552	2.8748531341552734	0.1247167	No	
row_11	ITGB1BP2	integrin subunit beta 1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6154]	1677	2.7724480628967285	0.13195954	No	
row_12	MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	1773	2.698138475418091	0.13999371	No	
row_13	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	1858	2.628246307373047	0.14814751	No	
row_14	ZNF112	zinc finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12892]	2021	2.4995195865631104	0.15275037	No	
row_15	GDNF	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]	2272	2.3053040504455566	0.15313502	No	
row_16	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]	2289	2.2940614223480225	0.16245198	No	
row_17	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	2349	2.2619550228118896	0.1699796	No	
row_18	NPHS1	NPHS1 adhesion molecule, nephrin [Source:HGNC Symbol;Acc:HGNC:7908]	2582	2.111969470977783	0.17021812	No	
row_19	SNCB	synuclein beta [Source:HGNC Symbol;Acc:HGNC:11140]	2856	1.9594721794128418	0.1682229	No	
row_20	YPEL1	yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]	3038	1.8621406555175781	0.16933732	No	
row_21	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	3162	1.7994303703308105	0.1724063	No	
row_22	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	3214	1.7709176540374756	0.17811526	No	
row_23	SLC5A5	solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]	3280	1.7379652261734009	0.18314423	No	
row_24	SLC6A14	solute carrier family 6 member 14 [Source:HGNC Symbol;Acc:HGNC:11047]	3281	1.7378504276275635	0.19066744	No	
row_25	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	3500	1.6285709142684937	0.18935063	No	
row_26	KCNN1	potassium calcium-activated channel subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:6290]	3649	1.539286494255066	0.19033396	No	
row_27	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	3875	1.4366124868392944	0.18791752	No	
row_28	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]	4090	1.3444006443023682	0.18552406	No	
row_29	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	4126	1.330203890800476	0.18993925	No	
row_30	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	4198	1.301408052444458	0.19284806	No	
row_31	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	4467	1.178181767463684	0.18766251	No	
row_32	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	4499	1.1612763404846191	0.19149992	No	
row_33	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	4517	1.1526093482971191	0.19583713	No	
row_34	TFCP2L1	transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]	4618	1.114026665687561	0.19682173	No	
row_35	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	4774	1.0534778833389282	0.19543332	No	
row_36	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	4801	1.043161392211914	0.1989513	No	
row_37	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	4812	1.0393275022506714	0.20306677	No	
row_38	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	4937	0.9931449890136719	0.20260696	No	
row_39	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	5127	0.9297941327095032	0.19937818	No	
row_40	SLC38A3	solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044]	5319	0.8788101077079773	0.19585192	No	
row_41	CACNA1F	calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393]	5567	0.8192921280860901	0.18991871	No	
row_42	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	5811	0.7554428577423096	0.18386261	No	
row_43	SLC30A3	solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014]	5958	0.7188380360603333	0.18137096	No	
row_44	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	6097	0.6805404424667358	0.17902054	No	
row_45	GTF3C5	general transcription factor IIIC subunit 5 [Source:HGNC Symbol;Acc:HGNC:4668]	6117	0.6750335097312927	0.18121356	No	
row_46	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	6317	0.6217643618583679	0.1762675	No	
row_47	ADRA2C	adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]	6376	0.6091888546943665	0.17667863	No	
row_48	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	6718	0.532857358455658	0.16589768	No	
row_49	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	6951	0.4974014461040497	0.15914671	No	
row_50	EFHD1	EF-hand domain family member D1 [Source:HGNC Symbol;Acc:HGNC:29556]	7079	0.4828316271305084	0.1563626	No	
row_51	TFAP2B	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]	7097	0.480186402797699	0.15778887	No	
row_52	SLC29A3	solute carrier family 29 member 3 [Source:HGNC Symbol;Acc:HGNC:23096]	7163	0.47366461157798767	0.15734465	No	
row_53	KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:6242]	7258	0.4614909291267395	0.1557347	No	
