NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	516	3.9632351398468018	-0.006600885	No	
row_1	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	652	3.7956063747406006	8.6269394E-4	No	
row_2	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	830	3.5978286266326904	0.006055409	No	
row_3	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	991	3.4043593406677246	0.011256054	No	
row_4	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	1081	3.3102686405181885	0.018868243	No	
row_5	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]	1368	3.0414488315582275	0.018023942	No	
row_6	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	1391	3.0160343647003174	0.027227385	No	
row_7	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	1404	3.0027964115142822	0.03677053	No	
row_8	RNPS1	RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]	1705	2.7560644149780273	0.034438152	No	
row_9	SRSF1	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	1711	2.7492504119873047	0.04340528	No	
row_10	DHX15	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	1767	2.700639486312866	0.050291445	No	
row_11	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	1768	2.7004504203796387	0.0592879	No	
row_12	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	1787	2.6849594116210938	0.0675419	No	
row_13	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	1843	2.6386783123016357	0.07422164	No	
row_14	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	1878	2.6151561737060547	0.08162901	No	
row_15	PSMC6	proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]	1905	2.5958945751190186	0.08927925	No	
row_16	HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	2035	2.4866645336151123	0.092612416	No	
row_17	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	2082	2.4508142471313477	0.09901172	No	
row_18	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	2094	2.443552255630493	0.10673014	No	
row_19	U2AF1	U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453]	2105	2.4373979568481445	0.11446644	No	
row_20	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	2359	2.2535104751586914	0.1122637	No	
row_21	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	2544	2.1342954635620117	0.11231205	No	
row_22	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	2879	1.9473050832748413	0.10598039	No	
row_23	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	2930	1.9189319610595703	0.110454224	No	
row_24	CCT4	chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617]	2975	1.8977240324020386	0.11508769	No	
row_25	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	3008	1.8774795532226562	0.120114274	No	
