NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHKG2	phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]	335	4.292163848876953	0.019589296	Yes	
row_1	CNIH2	cornichon family AMPA receptor auxiliary protein 2 [Source:HGNC Symbol;Acc:HGNC:28744]	540	3.930082082748413	0.041459437	Yes	
row_2	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	785	3.6429989337921143	0.059630115	Yes	
row_3	SIRT1	sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]	879	3.5369057655334473	0.082780585	Yes	
row_4	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	1134	3.2648539543151855	0.097712636	Yes	
row_5	PARP2	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	1156	3.2414746284484863	0.121388495	Yes	
row_6	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	1274	3.137047290802002	0.14060037	Yes	
row_7	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]	1536	2.891085624694824	0.1524417	Yes	
row_8	CLPB	caseinolytic mitochondrial matrix peptidase chaperone subunit B [Source:HGNC Symbol;Acc:HGNC:30664]	2065	2.4633026123046875	0.15083033	Yes	
row_9	IP6K1	inositol hexakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18360]	2511	2.154254913330078	0.15006267	Yes	
row_10	MEP1B	meprin A subunit beta [Source:HGNC Symbol;Acc:HGNC:7020]	2633	2.075591802597046	0.16110522	Yes	
row_11	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	2644	2.0662617683410645	0.17632692	Yes	
row_12	PGS1	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	2886	1.944810390472412	0.18178761	Yes	
row_13	PIAS2	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	3095	1.8294216394424438	0.18764028	Yes	
row_14	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	3199	1.7819557189941406	0.1971544	Yes	
row_15	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	3275	1.7403150796890259	0.20742601	Yes	
row_16	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	3500	1.6285709142684937	0.21114929	Yes	
row_17	ACRBP	acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195]	3630	1.547913670539856	0.2179005	Yes	
row_18	MAST2	microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035]	3696	1.5127066373825073	0.22683604	Yes	
row_19	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	4126	1.330203890800476	0.22045764	Yes	
row_20	COIL	coilin [Source:HGNC Symbol;Acc:HGNC:2184]	4484	1.1685093641281128	0.21561462	Yes	
row_21	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	4503	1.1590204238891602	0.22367848	Yes	
row_22	H1-6	H1.6 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4720]	4689	1.0862716436386108	0.2247994	Yes	
row_23	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	4694	1.0835033655166626	0.23282894	Yes	
row_24	IL13RA2	interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975]	4754	1.0631253719329834	0.23859894	Yes	
row_25	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	4903	1.0026310682296753	0.24050473	Yes	
row_26	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	4941	0.990218997001648	0.24656639	Yes	
row_27	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	5020	0.9657676219940186	0.2508737	Yes	
row_28	PACRG	parkin coregulated [Source:HGNC Symbol;Acc:HGNC:19152]	5194	0.9114310145378113	0.25113362	Yes	
row_29	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	5402	0.8611979484558105	0.24971248	Yes	
row_30	SEPTIN4	septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]	5442	0.8520382046699524	0.25465402	Yes	
row_31	ZC3H14	zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20509]	5520	0.8307431936264038	0.25797993	Yes	
row_32	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	5608	0.8090629577636719	0.26075923	Yes	
row_33	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]	5619	0.8066253662109375	0.26646808	Yes	
row_34	AKAP4	A-kinase anchoring protein 4 [Source:HGNC Symbol;Acc:HGNC:374]	6047	0.6912596225738525	0.2553409	Yes	
row_35	PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746]	6058	0.6887177228927612	0.2601593	Yes	
row_36	GRM8	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	6159	0.6631088852882385	0.26133865	Yes	
row_37	ART3	ADP-ribosyltransferase 3 (inactive) [Source:HGNC Symbol;Acc:HGNC:725]	6160	0.6630450487136841	0.266346	Yes	
row_38	TULP2	TUB like protein 2 [Source:HGNC Symbol;Acc:HGNC:12424]	6173	0.6594752073287964	0.27086702	Yes	
row_39	PAPOLB	poly(A) polymerase beta [Source:HGNC Symbol;Acc:HGNC:15970]	6271	0.6326823830604553	0.27193144	Yes	
row_40	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	6297	0.6268002986907959	0.27570796	Yes	
row_41	GFI1	growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]	6515	0.571446418762207	0.27171576	No	
row_42	TSSK2	testis specific serine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11401]	6910	0.5045226812362671	0.26044172	No	
row_43	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	7028	0.4876977205276489	0.25964552	No	
row_44	CCT6B	chaperonin containing TCP1 subunit 6B [Source:HGNC Symbol;Acc:HGNC:1621]	7134	0.476956844329834	0.2592276	No	
row_45	DMRT1	doublesex and mab-3 related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2934]	7256	0.4618018567562103	0.25808272	No	
row_46	THEG	theg spermatid protein [Source:HGNC Symbol;Acc:HGNC:13706]	7279	0.4591165781021118	0.26070774	No	
row_47	TCP11	t-complex 11 [Source:HGNC Symbol;Acc:HGNC:11658]	7516	0.4255352020263672	0.25488618	No	
row_48	CRISP2	cysteine rich secretory protein 2 [Source:HGNC Symbol;Acc:HGNC:12024]	7540	0.42370983958244324	0.25720552	No	
row_49	DDX4	DEAD-box helicase 4 [Source:HGNC Symbol;Acc:HGNC:18700]	7763	0.39951980113983154	0.25172347	No	
row_50	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	8274	0.3275996744632721	0.23467226	No	
row_51	DMC1	DNA meiotic recombinase 1 [Source:HGNC Symbol;Acc:HGNC:2927]	8445	0.3050028681755066	0.23046724	No	
row_52	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	8500	0.29594558477401733	0.23063487	No	
