NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	30	4.950355529785156	0.011387682	Yes	
row_1	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	38	4.933154106140137	0.023614507	Yes	
row_2	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	44	4.923713207244873	0.035894178	Yes	
row_3	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	67	4.864770412445068	0.047372106	Yes	
row_4	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	85	4.83411169052124	0.05896427	Yes	
row_5	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	94	4.8173112869262695	0.07085929	Yes	
row_6	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	96	4.811553001403809	0.08300838	Yes	
row_7	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	130	4.739109039306641	0.09374585	Yes	
row_8	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	151	4.693045616149902	0.104865566	Yes	
row_9	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	168	4.673600196838379	0.11608954	Yes	
row_10	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	181	4.642456531524658	0.12738815	Yes	
row_11	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	194	4.610278129577637	0.13860525	Yes	
row_12	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	209	4.579864025115967	0.14966854	Yes	
row_13	RELB	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	233	4.530263423919678	0.16026081	Yes	
row_14	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	234	4.528544902801514	0.17173143	Yes	
row_15	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	239	4.51996374130249	0.18302679	Yes	
row_16	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	244	4.51008415222168	0.19429713	Yes	
row_17	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	250	4.498397350311279	0.2054995	Yes	
row_18	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	252	4.495523452758789	0.21684809	Yes	
row_19	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	269	4.445465564727783	0.22749422	Yes	
row_20	CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	292	4.399737358093262	0.23779424	Yes	
row_21	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	321	4.318986415863037	0.24765944	Yes	
row_22	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	323	4.31190824508667	0.25854295	Yes	
row_23	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	324	4.311822891235352	0.2694646	Yes	
row_24	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	337	4.287153720855713	0.27986327	Yes	
row_25	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	345	4.27208948135376	0.29041564	Yes	
row_26	ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	355	4.256248950958252	0.30085114	Yes	
row_27	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	369	4.225484371185303	0.31105518	Yes	
row_28	NFAT5	nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]	394	4.186307907104492	0.32073784	Yes	
row_29	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	400	4.175780296325684	0.33112302	Yes	
row_30	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	414	4.138491153717041	0.34110674	Yes	
row_31	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	443	4.089099884033203	0.35038963	Yes	
row_32	REL	REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]	497	4.009942054748535	0.35851258	Yes	
row_33	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	539	3.9309113025665283	0.36689588	Yes	
row_34	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	548	3.923374891281128	0.3765266	Yes	
row_35	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	555	3.9133074283599854	0.38620856	Yes	
row_36	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	582	3.883455991744995	0.39504737	Yes	
row_37	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	603	3.861422538757324	0.4040606	Yes	
row_38	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	653	3.7948014736175537	0.41179213	Yes	
row_39	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	654	3.794762134552002	0.4214041	Yes	
row_40	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	675	3.77152156829834	0.43018964	Yes	
row_41	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	715	3.7334911823272705	0.43814963	Yes	
row_42	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	755	3.6847853660583496	0.44598627	Yes	
row_43	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	773	3.657592535018921	0.45459837	Yes	
row_44	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	831	3.596972703933716	0.46152174	Yes	
row_45	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	841	3.5817224979400635	0.4702487	Yes	
row_46	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	875	3.543940782546997	0.47795886	Yes	
row_47	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	973	3.432777166366577	0.4829312	Yes	
row_48	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	1007	3.3838751316070557	0.4902359	Yes	
row_49	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1028	3.3632118701934814	0.4979872	Yes	
row_50	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	1056	3.337160110473633	0.5054039	Yes	
row_51	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1117	3.276865243911743	0.5114013	Yes	
row_52	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	1126	3.272594928741455	0.5193836	Yes	
row_53	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	1256	3.146003007888794	0.52240145	Yes	
row_54	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1344	3.072391986846924	0.52684474	Yes	
row_55	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	1365	3.0433478355407715	0.5337858	Yes	
row_56	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1377	3.0290162563323975	0.541036	Yes	
row_57	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	1491	2.9384920597076416	0.5441423	Yes	
row_58	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	1531	2.8970932960510254	0.54998374	Yes	
row_59	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1574	2.8608224391937256	0.55561817	Yes	
row_60	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	1615	2.824892282485962	0.56123835	Yes	
row_61	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	1636	2.809814691543579	0.5675879	Yes	
row_62	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	1701	2.759087562561035	0.5721203	Yes	
row_63	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1771	2.6983444690704346	0.576307	Yes	
row_64	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	1842	2.6393556594848633	0.5803058	Yes	
row_65	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	1859	2.6279826164245605	0.58634835	Yes	
row_66	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1904	2.5977554321289062	0.5912397	Yes	
row_67	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1995	2.5198097229003906	0.5941681	Yes	
row_68	FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	2067	2.4605586528778076	0.59767574	Yes	
row_69	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	2116	2.426787853240967	0.6019805	Yes	
