NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	33	4.902825832366943	0.016888458	Yes	
row_1	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	64	4.796769618988037	0.033499196	Yes	
row_2	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	69	4.78495454788208	0.05106251	Yes	
row_3	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	167	4.561456203460693	0.06423454	Yes	
row_4	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	229	4.45467472076416	0.07839073	Yes	
row_5	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	307	4.302422523498535	0.091370076	Yes	
row_6	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	359	4.211082935333252	0.105007544	Yes	
row_7	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	400	4.148212432861328	0.11883376	Yes	
row_8	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	481	4.019989490509033	0.13065241	Yes	
row_9	CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	558	3.9317667484283447	0.14229771	Yes	
row_10	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	580	3.9062039852142334	0.15595596	Yes	
row_11	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	799	3.6509995460510254	0.16112024	Yes	
row_12	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	805	3.6418817043304443	0.17441294	Yes	
row_13	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	910	3.5441932678222656	0.18355024	Yes	
row_14	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	1189	3.330901622772217	0.18523014	Yes	
row_15	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	1290	3.270071268081665	0.19350578	Yes	
row_16	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1414	3.175875186920166	0.20055129	Yes	
row_17	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	1489	3.1339402198791504	0.20931922	Yes	
row_18	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1811	2.957768201828003	0.2079698	Yes	
row_19	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	1813	2.9559519290924072	0.21887608	Yes	
row_20	PEA15	proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]	1883	2.9106686115264893	0.22700892	Yes	
row_21	DIABLO	diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]	1920	2.895632266998291	0.23635066	Yes	
row_22	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	1944	2.884582281112671	0.24614964	Yes	
row_23	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	1945	2.883211851119995	0.2568249	Yes	
row_24	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	2031	2.8431668281555176	0.2640947	Yes	
row_25	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	2312	2.6940109729766846	0.26333985	Yes	
row_26	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	2335	2.6844348907470703	0.27243608	Yes	
row_27	ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	2483	2.624403715133667	0.27652007	Yes	
row_28	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	2494	2.61864972114563	0.28583258	Yes	
row_29	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	2502	2.617523193359375	0.29525587	Yes	
row_30	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	2847	2.4716691970825195	0.29122528	Yes	
row_31	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	2869	2.455859661102295	0.29951355	Yes	
row_32	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	3135	2.340303897857666	0.29802385	Yes	
row_33	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	3178	2.321709632873535	0.30501068	Yes	
row_34	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	3200	2.3151018619537354	0.3127778	Yes	
row_35	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	3221	2.3051557540893555	0.32054636	Yes	
row_36	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3260	2.2923905849456787	0.32757792	Yes	
