NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	17	4.9375200271606445	0.013070012	Yes	
row_1	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	28	4.912119388580322	0.026338093	Yes	
row_2	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	61	4.8004937171936035	0.038451575	Yes	
row_3	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	66	4.7951836585998535	0.051624946	Yes	
row_4	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	69	4.78495454788208	0.06484665	Yes	
row_5	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	99	4.707569122314453	0.07681701	Yes	
row_6	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	194	4.5199875831604	0.08577132	Yes	
row_7	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	203	4.500567436218262	0.09797236	Yes	
row_8	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]	216	4.483561038970947	0.109972626	Yes	
row_9	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	239	4.433838844299316	0.12145089	Yes	
row_10	EMP3	epithelial membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3335]	245	4.412535667419434	0.13352242	Yes	
row_11	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	280	4.356146335601807	0.1443242	Yes	
row_12	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	312	4.282459259033203	0.15503633	Yes	
row_13	COL5A3	collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]	313	4.281822204589844	0.16693647	Yes	
row_14	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	326	4.2582316398620605	0.17831048	Yes	
row_15	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	349	4.223526954650879	0.18920426	Yes	
row_16	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	359	4.211082935333252	0.20056237	Yes	
row_17	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	393	4.163111686706543	0.21086605	Yes	
row_18	COL8A2	collagen type VIII alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2216]	492	4.012981414794922	0.21825776	Yes	
row_19	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	502	3.9989688396453857	0.22902636	Yes	
row_20	FERMT2	FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767]	665	3.7837371826171875	0.2333246	Yes	
row_21	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	690	3.7668936252593994	0.24287252	Yes	
row_22	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	724	3.730698823928833	0.2519744	Yes	
row_23	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	799	3.6509995460510254	0.25928122	Yes	
row_24	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1015	3.4555821418762207	0.2606333	Yes	
row_25	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	1030	3.4433038234710693	0.2696657	Yes	
row_26	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1059	3.4261136054992676	0.27811298	Yes	
