NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	30	4.909865379333496	0.011767602	Yes	
row_1	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	48	4.83844518661499	0.023846226	Yes	
row_2	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	69	4.78495454788208	0.03566896	Yes	
row_3	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	109	4.6731390953063965	0.046468258	Yes	
row_4	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	167	4.561456203460693	0.056282844	Yes	
row_5	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	181	4.548426628112793	0.06775188	Yes	
row_6	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	213	4.4863152503967285	0.078366645	Yes	
row_7	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	229	4.45467472076416	0.08951224	Yes	
row_8	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	242	4.419641971588135	0.10068079	Yes	
row_9	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	260	4.387683868408203	0.11157335	Yes	
row_10	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	320	4.264421463012695	0.12052961	Yes	
row_11	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	352	4.217353820800781	0.13043667	Yes	
row_12	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	353	4.216734409332275	0.14153188	Yes	
row_13	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	426	4.103784561157227	0.14956653	Yes	
row_14	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	430	4.098175048828125	0.16023466	Yes	
row_15	PHKG1	phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:8930]	450	4.062347412109375	0.17019442	Yes	
row_16	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	462	4.049685478210449	0.18042791	Yes	
row_17	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	481	4.019989490509033	0.1903146	Yes	
row_18	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	525	3.9782588481903076	0.19913198	Yes	
row_19	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	585	3.8982765674591064	0.20712483	Yes	
row_20	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	922	3.5324254035949707	0.20352368	Yes	
row_21	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	935	3.5197081565856934	0.21232429	Yes	
row_22	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1046	3.432276487350464	0.21713358	Yes	
row_23	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1059	3.4261136054992676	0.22568794	Yes	
row_24	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	1089	3.4010605812072754	0.23352389	Yes	
row_25	HOXB9	homeobox B9 [Source:HGNC Symbol;Acc:HGNC:5120]	1111	3.38297438621521	0.2416193	Yes	
row_26	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	1175	3.3403189182281494	0.2479905	Yes	
row_27	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	1212	3.3160815238952637	0.2553342	Yes	
row_28	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	1324	3.239945650100708	0.25959906	Yes	
row_29	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	1406	3.184235095977783	0.2648687	Yes	
row_30	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	1422	3.1725199222564697	0.27264065	Yes	
row_31	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1454	3.153390884399414	0.27974817	Yes	
row_32	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	1465	3.1472551822662354	0.28764555	Yes	
row_33	CHST3	carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]	1567	3.087336778640747	0.29189265	Yes	
row_34	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	1605	3.0647523403167725	0.29853666	Yes	
row_35	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	1631	3.047786235809326	0.3055966	Yes	
row_36	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	1765	2.9745776653289795	0.30831882	Yes	
row_37	STBD1	starch binding domain 1 [Source:HGNC Symbol;Acc:HGNC:24854]	1791	2.9646339416503906	0.31515995	Yes	
row_38	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1811	2.957768201828003	0.32221332	Yes	
row_39	CSRP2	cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]	1829	2.948793411254883	0.32931983	Yes	
row_40	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	1899	2.9044086933135986	0.33431375	Yes	
row_41	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	1931	2.8901357650756836	0.3407286	Yes	
row_42	KDM3A	lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]	1979	2.8674232959747314	0.34646958	Yes	
row_43	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	1997	2.860614776611328	0.35334408	Yes	
row_44	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	2156	2.7832369804382324	0.35460332	Yes	
row_45	VHL	von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687]	2173	2.774329423904419	0.36128914	Yes	
row_46	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	2178	2.77170467376709	0.36842865	Yes	
row_47	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	2322	2.6890101432800293	0.37001568	Yes	
row_48	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	2417	2.655184745788574	0.37339434	Yes	
row_49	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	2426	2.651265859603882	0.38006338	Yes	
row_50	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	2432	2.6492702960968018	0.38684234	Yes	
row_51	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	2469	2.6302032470703125	0.39238134	Yes	
row_52	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	2617	2.5612809658050537	0.39347875	Yes	
row_53	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	2802	2.489771604537964	0.39296797	Yes	
row_54	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	2906	2.43786883354187	0.3954294	Yes	
row_55	B3GALT6	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]	2969	2.408590793609619	0.3993874	Yes	
row_56	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	3014	2.3894906044006348	0.40398595	Yes	
row_57	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	3049	2.3804242610931396	0.4089445	Yes	
row_58	CCN2	cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]	3142	2.3366096019744873	0.41156167	Yes	
row_59	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3260	2.2923905849456787	0.41310298	Yes	
row_60	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	3275	2.287604331970215	0.41858488	Yes	
row_61	PPP1R3C	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]	3385	2.2389607429504395	0.42029265	Yes	
row_62	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]	3389	2.2382259368896484	0.42606682	Yes	
row_63	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	3400	2.2348952293395996	0.43156356	Yes	
row_64	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3581	2.1617555618286133	0.43034318	Yes	
row_65	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	3645	2.134016275405884	0.4335403	Yes	
row_66	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	3670	2.1257503032684326	0.4382125	Yes	
row_67	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	3676	2.1240808963775635	0.4436096	Yes	
row_68	NDST2	N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]	3745	2.09668231010437	0.44651657	Yes	
row_69	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	3751	2.0935962200164795	0.45183343	Yes	
row_70	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	4229	1.9236924648284912	0.4385877	No	
row_71	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	4376	1.874226450920105	0.43791568	No	
row_72	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	4468	1.8421231508255005	0.43927014	No	
row_73	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	4490	1.8354743719100952	0.44329372	No	
row_74	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	4504	1.8292180299758911	0.44760787	No	
row_75	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	4886	1.7089662551879883	0.43748164	No	
row_76	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	5165	1.6143324375152588	0.4310596	No	
row_77	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	5187	1.6071416139602661	0.4344824	No	
row_78	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	5441	1.528058648109436	0.42879283	No	
row_79	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	5592	1.4834034442901611	0.42693898	No	
row_80	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	5901	1.3884215354919434	0.4187711	No	
row_81	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	5951	1.3750159740447998	0.42050844	No	
row_82	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	6055	1.3426183462142944	0.42008802	No	
row_83	INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]	6140	1.315674066543579	0.4203259	No	
row_84	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	6579	1.196366310119629	0.40666324	No	
row_85	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	6692	1.1619585752487183	0.40542203	No	
row_86	SLC37A4	solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]	6761	1.1421836614608765	0.4058175	No	
row_87	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	6788	1.1316797733306885	0.40779734	No	
row_88	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	6790	1.1312191486358643	0.41073546	No	
row_89	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	6885	1.1045353412628174	0.410034	No	
row_90	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	7221	1.0127153396606445	0.39984128	No	
row_91	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	7328	0.9851052761077881	0.39836502	No	
row_92	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	7467	0.9524882435798645	0.39557475	No	
row_93	LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	7519	0.9396364092826843	0.39608976	No	
row_94	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	7643	0.9052516222000122	0.3937509	No	
row_95	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	7833	0.856559693813324	0.38875082	No	
row_96	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	7943	0.8290528059005737	0.3867488	No	
row_97	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	7964	0.8255690336227417	0.38815346	No	
row_98	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	7994	0.8201019763946533	0.3891983	No	
row_99	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	8052	0.8079381585121155	0.3891365	No	
row_100	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	8101	0.7963666319847107	0.38938966	No	
row_101	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	8127	0.7912724614143372	0.3905122	No	
row_102	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	8334	0.7422980666160583	0.384559	No	
row_103	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	8380	0.7333477139472961	0.38476148	No	
row_104	CAVIN3	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	8415	0.7256485819816589	0.3853659	No	
row_105	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	8486	0.7078804969787598	0.3845419	No	
row_106	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	8768	0.6454829573631287	0.37545544	No	
row_107	GYS1	glycogen synthase 1 [Source:HGNC Symbol;Acc:HGNC:4706]	8866	0.6246052980422974	0.373376	No	
row_108	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	9594	0.4864789843559265	0.34675354	No	
row_109	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	9614	0.4831896722316742	0.3472957	No	
row_110	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	10177	0.40420404076576233	0.3267895	No	
row_111	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	10263	0.39209654927253723	0.32455888	No	
row_112	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	10312	0.38416728377342224	0.32372746	No	
row_113	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	10355	0.3801201283931732	0.32311568	No	
row_114	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	10591	0.3567495048046112	0.315035	No	
row_115	NDST1	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	10810	0.3249090313911438	0.30752298	No	
row_116	XPNPEP1	X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]	10906	0.3113534450531006	0.30469608	No	
row_117	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	10927	0.3078877627849579	0.3047386	No	
row_118	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	11452	0.228411465883255	0.2852283	No	
row_119	EFNA1	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	11542	0.21137529611587524	0.28236863	No	
row_120	NCAN	neurocan [Source:HGNC Symbol;Acc:HGNC:2465]	11594	0.20003993809223175	0.28093758	No	
row_121	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	11933	0.1322040557861328	0.26831287	No	
