NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	11	4.953258991241455	0.015925763	Yes	
row_1	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	48	4.83844518661499	0.030513119	Yes	
row_2	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	52	4.8270344734191895	0.046329316	Yes	
row_3	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	144	4.608611583709717	0.058047283	Yes	
row_4	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	196	4.512854099273682	0.07098436	Yes	
row_5	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	353	4.216734409332275	0.07891434	Yes	
row_6	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	359	4.211082935333252	0.092620865	Yes	
row_7	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	389	4.169212341308594	0.105268106	Yes	
row_8	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	405	4.144467353820801	0.11837099	Yes	
row_9	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	451	4.062023162841797	0.1300504	Yes	
row_10	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	476	4.025317192077637	0.14241463	Yes	
row_11	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	504	3.997051954269409	0.15457042	Yes	
row_12	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	560	3.9308509826660156	0.16543312	Yes	
row_13	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	571	3.916926383972168	0.1779769	Yes	
row_14	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	752	3.6970183849334717	0.1832705	Yes	
row_15	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	823	3.626601219177246	0.19255336	Yes	
row_16	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	922	3.5324254035949707	0.20045078	Yes	
row_17	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	949	3.510800838470459	0.21104011	Yes	
row_18	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1046	3.432276487350464	0.21868376	Yes	
row_19	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	1067	3.4187235832214355	0.22919947	Yes	
