NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	10	4.953473091125488	0.19447888	No	
row_1	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	3256	2.294071674346924	0.16093926	No	
row_2	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	7543	0.9319316148757935	0.034105513	No	
row_3	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	8586	0.6834808588027954	0.021244133	No	
row_4	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	9567	0.4894793629646301	0.0031161543	No	
row_5	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	10294	0.38588154315948486	-0.009398058	No	
row_6	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	10392	0.37667399644851685	0.0017194179	No	
row_7	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	10559	0.3584083616733551	0.009486277	No	
row_8	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	10942	0.3061858117580414	0.0069592423	No	
row_9	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	11657	0.18903487920761108	-0.012840795	No	
row_10	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	11984	0.11828329414129257	-0.02062338	No	
row_11	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	12966	0.0	-0.058044706	No	
row_12	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	13024	0.0	-0.06021903	No	
row_13	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	13179	0.0	-0.066093534	No	
row_14	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	13388	0.0	-0.07402792	No	
row_15	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	13435	0.0	-0.07578264	No	
row_16	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	13910	0.0	-0.09386389	No	
row_17	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	13912	0.0	-0.09390204	No	
row_18	NEUROG3	neurogenin 3 [Source:HGNC Symbol;Acc:HGNC:13806]	13955	0.0	-0.09550417	No	
row_19	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	14450	0.0	-0.114348345	No	
row_20	G6PC2	glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]	14599	0.0	-0.11999397	No	
row_21	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	14660	0.0	-0.122282736	No	
row_22	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	15310	0.0	-0.14703956	No	
row_23	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	16329	0.0	-0.18587229	No	
row_24	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	18135	0.0	-0.254726	No	
row_25	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	19902	0.0	-0.322092	No	
row_26	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	19912	0.0	-0.32243532	No	
row_27	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	20272	-0.07239387929439545	-0.33328193	No	
row_28	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	20593	-0.12211580574512482	-0.3406849	No	
row_29	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	21287	-0.24830420315265656	-0.35735232	Yes	
row_30	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	21589	-0.31557348370552063	-0.35642022	Yes	
row_31	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	21812	-0.3691830337047577	-0.35036567	Yes	
row_32	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	22429	-0.5473765730857849	-0.3523309	Yes	
row_33	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	22565	-0.5993843078613281	-0.33390197	Yes	
row_34	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	23282	-0.9176028966903687	-0.3251178	Yes	
row_35	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	23666	-1.120715856552124	-0.29564092	Yes	
row_36	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	24789	-1.9571025371551514	-0.26145208	Yes	
row_37	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	24868	-2.0238397121429443	-0.18481342	Yes	
row_38	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	25501	-2.7643940448760986	-0.100175686	Yes	
row_39	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	25805	-3.2757391929626465	0.017127471	Yes	
