,c,Genes_Present
1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,"MPC1, OAT, ATP6AP1, POLR2F, ACO2, IDH3B, COX6A1, COX7A2, ATP5PB, COX4I1, COX7B, HADHB, MRPL11, SDHD, NDUFS3"
2,HALLMARK_E2F_TARGETS,"POLA2, TRIP13, SMC1A, HMMR, AURKA, BIRC5, KIF4A, MCM5, CDKN3, MYBL2, CDC20, STMN1, DLGAP5, DIAPH3, KIF2C, SSRP1, BUB1B, CCNB2, NOLC1, WEE1, MCM7, RRM2, NAA38, NAP1L1"
3,HALLMARK_INTERFERON_ALPHA_RESPONSE,"PSME1, PSME2, OASL, DDX60, IFI44, GBP2, B2M, ISG15"
4,HALLMARK_BILE_ACID_METABOLISM,"RBP1, ABCD3, PFKM, SLC35B2"
5,HALLMARK_KRAS_SIGNALING_DN,"EDN1, SGK1, SPRR3, CDH16, KRT4, KRT15, SERPINB2"
6,HALLMARK_ADIPOGENESIS,"SCARB1, ACO2, COX6A1, ARL4A, COX7B, COQ3, HSPB8, NDUFS3"
7,HALLMARK_FATTY_ACID_METABOLISM,"NTHL1, PSME1, ACO2, IDH3B, MCEE, HADHB, MAOA, SDHD"
8,HALLMARK_XENOBIOTIC_METABOLISM,"FBLN1, ACO2, PPARD, ARG1, MT2A, XDH, MAOA"
9,HALLMARK_MYC_TARGETS_V1,"RPL18, PABPC1, MCM5, PSMA2, CDC20, RPS10, CCNA2, NOLC1, MCM7, TYMS, NAP1L1"
10,HALLMARK_PEROXISOME,"PABPC1, SEMA3C, ABCD3, SLC35B2, FIS1"
11,HALLMARK_INTERFERON_GAMMA_RESPONSE,"PSME1, HIF1A, PSME2, PSMA2, ARL4A, MT2A, OASL, DDX60, IFI44, B2M, IFIT1, ISG15, PELI1, HLA-A"
12,HALLMARK_ESTROGEN_RESPONSE_LATE,"SCARB1, TFAP2C, KIF20A, CDC20, SGK1, ADD3, HSPB8, CKB"
13,HALLMARK_PANCREAS_BETA_CELLS,"DPP4, MAFB"
14,HALLMARK_P53_PATHWAY,"RPL18, CD81, IL1A, TNFSF9, ZNF365, PLK2"
15,HALLMARK_COAGULATION,"TIMP3, CTSH, THBS1, CTSK, SERPINB2, DPP4, CFD"
16,HALLMARK_G2M_CHECKPOINT,"POLA2, SMC1A, HMMR, NDC80, AURKA, TPX2, BIRC5, KIF4A, MCM5, CDKN3, HIF1A, MYBL2, NCL, CDC20, STMN1, CENPF, MT2A, KIF11, KIF2C, CCNA2, CCNB2, NOLC1, PBK, BUB1, EXO1, UBE2C, PRC1"
17,HALLMARK_CHOLESTEROL_HOMEOSTASIS,ACSS2
18,HALLMARK_DNA_REPAIR,"POLA2, POLR2F, GSDME, POLR2K, SSRP1, SAC3D1, NUDT9, TYMS"
19,HALLMARK_APICAL_SURFACE,
20,HALLMARK_COMPLEMENT,"CTSH, CALM3, SERPINB2, DPP4"
