"","Row_Names","Genes_Present"
"1","1","HADHB, COX7A2, ATP5PB, COX6A1, COX7B, OAT, COX4I1, ACO2, IDH3B, MPC1, ATP6AP1, POLR2F"
"2","2","SSRP1, CDC20, BIRC5, MYBL2, AURKA, TRIP13, DLGAP5, CCNB2, SMC1A, BUB1B, STMN1, HMMR, KIF4A, CDKN3, MCM5, POLA2, KIF2C, DIAPH3"
"3","3","PSME1, PSME2, OASL, IFI44, DDX60, GBP2"
"4","4","SLC35B2, PFKM, RBP1, ABCD3"
"5","5","SPRR3, SGK1, EDN1"
"6","6","COX6A1, HSPB8, COX7B, ACO2, COQ3, ARL4A, SCARB1"
"7","7","HADHB, PSME1, ACO2, IDH3B, MCEE, NTHL1"
"8","8","MT2A, PPARD, ACO2, ARG1, FBLN1, XDH"
"9","9","RPL18, PABPC1, PSMA2, CDC20, RPS10, CCNA2, MCM5"
"10","10","PABPC1, SLC35B2, SEMA3C, ABCD3"
"11","11","MT2A, HIF1A, PSME1, PSME2, PSMA2, OASL, IFI44, DDX60, ARL4A"
"12","12","HSPB8, CDC20, SGK1, TFAP2C, KIF20A, SCARB1, ADD3"
"13","13",""
"14","14","RPL18, PLK2, IL1A, CD81, TNFSF9, ZNF365"
"15","15","THBS1, CTSK, TIMP3, CTSH"
"16","16","MT2A, NCL, HIF1A, CDC20, CCNA2, BIRC5, MYBL2, AURKA, TPX2, CENPF, KIF11, CCNB2, SMC1A, STMN1, HMMR, KIF4A, CDKN3, MCM5, POLA2, KIF2C, NDC80"
"17","17","ACSS2"
"18","18","SSRP1, POLR2K, GSDME, POLR2F, POLA2"
"19","19",""
"20","20","CALM3, CTSH"
"21","21","AQP3, HSPB8, TFAP2C, SCARB1, SYNGR1, ADD3, BCL11B"
"22","22","AURKA, CCNB2, ARL4A, CDKN3, KIF2C"
"23","23","MCM5"
"24","24",""
"25","25","CITED2, AURKA, NT5E, KIF20A, STMN1, HMMR"
"26","26","PPARD"
"27","27","HIF1A, GBP2"
"28","28","COL17A1"
"29","29","LMAN1, ERGIC3"
"30","30",""
"31","31","SGK1, LMAN1, INPP4B"
"32","32","AURKA, ADD3"
"33","33","IL1A, RHOB, TIMP3"
"34","34","IL1A, HIF1A, EDN1, TNFSF9"
"35","35","CRYAB, HSPB8, FST, HDAC5, TNNI2, ATP6AP1, PFKM"
"36","36","BIRC5, AURKA, TPX2, CENPF, KIF11, DLGAP5, CCNB2, SMC1A, KIF4A, KIF2C, NDC80"
"37","37","THBS1, RHOB, DKK1, NT5E, FBLN1, TIMP3, GLIPR1"
"38","38","RHOB, CD81, NT5E, ARL4A, MAP3K8"
"39","39","ARG1"
"40","40","MAP3K8"
"41","41","AQP3, ADIPOR1, DAAM1"
"42","42","PPARD, DKK1, HDAC5"
"43","43",""
"44","44","TUBB2A"
"45","45","MT2A, CITED2, SCARB1"
"46","46","AQP3, RHOB"
"47","47","NRP2"
"48","48","RND3, CITED2, INPP4B, MIOS, ADD3"
"49","49","THBS1, LTBP2"
"50","50","PLK2, IL1A, TUBB2A, RHOB, SGK1, EDN1, TNFSF9, MAP3K8"
