,Row_Names,Genes_Present
1,1,HCCS
2,2,"MTHFD2, HUS1"
3,3,"EIF2AK2, HELZ2, TDRD7"
4,4,ABCD1
5,5,"SPHK2, DLK2, SYNPO"
6,6,"ACADS, GPAT4"
7,7,"HCCS, ACADS"
8,8,"GSR, SERPINE1, ABCC3, MAN1A1"
9,9,
10,10,"ABCD1, CTBP1"
11,11,"EIF2AK2, MTHFD2, IRF5, HELZ2, CASP3, TDRD7"
12,12,"SEMA3B, SNX10, XBP1, SLC7A5, SLC1A4, OVOL2, TPBG"
13,13,
14,14,"CGRRF1, TRIB3, DDIT4, PLK3"
15,15,"SERPINE1, LRP1, BMP1, CRIP2"
16,16,"SLC7A5, SLC38A1, HUS1, SAP30"
17,17,"SEMA3B, TRIB3, CBS"
18,18,"DGCR8, AGO4"
19,19,
20,20,"DOCK9, SERPINE1, SH2B3, LRP1, CASP3"
21,21,"SEMA3B, CELSR1, XBP1, SLC7A5, SLC1A4, SLC2A1, RAB17, OVOL2, KDM4B, BHLHE40, TPBG, SLC37A1, KRT8, CLDN7"
22,22,ACE
23,23,TFB2M
24,24,"VEGFA, VAV2"
25,25,"BIK, VEGFA, P4HA1, PPFIA4, TPBG, VLDLR, PLOD2, SDC3, SAP30, DDIT4, GFPT1"
26,26,SAP30
27,27,"IL27RA, TRAF2"
28,28,"PKD1, SPEG, CD276, VASP, VAV2, SDC3, BMP1, CLDN7"
29,29,"SEC24D, BNIP3, ARFGAP3"
30,30,"GSR, SELENOS, TXNRD1"
31,31,"GSR, SEC24D, KRT8"
32,32,"SLC2A3, MTHFD2, XBP1, TRIB3, SLC7A5, GSR, SLC1A4, SLC2A1, P4HA1, BHLHE40, TES, VLDLR, PDK1, PLOD2, DDIT4, TXNRD1"
33,33,"BIK, GSR, CASP3"
34,34,"EIF2AK2, ATP2B1, SERPINE1, SELENOS, TPBG, ADM, HRH1"
35,35,"SPEG, BHLHE40, PPFIA4, PTP4A3, PDLIM7"
36,36,"SUN2, CCDC88A, SYNPO, MAP3K11"
37,37,"SERPINE1, VEGFA, LRP1, SDC4, PLOD2, BMP1"
38,38,"SLC2A3, XBP1, CTSZ, P4HA1, BHLHE40, CDC42SE2, CASP3, TNFRSF18, SPRY4"
39,39,"SEMA3B, ANO1, SPRY2, ACE"
40,40,
41,41,"KDM7A, TNS1, FBXO9, SLC2A1, SNCA, MFHAS1, EPOR, SLC6A9"
42,42,
43,43,"TRIB3, SLC2A1, TRAF2, RALB, PDK1"
44,44,"MTHFD2, XBP1, SLC7A5, VEGFA, SLC1A4, DDIT4"
45,45,"SLC2A3, SERPINE1, VEGFA, KDM3A, SLC2A1, STBD1, CHST3, P4HA1, SDC4, BHLHE40, TES, PPFIA4, TPBG, VLDLR, ADM, PDK1, SDC3, SAP30, DDIT4"
46,46,CASP3
47,47,"CELSR1, VEGFA, VLDLR"
48,48,"ATP2B1, SERPINE1, BHLHE40, VLDLR, VAV2"
49,49,"SERPINE1, TGIF1"
50,50,"SLC2A3, ATP2B1, SERPINE1, VEGFA, SDC4, BHLHE40, TGIF1"
