NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	950	2.511294364929199	-0.015877642	No	
row_1	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	1318	2.2299044132232666	-0.011747505	No	
row_2	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	1607	2.0675928592681885	-0.005917971	No	
row_3	ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	1612	2.066657781600952	0.010767274	No	
row_4	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	2405	1.6980135440826416	-0.0056929514	No	
row_5	ALDH8A1	aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471]	2885	1.522046446800232	-0.011614269	No	
row_6	LIPE	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	2940	1.502035140991211	-0.0014418889	No	
row_7	TFCP2L1	transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]	3096	1.4496644735336304	0.004440431	No	
row_8	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	4244	1.1115971803665161	-0.030376825	No	
row_9	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	4409	1.074765920639038	-0.02789328	No	
row_10	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	4590	1.0263712406158447	-0.026416052	No	
row_11	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	4729	0.9950636625289917	-0.023587357	No	
row_12	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]	4784	0.985264778137207	-0.017625403	No	
row_13	NR1H4	nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967]	4895	0.9598414301872253	-0.014012651	No	
row_14	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	5555	0.815735936164856	-0.032573894	No	
row_15	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	5882	0.7635231614112854	-0.038822908	No	
row_16	ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	6056	0.7318500876426697	-0.039477557	No	
row_17	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	6101	0.7236844301223755	-0.035264336	No	
row_18	ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	6369	0.6758350729942322	-0.03997098	No	
row_19	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	6482	0.6566006541252136	-0.038905405	No	
row_20	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	6565	0.6410552263259888	-0.036818955	No	
row_21	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	6609	0.6330292224884033	-0.0333061	No	
row_22	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	6771	0.6056882739067078	-0.03452965	No	
row_23	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	6857	0.59346604347229	-0.032945685	No	
row_24	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	6958	0.5790470838546753	-0.032052975	No	
row_25	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	7218	0.5428101420402527	-0.037537437	No	
row_26	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	7299	0.5315088629722595	-0.036267024	No	
row_27	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	7959	0.44394829869270325	-0.05785743	No	
row_28	ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	8110	0.42939668893814087	-0.060096566	No	
row_29	PIPOX	pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]	8325	0.40343981981277466	-0.06499526	No	
row_30	ABCA4	ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]	8896	0.34043848514556885	-0.08402467	No	
row_31	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	9392	0.29654020071029663	-0.10054291	No	
row_32	PEX12	peroxisomal biogenesis factor 12 [Source:HGNC Symbol;Acc:HGNC:8854]	9505	0.2881769835948944	-0.10247909	No	
row_33	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	9531	0.286886990070343	-0.10109794	No	
row_34	NR0B2	nuclear receptor subfamily 0 group B member 2 [Source:HGNC Symbol;Acc:HGNC:7961]	9612	0.28169018030166626	-0.10186294	No	
row_35	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	9663	0.2790989577770233	-0.10150152	No	
row_36	CYP7A1	cytochrome P450 family 7 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2651]	9931	0.26086464524269104	-0.10958917	No	
row_37	KLF1	KLF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	10101	0.2494625300168991	-0.11402109	No	
row_38	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	10184	0.2441142201423645	-0.11516875	No	
row_39	SULT1B1	sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845]	10494	0.22406749427318573	-0.12516275	No	
row_40	GC	GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]	10567	0.21900230646133423	-0.1261325	No	
row_41	AGXT	alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]	10609	0.21607273817062378	-0.12594032	No	
row_42	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	11134	0.17961429059505463	-0.1445205	No	
row_43	DIO1	iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]	11336	0.1663753241300583	-0.15085344	No	
row_44	CYP8B1	cytochrome P450 family 8 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2653]	11858	0.12883928418159485	-0.16973257	No	
row_45	AKR1D1	aldo-keto reductase family 1 member D1 [Source:HGNC Symbol;Acc:HGNC:388]	11958	0.12150201201438904	-0.17252949	No	
row_46	NR1I2	nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]	12227	0.10269160568714142	-0.1819441	No	
row_47	PAOX	polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]	12606	0.06488838791847229	-0.19587436	No	
row_48	SLCO1A2	solute carrier organic anion transporter family member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956]	12628	0.06195109710097313	-0.19617288	No	
row_49	SLC27A5	solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]	12685	0.055356383323669434	-0.19786392	No	
row_50	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	12724	0.04845036566257477	-0.19892272	No	
