NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	43	4.188808917999268	0.039571818	No	
row_1	ATXN2	ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]	426	3.0349667072296143	0.054842517	No	
row_2	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	494	2.9355263710021973	0.08116643	No	
row_3	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1212	2.3029990196228027	0.076439664	No	
row_4	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	1651	2.048086643218994	0.079861365	No	
row_5	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	1780	1.974018931388855	0.09439495	No	
row_6	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1829	1.9476028680801392	0.11172427	No	
row_7	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	2126	1.8001912832260132	0.118130684	No	
row_8	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	2135	1.7966296672821045	0.13550238	No	
row_9	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	2561	1.6350986957550049	0.13535719	No	
row_10	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	2664	1.5966144800186157	0.14717053	No	
row_11	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	2783	1.553231954574585	0.1579459	No	
row_12	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	2787	1.5515618324279785	0.17309733	No	
row_13	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	2842	1.5341628789901733	0.18612958	No	
row_14	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	2849	1.53164541721344	0.20097047	No	
row_15	STX5	syntaxin 5 [Source:HGNC Symbol;Acc:HGNC:11440]	2938	1.502445936203003	0.21239202	No	
row_16	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	3266	1.3916221857070923	0.21359439	No	
row_17	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	3963	1.179195761680603	0.19861248	No	
row_18	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	4015	1.1659588813781738	0.20813653	No	
row_19	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	4753	0.9904206395149231	0.18973123	No	
row_20	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	4852	0.9696959257125854	0.19552901	No	
row_21	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	4931	0.9525120258331299	0.20192164	No	
row_22	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	5564	0.814827561378479	0.1857992	No	
row_23	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	6205	0.7065380215644836	0.16830571	No	
row_24	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	6474	0.6583106517791748	0.16454647	No	
row_25	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	6507	0.6517830491065979	0.16973719	No	
