NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	235	3.3684487342834473	0.004098289	No	
row_1	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	263	3.3124918937683105	0.01596178	No	
row_2	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	631	2.7825586795806885	0.012712243	No	
row_3	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	775	2.6433169841766357	0.01751766	No	
row_4	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	861	2.5798728466033936	0.02430207	No	
row_5	SRSF1	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	930	2.5199246406555176	0.031505488	No	
row_6	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	974	2.4909703731536865	0.03955566	No	
row_7	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	1012	2.4644577503204346	0.047732867	No	
row_8	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	1114	2.3748979568481445	0.053104963	No	
row_9	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1175	2.3276021480560303	0.059866466	No	
row_10	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	1465	2.1388566493988037	0.057103846	No	
row_11	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	1581	2.081761360168457	0.06079706	No	
row_12	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	1676	2.0353200435638428	0.06511541	No	
