NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	79	3.9109277725219727	0.013597321	No	
row_1	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	203	3.432426691055298	0.023471307	No	
row_2	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	430	3.0319221019744873	0.02768916	No	
row_3	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	718	2.6837549209594727	0.028085398	No	
row_4	GPER1	G protein-coupled estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:4485]	732	2.6750552654266357	0.03896086	No	
row_5	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	961	2.5028483867645264	0.040852316	No	
row_6	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	1003	2.471463441848755	0.04978745	No	
row_7	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	1336	2.223820209503174	0.046500918	No	
row_8	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1514	2.1124584674835205	0.048689824	No	
row_9	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	1538	2.102822780609131	0.056748334	No	
row_10	CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	1544	2.100461959838867	0.06548765	No	
row_11	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	1790	1.9704816341400146	0.064463004	No	
row_12	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	1967	1.8758329153060913	0.065684155	No	
row_13	AFF1	ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]	2226	1.7617852687835693	0.063273184	No	
row_14	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	2275	1.7416188716888428	0.06883634	No	
row_15	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	2298	1.7354283332824707	0.07537106	No	
row_16	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	2494	1.6641901731491089	0.07496307	No	
row_17	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	2664	1.5966144800186157	0.07526564	No	
