NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	430	3.0319221019744873	-0.0029375777	No	
row_1	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	433	3.0261597633361816	0.010525851	No	
row_2	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	503	2.9292492866516113	0.020984182	No	
row_3	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	720	2.6826705932617188	0.024697313	No	
row_4	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	808	2.613809108734131	0.033053398	No	
row_5	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	1336	2.223820209503174	0.022777172	No	
row_6	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	1411	2.1698756217956543	0.029645875	No	
row_7	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	1914	1.899228811264038	0.018876811	No	
row_8	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	1929	1.8920018672943115	0.026805023	No	
row_9	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	1969	1.8742002248764038	0.033694074	No	
row_10	B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]	2049	1.838911771774292	0.038890015	No	
row_11	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	2235	1.7597209215164185	0.03966331	No	
row_12	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	2324	1.7239028215408325	0.043999236	No	
row_13	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	2450	1.6803207397460938	0.046720088	No	
row_14	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	2568	1.6334402561187744	0.049538217	No	
row_15	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	2587	1.6231671571731567	0.05611004	No	
row_16	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]	2592	1.6224579811096191	0.06321601	No	
row_17	CHPF2	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]	2862	1.5286492109298706	0.059731457	No	
row_18	PAXIP1	PAX interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8624]	2951	1.4967459440231323	0.06305099	No	
row_19	PHKA2	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]	3271	1.3878093957901	0.05701725	No	
row_20	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	3666	1.2611626386642456	0.047538314	No	
row_21	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	3884	1.2005586624145508	0.044581536	No	
row_22	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	3938	1.1859911680221558	0.04785395	No	
row_23	ECD	ecdysoneless cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:17029]	3951	1.1826000213623047	0.052684788	No	
row_24	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	4031	1.162987470626831	0.05485639	No	
row_25	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	4036	1.1616785526275635	0.05990066	No	
row_26	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	4132	1.1387544870376587	0.061349746	No	
row_27	CHST1	carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969]	4356	1.0870610475540161	0.057654854	No	
row_28	ELF3	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	4417	1.0716592073440552	0.060147043	No	
row_29	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	4602	1.0240360498428345	0.057666987	No	
row_30	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	4616	1.0199207067489624	0.061731555	No	
row_31	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	4683	1.005490779876709	0.0636974	No	
row_32	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	4808	0.9805130362510681	0.06332542	No	
row_33	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	4830	0.9760499596595764	0.066886656	No	
row_34	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	4880	0.9629600048065186	0.069314666	No	
row_35	NANP	N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]	4946	0.9490946531295776	0.07106655	No	
row_36	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	5067	0.9178858399391174	0.07056788	No	
row_37	GAL3ST1	galactose-3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24240]	5089	0.9130935668945312	0.07384742	No	
row_38	CLDN9	claudin 9 [Source:HGNC Symbol;Acc:HGNC:2051]	5148	0.9007443189620972	0.07565164	No	
row_39	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	5280	0.8708102703094482	0.07452015	No	
row_40	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	5320	0.8633140325546265	0.07688611	No	
row_41	ARPP19	cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	5356	0.8579196929931641	0.07938145	No	
row_42	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	5457	0.8381924629211426	0.07929381	No	
row_43	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	5540	0.8201485872268677	0.07981628	No	
row_44	GFPT1	glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]	5629	0.804186999797821	0.08003704	No	
row_45	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	5665	0.7982981204986572	0.08226562	No	
