NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	25	4.4316487312316895	0.020289095	Yes	
row_1	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	44	4.170089244842529	0.039592735	Yes	
row_2	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	65	3.9762353897094727	0.05789014	Yes	
row_3	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	94	3.8485870361328125	0.07526848	Yes	
row_4	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	163	3.5646722316741943	0.08975036	Yes	
row_5	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	634	2.7787792682647705	0.085035786	Yes	
row_6	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	681	2.7294445037841797	0.096357316	Yes	
row_7	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	1170	2.3306705951690674	0.088803366	Yes	
row_8	HYCC2	hyccin PI4KA lipid kinase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28593]	1200	2.31058931350708	0.09876903	Yes	
row_9	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1212	2.3029990196228027	0.10938913	Yes	
row_10	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	1390	2.183901071548462	0.113067284	Yes	
row_11	POU2F1	POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]	1589	2.0782740116119385	0.11543303	Yes	
row_12	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	1603	2.0700409412384033	0.1248594	Yes	
row_13	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]	1699	2.0198259353637695	0.13089792	Yes	
row_14	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	1729	2.0026979446411133	0.13938734	Yes	
row_15	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	1845	1.939778447151184	0.14427449	Yes	
row_16	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	1893	1.910786509513855	0.15163238	Yes	
