NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	94	3.8485870361328125	0.014284341	No	
row_1	LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	152	3.592500925064087	0.028798163	No	
row_2	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	319	3.211514472961426	0.037357494	No	
row_3	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	430	3.0319221019744873	0.047231123	No	
row_4	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	473	2.964123010635376	0.05939932	No	
row_5	RAPGEF6	Rap guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:20655]	561	2.870073080062866	0.06940323	No	
row_6	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	675	2.7395365238189697	0.077802435	No	
row_7	ZNFX1	zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]	1153	2.342654228210449	0.07038663	No	
row_8	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	1282	2.258368968963623	0.07597322	No	
row_9	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	1351	2.2128472328186035	0.08365091	No	
row_10	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	1695	2.0219860076904297	0.07988711	No	
row_11	IL18BP	interleukin 18 binding protein [Source:HGNC Symbol;Acc:HGNC:5987]	1825	1.9486976861953735	0.08399566	No	
row_12	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	2110	1.8121390342712402	0.08152063	No	
row_13	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2203	1.770702600479126	0.08622172	No	
row_14	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	2248	1.7543854713439941	0.09268913	No	
