NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP1S	microtubule associated protein 1S [Source:HGNC Symbol;Acc:HGNC:15715]	11	4.6969099044799805	0.019196434	Yes	
row_1	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	207	3.4187240600585938	0.025992282	Yes	
row_2	MYO9B	myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609]	238	3.3600809574127197	0.038875695	Yes	
row_3	CYTH2	cytohesin 2 [Source:HGNC Symbol;Acc:HGNC:9502]	265	3.3098130226135254	0.05170266	Yes	
row_4	CNTROB	centrobin, centriole duplication and spindle assembly protein [Source:HGNC Symbol;Acc:HGNC:29616]	316	3.215982437133789	0.063216604	Yes	
row_5	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	464	2.974787950515747	0.07000036	Yes	
row_6	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	528	2.9071617126464844	0.07972546	Yes	
row_7	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	530	2.9056789875030518	0.09182386	Yes	
row_8	RAPGEF6	Rap guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:20655]	561	2.870073080062866	0.10266055	Yes	
row_9	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	587	2.842573642730713	0.113574274	Yes	
row_10	PCNT	pericentrin [Source:HGNC Symbol;Acc:HGNC:16068]	620	2.7964234352111816	0.124026574	Yes	
row_11	KPTN	kaptin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:6404]	650	2.765164375305176	0.13446344	Yes	
row_12	ARFIP2	ADP ribosylation factor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17160]	685	2.7235300540924072	0.14453453	Yes	
row_13	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	886	2.561206102371216	0.14755669	Yes	
row_14	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	929	2.5224475860595703	0.15648083	Yes	
row_15	PPP4R2	protein phosphatase 4 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:18296]	954	2.5097615718841553	0.16604282	Yes	
row_16	CEP250	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]	1018	2.4611620903015137	0.17390501	Yes	
row_17	SSH2	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]	1020	2.4602880477905273	0.18414305	Yes	
row_18	LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	1069	2.4132702350616455	0.19238089	Yes	
row_19	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1175	2.3276021480560303	0.19807331	Yes	
