NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	516	2.9175121784210205	-0.009631996	No	
row_1	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	603	2.8194286823272705	-0.0031024225	No	
row_2	MTRF1	mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]	763	2.655585289001465	5.412577E-5	No	
row_3	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	807	2.6148250102996826	0.0075206785	No	
row_4	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	923	2.529336452484131	0.01192578	No	
row_5	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	929	2.5224475860595703	0.0205287	No	
row_6	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	1305	2.2417490482330322	0.013952203	No	
row_7	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	2171	1.7839686870574951	-0.013026773	No	
row_8	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	2302	1.7333487272262573	-0.011972686	No	
row_9	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	2546	1.6426481008529663	-0.015571817	No	
row_10	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	2579	1.6250618696212769	-0.011134011	No	
row_11	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	2943	1.50101900100708	-0.01983259	No	
row_12	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	3091	1.4511821269989014	-0.020414777	No	
row_13	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	3243	1.4011385440826416	-0.02132497	No	
row_14	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	3273	1.3865352869033813	-0.017603675	No	
row_15	OPA1	OPA1 mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	3506	1.3100931644439697	-0.021940116	No	
row_16	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	3649	1.2667505741119385	-0.022973444	No	
row_17	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	3862	1.206146240234375	-0.0269047	No	
row_18	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	4087	1.1499756574630737	-0.031492367	No	
row_19	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	4885	0.9613975882530212	-0.058729477	No	
row_20	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	4964	0.9439459443092346	-0.05843196	No	
row_21	TIMM50	translocase of inner mitochondrial membrane 50 [Source:HGNC Symbol;Acc:HGNC:23656]	5203	0.8889898657798767	-0.06446691	No	
row_22	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	5248	0.8792905211448669	-0.06308989	No	
row_23	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	6529	0.6471464037895203	-0.109960385	No	
row_24	TIMM9	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	6618	0.6322633028030396	-0.11113339	No	
row_25	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	7791	0.46478670835494995	-0.15449463	No	
row_26	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	7990	0.4422434866428375	-0.160552	No	
row_27	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	8137	0.4269939363002777	-0.16466676	No	
row_28	ABCB7	ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]	8863	0.3437812030315399	-0.19129388	No	
row_29	PDHX	pyruvate dehydrogenase complex component X [Source:HGNC Symbol;Acc:HGNC:21350]	8968	0.332714319229126	-0.19412538	No	
row_30	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	9459	0.2917498052120209	-0.21191454	No	
row_31	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	9611	0.28170862793922424	-0.21672776	No	
row_32	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	9855	0.2655712366104126	-0.22512823	No	
row_33	ACADSB	acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]	11128	0.18019625544548035	-0.27331975	No	
row_34	UQCRC2	ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]	11327	0.16686643660068512	-0.28033727	No	
row_35	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	11788	0.134085550904274	-0.29752472	No	
row_36	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	12876	0.02276650257408619	-0.3391648	No	
row_37	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	12915	0.017185522243380547	-0.34056333	No	
row_38	COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	19040	-0.009299186058342457	-0.57557213	No	
row_39	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]	19074	-0.015215451829135418	-0.5767857	No	
row_40	TIMM17A	translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315]	19301	-0.05305707827210426	-0.58527464	No	
row_41	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]	19378	-0.06288357824087143	-0.5879723	No	
row_42	ISCA1	iron-sulfur cluster assembly 1 [Source:HGNC Symbol;Acc:HGNC:28660]	19510	-0.08310012519359589	-0.5927104	No	
row_43	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	19521	-0.08598256856203079	-0.59279436	No	
row_44	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	19671	-0.11045502126216888	-0.59812796	No	
row_45	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	19840	-0.13757741451263428	-0.6040962	No	
row_46	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	20000	-0.16139833629131317	-0.6096359	No	
row_47	SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	20025	-0.16444477438926697	-0.6099837	No	
row_48	ETFDH	electron transfer flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3483]	20053	-0.167402982711792	-0.61043626	No	
row_49	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]	20153	-0.18253502249717712	-0.6135995	No	
row_50	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	20332	-0.21055454015731812	-0.6196971	No	
row_51	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	20400	-0.22373706102371216	-0.62148845	No	
row_52	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	20547	-0.24678578972816467	-0.62623155	No	
row_53	ECI1	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]	20656	-0.2631319761276245	-0.6294592	No	
row_54	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	20993	-0.3283916413784027	-0.64121	No	
row_55	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]	21012	-0.33098500967025757	-0.64074683	No	
row_56	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	21017	-0.33171334862709045	-0.6397438	No	
row_57	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	21273	-0.38763824105262756	-0.64817923	No	
row_58	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	21327	-0.3993583917617798	-0.648821	No	
row_59	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	21332	-0.40063557028770447	-0.64757764	No	
row_60	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	21337	-0.4017281234264374	-0.6463305	No	
row_61	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	21426	-0.4256856143474579	-0.64822376	No	
row_62	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	21525	-0.4484782814979553	-0.6504213	No	
row_63	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	21612	-0.46652328968048096	-0.6520955	No	
row_64	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	21785	-0.5055844187736511	-0.6569341	No	
row_65	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	21786	-0.5056571960449219	-0.6551711	No	
row_66	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	21788	-0.5062038898468018	-0.6534445	No	
row_67	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	21809	-0.5103400349617004	-0.65243274	No	
row_68	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]	21854	-0.5222486257553101	-0.6523006	No	
row_69	TIMM10	translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]	21876	-0.5299848914146423	-0.6512587	No	
row_70	MRPS22	mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508]	22082	-0.5897845029830933	-0.65707034	No	
row_71	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384]	22246	-0.6385557651519775	-0.6611	No	
row_72	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	22262	-0.6416471600532532	-0.6594385	No	
row_73	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	22266	-0.6425949335098267	-0.6573131	No	
row_74	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	22423	-0.6866014003753662	-0.66090655	No	
row_75	ATP6V1E1	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	22502	-0.7129916548728943	-0.66141427	Yes	
row_76	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	22533	-0.7289314270019531	-0.66002417	Yes	
row_77	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	22588	-0.7466573715209961	-0.6594934	Yes	
row_78	ATP6V1G1	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	22662	-0.7743526101112366	-0.6595953	Yes	
row_79	ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	22766	-0.815118134021759	-0.66070646	Yes	
row_80	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	22836	-0.8389948606491089	-0.6604294	Yes	
row_81	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	22877	-0.8530706763267517	-0.6589903	Yes	
row_82	MRPL35	mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]	22928	-0.8690473437309265	-0.6578793	Yes	
row_83	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	22948	-0.8767004609107971	-0.6555518	Yes	
row_84	OAT	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]	23041	-0.9118653535842896	-0.65590346	Yes	
