NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	13	4.67409610748291	0.016679363	Yes	
row_1	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	15	4.616813659667969	0.03360875	Yes	
row_2	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	31	4.305845260620117	0.048857957	Yes	
row_3	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	32	4.2868428230285645	0.06461301	Yes	
row_4	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	62	3.9894073009490967	0.07816193	Yes	
row_5	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	65	3.9762353897094727	0.09269868	Yes	
row_6	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	74	3.9258129596710205	0.10681984	Yes	
row_7	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	79	3.9109277725219727	0.12103981	Yes	
row_8	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	124	3.711054801940918	0.13299005	Yes	
row_9	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	203	3.432426691055298	0.14261138	Yes	
row_10	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	303	3.244239330291748	0.15073514	Yes	
row_11	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	319	3.211514472961426	0.16196245	Yes	
row_12	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	343	3.1697258949279785	0.17272915	Yes	
row_13	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	383	3.090099573135376	0.18258914	Yes	
row_14	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	395	3.076800584793091	0.19347486	Yes	
row_15	REL	REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]	471	2.9646904468536377	0.20149231	Yes	
row_16	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	501	2.929720163345337	0.21114667	Yes	
row_17	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	524	2.908644676208496	0.22099221	Yes	
row_18	RELB	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	627	2.7866077423095703	0.22731893	Yes	
row_19	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	676	2.738382577896118	0.23554088	Yes	
row_20	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	720	2.6826705932617188	0.24374998	Yes	
row_21	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	746	2.668053388595581	0.25259617	Yes	
row_22	NFAT5	nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]	756	2.6589417457580566	0.2620229	Yes	
row_23	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	863	2.5785443782806396	0.26743144	Yes	
row_24	ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	899	2.549574136734009	0.27545843	Yes	
row_25	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	969	2.4941067695617676	0.28197664	Yes	
row_26	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	971	2.493082284927368	0.29110086	Yes	
row_27	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	988	2.4800353050231934	0.29960147	Yes	
row_28	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	1000	2.4728405475616455	0.3082675	Yes	
row_29	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	1040	2.440563440322876	0.31574032	Yes	
row_30	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	1054	2.426347255706787	0.32415873	Yes	
row_31	KDM6B	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	1125	2.364657163619995	0.33016282	Yes	
row_32	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	1170	2.3306705951690674	0.33703986	Yes	
row_33	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	1188	2.3153135776519775	0.34489667	Yes	
row_34	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1212	2.3029990196228027	0.35247797	Yes	
row_35	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	1228	2.2865853309631348	0.36030596	Yes	
row_36	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	1295	2.249492645263672	0.36604032	Yes	
row_37	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	1440	2.152592897415161	0.36842498	Yes	
row_38	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1591	2.0780935287475586	0.3703056	Yes	
row_39	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	1695	2.0219860076904297	0.3737838	Yes	
row_40	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	1719	2.0079338550567627	0.38028067	Yes	
row_41	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	1780	1.974018931388855	0.38523287	Yes	
row_42	CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	1861	1.9303895235061646	0.38925713	Yes	
row_43	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	2007	1.8588032722473145	0.3905237	Yes	
row_44	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	2027	1.8497265577316284	0.39659265	Yes	
row_45	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	2116	1.8070076704025269	0.39985642	Yes	
row_46	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	2123	1.8021049499511719	0.40624928	Yes	
row_47	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	2127	1.7995213270187378	0.41274774	Yes	
row_48	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	2248	1.7543854713439941	0.41459003	Yes	
row_49	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	2270	1.7446372509002686	0.42019597	Yes	
row_50	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	2275	1.7416188716888428	0.42644328	Yes	
row_51	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	2313	1.7293691635131836	0.43137905	Yes	
row_52	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	2368	1.709576964378357	0.43558964	Yes	
row_53	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2380	1.7046189308166504	0.44143233	Yes	
row_54	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	2408	1.6969645023345947	0.4466328	Yes	
row_55	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2419	1.6932649612426758	0.45247212	Yes	
row_56	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	2446	1.6817972660064697	0.45765522	Yes	
row_57	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	2612	1.614366054534912	0.45725584	Yes	
row_58	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	2632	1.608564019203186	0.46243846	Yes	
row_59	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	2640	1.604692816734314	0.46806738	Yes	
row_60	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2687	1.5892688035964966	0.47214285	Yes	
row_61	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	2720	1.5775668621063232	0.4767126	Yes	
row_62	KLF2	KLF transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	2733	1.5724992752075195	0.48203135	Yes	
row_63	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	2779	1.5546890497207642	0.4860181	Yes	
row_64	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	2849	1.53164541721344	0.48899907	Yes	
row_65	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	2870	1.5259217023849487	0.4938396	Yes	
row_66	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	2924	1.5078035593032837	0.497347	Yes	
row_67	TNIP2	TNFAIP3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:19118]	2931	1.505177617073059	0.5026486	Yes	
row_68	EIF1	eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]	2964	1.494469165802002	0.50691295	Yes	
row_69	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	2993	1.483850359916687	0.5112918	Yes	
row_70	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	3158	1.4296000003814697	0.51025176	Yes	
row_71	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	3274	1.385487675666809	0.5109301	Yes	
row_72	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	3283	1.381930947303772	0.515702	Yes	
row_73	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	3297	1.3786647319793701	0.52026993	Yes	
row_74	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	3344	1.3632619380950928	0.5235148	Yes	
row_75	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	3353	1.358568549156189	0.5282008	Yes	
row_76	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	3393	1.3447669744491577	0.5316463	Yes	
row_77	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	3467	1.323691487312317	0.5337095	Yes	
row_78	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	3474	1.32108473777771	0.5383345	Yes	
row_79	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	3537	1.2993359565734863	0.54073036	Yes	
row_80	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	3541	1.2982603311538696	0.54538655	Yes	
row_81	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	3542	1.297925353050232	0.5501567	Yes	
row_82	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	3545	1.2965055704116821	0.5548449	Yes	
row_83	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	3571	1.2876311540603638	0.5586178	Yes	
