NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	74	3.9258129596710205	0.01828656	Yes	
row_1	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	213	3.4065186977386475	0.031328276	Yes	
row_2	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	319	3.211514472961426	0.044584718	Yes	
row_3	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	352	3.1454312801361084	0.060281396	Yes	
row_4	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	427	3.03446888923645	0.07377259	Yes	
row_5	SCAF8	SR-related CTD associated factor 8 [Source:HGNC Symbol;Acc:HGNC:20959]	496	2.934877634048462	0.08695777	Yes	
row_6	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	535	2.902279853820801	0.101116516	Yes	
row_7	RBPMS	RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]	580	2.8503639698028564	0.114766166	Yes	
row_8	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	602	2.820458173751831	0.12913579	Yes	
row_9	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	610	2.8141045570373535	0.1440074	Yes	
row_10	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	632	2.781992197036743	0.15817007	Yes	
row_11	SFMBT1	Scm like with four mbt domains 1 [Source:HGNC Symbol;Acc:HGNC:20255]	678	2.7342848777770996	0.17115694	Yes	
row_12	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	740	2.6711721420288086	0.1831915	Yes	
row_13	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	865	2.5770792961120605	0.19230704	Yes	
row_14	PRDM2	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	946	2.5138635635375977	0.20276763	Yes	
row_15	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	950	2.511294364929199	0.21616332	Yes	
row_16	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	982	2.4856889247894287	0.22834893	Yes	
row_17	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	1000	2.4728405475616455	0.24100159	Yes	
row_18	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	1044	2.436776638031006	0.25246447	Yes	
row_19	SCHIP1	schwannomin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15678]	1135	2.358325719833374	0.26170528	Yes	
row_20	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	1194	2.3130910396575928	0.27192828	Yes	
row_21	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	1321	2.228685140609741	0.2790929	Yes	
row_22	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	1373	2.196593999862671	0.28895724	Yes	
row_23	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	1411	2.1698756217956543	0.29921398	Yes	
row_24	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	1494	2.1202425956726074	0.3074803	Yes	
row_25	MTA1	metastasis associated 1 [Source:HGNC Symbol;Acc:HGNC:7410]	1587	2.079148292541504	0.31514257	Yes	
row_26	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	1648	2.048386335372925	0.32386488	Yes	
row_27	SPOP	speckle type BTB/POZ protein [Source:HGNC Symbol;Acc:HGNC:11254]	1748	1.9891116619110107	0.33077466	Yes	
row_28	PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	1810	1.9578642845153809	0.33897167	Yes	
row_29	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]	1874	1.9211506843566895	0.34689456	Yes	
row_30	NR1D2	nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]	2076	1.8268612623214722	0.34902504	Yes	
row_31	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	2116	1.8070076704025269	0.357253	Yes	
row_32	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	2283	1.7384058237075806	0.36024803	Yes	
row_33	ATRX	ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]	2603	1.6180329322814941	0.35673586	Yes	
row_34	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	2642	1.6045960187911987	0.36391318	Yes	
row_35	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	2643	1.6045000553131104	0.37254527	Yes	
row_36	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	2673	1.5943065881729126	0.3800119	Yes	
row_37	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	2723	1.576281189918518	0.38661557	Yes	
row_38	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	2798	1.5462068319320679	0.3921	Yes	
row_39	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	2969	1.492807388305664	0.39362055	Yes	
