,Mpox.M,Killed.M,Mock.M,,,,
GSM283171,1,0,0,,Monocyte,Mpox.M,GSM283171
GSM283172,1,0,0,,Monocyte,Mpox.M,GSM283172
GSM283175,1,0,0,,Monocyte,Mpox.M,GSM283175
GSM283186,1,0,0,,Monocyte,Mpox.M,GSM283186
GSM283188,1,0,0,,Monocyte,Mpox.M,GSM283188
GSM283190,1,0,0,,Monocyte,Mpox.M,GSM283190
GSM283194,1,0,0,,Monocyte,Mpox.M,GSM283194
GSM283319,0,1,0,,Monocyte,Killed.M,GSM283319
GSM283320,0,1,0,,Monocyte,Killed.M,GSM283320
GSM283321,0,1,0,,Monocyte,Killed.M,GSM283321
GSM283322,0,1,0,,Monocyte,Killed.M,GSM283322
GSM283323,0,1,0,,Monocyte,Killed.M,GSM283323
GSM283324,0,1,0,,Monocyte,Killed.M,GSM283324
GSM283325,0,1,0,,Monocyte,Killed.M,GSM283325
GSM283326,0,1,0,,Monocyte,Killed.M,GSM283326
GSM283327,0,1,0,,Monocyte,Killed.M,GSM283327
GSM283328,0,1,0,,Monocyte,Killed.M,GSM283328
GSM283330,0,1,0,,Monocyte,Killed.M,GSM283330
GSM283332,0,1,0,,Monocyte,Killed.M,GSM283332
GSM283334,0,1,0,,Monocyte,Killed.M,GSM283334
GSM283338,0,1,0,,Monocyte,Killed.M,GSM283338
GSM283346,0,0,1,,Monocyte,Mock.M,GSM283346
GSM283348,0,0,1,,Monocyte,Mock.M,GSM283348
GSM283352,0,0,1,,Monocyte,Mock.M,GSM283352
GSM283353,0,0,1,,Monocyte,Mock.M,GSM283353
GSM283354,0,0,1,,Monocyte,Mock.M,GSM283354
GSM283355,0,0,1,,Monocyte,Mock.M,GSM283355
GSM283356,0,0,1,,Monocyte,Mock.M,GSM283356
GSM283357,1,0,0,,Monocyte,Mpox.M,GSM283357
GSM283358,0,0,1,,Monocyte,Mock.M,GSM283358
GSM283360,1,0,0,,Monocyte,Mpox.M,GSM283360
GSM283366,0,0,1,,Monocyte,Mock.M,GSM283366
GSM283367,1,0,0,,Monocyte,Mpox.M,GSM283367
GSM283369,0,0,1,,Monocyte,Mock.M,GSM283369
GSM283371,1,0,0,,Monocyte,Mpox.M,GSM283371
GSM283373,0,0,1,,Monocyte,Mock.M,GSM283373
GSM283375,1,0,0,,Monocyte,Mpox.M,GSM283375
GSM283377,1,0,0,,Monocyte,Mpox.M,GSM283377
GSM283379,1,0,0,,Monocyte,Mpox.M,GSM283379
GSM283380,1,0,0,,Monocyte,Mpox.M,GSM283380
GSM283381,0,1,0,,Monocyte,Killed.M,GSM283381
GSM283382,1,0,0,,Monocyte,Mpox.M,GSM283382
GSM283383,0,1,0,,Monocyte,Killed.M,GSM283383
GSM283384,0,1,0,,Monocyte,Killed.M,GSM283384
GSM283399,0,1,0,,Monocyte,Killed.M,GSM283399
GSM283402,0,1,0,,Monocyte,Killed.M,GSM283402
GSM283404,0,1,0,,Monocyte,Killed.M,GSM283404
GSM283406,0,0,1,,Monocyte,Mock.M,GSM283406
GSM283408,0,0,1,,Monocyte,Mock.M,GSM283408
GSM283410,0,0,1,,Monocyte,Mock.M,GSM283410
GSM283412,0,0,1,,Monocyte,Mock.M,GSM283412
GSM283413,0,0,1,,Monocyte,Mock.M,GSM283413
