DOWN_I_407,baseMean,log2FoldChange,lfcSE,pvalue,padj
RPL18,345.2124507,-0.648606097,0.117481576,2.64E-08,2.13E-07
OAT,114.9030928,-0.664733259,0.196838023,0.000561655,0.002171105
COL17A1,412.4694691,-0.488357478,0.10041237,1.01E-06,6.57E-06
YBX1,380.0638002,-0.624280485,0.108722076,7.36E-09,6.24E-08
PABPC1,454.6111917,-0.257247544,0.099027812,0.008683602,0.023866503
ATP6AP1,51.3506581,-0.706528431,0.285352299,0.009595252,0.025958534
DHRS9,63.39949193,0.730414117,0.272751815,0.005383294,0.015776057
SEMA3C,38.36444647,-0.752947557,0.311042809,0.010692671,0.02845114
REXO2,75.96793456,-0.774074479,0.238883848,0.000819282,0.003045821
TFAP2C,24.93151474,-0.920862248,0.416331876,0.015212844,0.038548889
TPX2,28.99101526,-0.831521615,0.389303729,0.020471305,0.049466644
PSME1,59.00547611,-0.762623799,0.26307613,0.002650767,0.008562871
MYL6,581.3901901,-0.647299864,0.091541125,1.22E-12,1.47E-11
HIF1A,231.1667606,-0.789154909,0.135168844,3.60E-09,3.16E-08
PSME2,71.14730796,0.688568417,0.247423255,0.004052391,0.012399778
COTL1,28.73116477,-0.913167563,0.37046438,0.007980314,0.022149705
NUCB1,54.44102218,-0.708701696,0.28788352,0.010013177,0.026934075
CNFN,559.6957332,0.382476879,0.142889267,0.006853066,0.019419366
TMEM205,103.7587053,0.981766352,0.225099306,7.56E-06,4.32E-05
WDR83OS,230.7609723,-0.935363104,0.183814647,2.13E-07,1.54E-06
CHCHD2,335.5504338,-0.523053004,0.135812747,0.00010054,0.00046187
PSMA2,53.96930167,-0.755947546,0.280595225,0.005048881,0.014964467
KRT23,196.1861019,-0.42932489,0.18172243,0.0163247,0.04085616
CRYAB,813.7484264,0.391704804,0.091963572,1.84E-05,9.82E-05
COPZ1,93.80249182,-0.64012376,0.216347073,0.002372405,0.007767303
COX6A1,158.870291,-0.747391881,0.185548046,4.05E-05,0.000202025
COX7A2,159.3917747,-0.417037989,0.168642608,0.012158028,0.031686645
NCL,262.3005754,-0.480843345,0.125281784,0.00010641,0.00048496
PPP1R7,60.56193084,-0.816901591,0.272851019,0.001832506,0.006202745
RND3,122.4609693,-0.631062525,0.187211707,0.000591418,0.002275955
ATP5PB,105.2524875,-0.847357707,0.217560586,6.40E-05,0.00030603
RGS2,61.43038091,-0.640406617,0.264700506,0.011960749,0.031272893
C1orf198,23.45835134,-0.971523168,0.416604653,0.010624247,0.02831592
MGME1,34.6933487,-0.852923788,0.357657523,0.010635725,0.028334558
ERGIC3,75.95922563,0.610439006,0.253163887,0.012704806,0.032937501
SLC44A2,70.34707933,-0.915606238,0.239504465,8.26E-05,0.000387357
COX4I1,117.9959135,-0.741421053,0.191558301,7.89E-05,0.000371055
COX7B,120.5187653,-0.495661912,0.202951016,0.012506152,0.032501863
CCNB1,34.18514603,-0.869119126,0.339570054,0.006460512,0.018450965
EMC7,102.2913171,-0.54674056,0.238266802,0.017991196,0.044406816
GRHL1,115.774779,-0.760183657,0.185484303,3.00E-05,0.000152833
OASL,20.65952701,0.97679042,0.449542865,0.015991926,0.040138591
TUBB2A,174.1568125,-0.927114258,0.180438649,1.69E-07,1.24E-06
HADHB,85.5704494,-0.649374518,0.21374935,0.001823896,0.006179662
SNRPF,37.58237968,-0.841536849,0.342243789,0.00878098,0.02409575
SERF2,121.1819497,-0.541155015,0.186447862,0.003126356,0.00989892
CBX4,37.57683305,-0.731936604,0.324982341,0.017146634,0.04261184
PSMB6,217.1949522,-0.896309838,0.145284556,4.34E-10,4.21E-09
CTSK,45.07756534,0.882563281,0.341777688,0.006060744,0.017471958
RAB13,70.33986454,-0.662177421,0.242022649,0.004722934,0.014141133
ABCA12,138.0071571,-0.583236332,0.186897615,0.00146607,0.005111614
PLK2,194.5440942,-0.514693382,0.1618242,0.001254167,0.00444352
NDUFB11,45.34500121,-0.885162708,0.33222901,0.004699265,0.01407943
POLR2K,74.18899078,-0.909417828,0.279343773,0.000683266,0.002591114
EIF3H,77.49254306,-0.609983749,0.225159879,0.0053079,0.015584899
GPR107,40.37315,-0.6961522,0.304468541,0.016072803,0.040313465
SSRP1,54.92484222,-0.790912634,0.274880252,0.002711304,0.008735932
RAET1L,143.6825748,-0.512518506,0.211774023,0.013111983,0.033878555
ADIPOR1,233.2536466,-0.915996464,0.136139349,1.05E-11,1.18E-10
CALM3,92.78732681,-0.594815117,0.206998232,0.0032295,0.010177461
ZNF385A,153.3088371,-0.507471374,0.179303958,0.003960047,0.012141447
GBP2,8.247004844,1.690822877,0.752867035,0.005628329,0.01637591
SPRR3,69.82637973,-0.716559398,0.324661106,0.019282924,0.04708145
NSA2,33.87279165,-0.881917797,0.341498657,0.006014734,0.017368345
CITED2,55.49914248,-0.685305643,0.29008748,0.013428634,0.034515766
NOLC1,104.9287004,-0.552677058,0.198062527,0.00435998,0.01320916
MCM7,59.42407523,1.383679195,0.291388203,7.90E-07,5.21E-06
B2M,371.3396496,0.784385774,0.123855299,1.72E-10,1.73E-09
EEF2,1379.836144,0.280058115,0.073612989,0.00013717,0.000610039
NXN,37.35695848,-0.744604296,0.328297746,0.016183486,0.04054686
BSCL2,27.50878827,-0.966152446,0.40663633,0.009497841,0.025755592
NUDT9,30.15621598,-0.886714219,0.371079676,0.010095824,0.027129322
OVOL1,113.1865252,-0.622977642,0.194172792,0.001060473,0.00383203
RAB1B,277.3029715,-0.599301996,0.130688893,3.68E-06,2.20E-05
CLTB,508.4776017,-0.844736176,0.101382399,5.18E-17,8.77E-16
SLC35A4,56.63845708,-0.604576051,0.268822526,0.019312382,0.047120028
LAMP1,246.371261,0.540021944,0.126886075,1.75E-05,9.34E-05
MT1X,188.6643398,1.374668197,0.18367435,2.88E-14,3.99E-13
CHP1,93.3748776,-0.564193315,0.206007391,0.005069247,0.015011933
ISG15,22.87638349,-0.971228752,0.442334633,0.014860449,0.037780803
MAOA,31.06725843,-0.790765095,0.357462759,0.017744591,0.043915954
GET3,130.0852861,-0.456389489,0.189079029,0.01387226,0.035503931
CTNND1,176.2546558,-0.543990876,0.146655566,0.000172453,0.000752643
COPS8,30.46236383,-0.880358164,0.357644556,0.008318033,0.022987388
LY6G6C,219.3508286,-0.533118945,0.15699661,0.000575503,0.00221842
CDSN,311.4300755,0.591563666,0.150400108,6.93E-05,0.000330294
HLA-E,332.2269556,0.509780483,0.113075537,5.64E-06,3.29E-05
HLA-A,915.9569941,1.164365295,0.096090632,4.71E-34,1.78E-32
FIS1,115.7152347,-0.885745261,0.20202758,7.35E-06,4.21E-05
ASPRV1,181.6760315,0.680834843,0.202673164,0.000598379,0.002298894
H2AFJ,58.8232432,-0.635386045,0.283637189,0.019167552,0.0468329
SNHG9,67.52967114,0.698373659,0.290052511,0.011862788,0.031034402
