,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000086061,-1.396886922,-1.402682482,-1.402384099,1.049533262,1.110910373,0.954062704,-0.262099286,-0.366345477,-0.396950293,0.649366701,0.643425617,0.820049901
ENSG00000087074,-1.253647253,-1.245769966,-1.243870046,1.048785841,1.167144994,1.103992514,-0.60199294,-0.559247134,-0.583247546,0.541115416,0.721273656,0.905462465
ENSG00000108654,-1.305871625,-1.29537612,-1.308923119,0.600674182,0.677640528,0.542743085,-0.429966264,-0.520553907,-0.460367333,1.158182019,1.03376708,1.308051473
ENSG00000109971,-1.532469804,-1.55236751,-1.544914483,1.04264899,1.135499108,1.000897551,0.208452941,0.058556466,0.098970781,0.276694067,0.311914032,0.496117861
ENSG00000120694,-1.103667336,-1.106657973,-1.109544237,1.349617227,1.384281172,1.296993316,-0.652189432,-0.687254371,-0.657290811,0.43703247,0.311604959,0.537075016
ENSG00000120738,-1.149833674,-1.149963968,-1.150340196,1.114832194,1.050025162,1.125106697,-0.73507725,-0.70915051,-0.719124737,0.628601158,0.727014052,0.967911072
ENSG00000130066,-1.476411878,-1.466005905,-1.492410971,0.690942565,0.853901169,0.685988459,-0.164015834,-0.260458292,-0.177130153,1.002761095,0.971615861,0.831223884
ENSG00000132002,-1.312130341,-1.319659463,-1.317639367,1.307280455,1.395141296,1.40716943,-0.180962662,-0.187941842,-0.163905177,0.031559462,0.096344963,0.244743246
ENSG00000140403,-1.057367497,-1.057881829,-1.059000201,1.33607917,1.291992464,1.305650715,-0.740947071,-0.762341893,-0.761050209,0.44197265,0.451677673,0.611216029
ENSG00000143384,-1.083625134,-1.076241282,-1.083012298,0.737341457,0.853026656,0.770770273,-0.798756779,-0.823394811,-0.801486433,1.08874096,0.988605549,1.228031842
ENSG00000163191,1.697648426,1.655128249,1.619188911,-0.573636041,-0.576033456,-0.571575894,-0.573188838,-0.563033601,-0.564771819,-0.536919612,-0.464538883,-0.548267443
ENSG00000167768,1.678484101,1.626146465,1.662404086,-0.488493661,-0.494634537,-0.514957007,-0.643999995,-0.631910377,-0.632701638,-0.515913124,-0.509062179,-0.535362134
ENSG00000170345,-1.022722611,-1.028310665,-1.025173313,0.643790066,0.624037075,0.675146054,-0.845753427,-0.835939423,-0.840275749,1.145741109,1.208100842,1.301360041
ENSG00000177606,-1.013443018,-1.015865757,-1.004598524,1.092196881,1.112230547,1.214526357,-0.891540092,-0.866868548,-0.873272769,0.66604301,0.678385508,0.902206405
ENSG00000186081,1.656648385,1.668281277,1.607101696,-0.558406766,-0.554690054,-0.558176206,-0.721607949,-0.715430755,-0.72042835,-0.378870266,-0.339780452,-0.384640561
ENSG00000186847,1.665587276,1.633404987,1.661008607,-0.562803008,-0.554339743,-0.557351597,-0.654108655,-0.648798588,-0.65127508,-0.44563562,-0.428582457,-0.457106122
ENSG00000198435,-1.067616256,-1.06616499,-1.071443332,1.093680372,1.152375084,1.153630262,-0.809654996,-0.828834025,-0.814979591,0.775048981,0.664316676,0.819641815
ENSG00000204388,-1.156789445,-1.157527979,-1.156838281,1.419842255,1.46189737,1.56307405,-0.380501967,-0.324935235,-0.327310738,-0.047150136,-0.051837856,0.158077963
ENSG00000204389,-1.182849692,-1.188697636,-1.183700833,1.414218179,1.487392018,1.554565191,-0.241487444,-0.162909101,-0.167115763,-0.115468388,-0.172901711,-0.041044819
ENSG00000205420,1.674437897,1.625769739,1.650603471,-0.559551449,-0.551762238,-0.562692355,-0.67727994,-0.674031292,-0.676720513,-0.408039752,-0.37801864,-0.462714928
