Gene_name,Zaire,Clade I,Clade IIa,Clade Iib
ABCC9,1.952667,4.441717,4.580854,NA
AFG3L2,-1.198542,-1.050999,-1.288311,NA
AIMP2,-1.013167,-2.430533,-2.022979,NA
CCN1,8.093,2.476384,2.374026,0.5747734
ILF2,1.665667,1.040443,1.50931,0.3838589
KCND1,1.1455,3.790575,4.059719,NA
PAPOLA,1.129292,1.198198,1.447466,0.5810987
PCBP2,1.81925,2.280328,2.134691,0.3741702
PLEKHM2,1.271875,1.676117,1.916958,0.4895638
SLC9A1,1.504042,1.743726,1.797071,NA
SP110,-1.035167,-1.550541,-1.837098,NA
SPATA2,7.103667,1.530301,1.762814,NA
TNFAIP3,9.693917,1.376129,1.651981,NA
USP21,1.085833,2.469934,2.878266,NA
