,ID,logFC,gene_name
1,483,-1.010291667,ATP1B3
2,506,-1.204125,ATP5F1B
3,682,-1.282541667,BSG
4,2627,9.008541667,GATA6
5,2760,-1.668291667,GM2A
6,3418,-1.101333333,IDH2
7,3624,1.156541667,INHBA
8,3694,-1.0965,ITGB6
9,4741,1.189541667,NEFM
10,4850,1.242125,CNOT4
11,5016,1.036958333,OVGP1
12,5325,8.04175,PLAGL1
13,6543,1.22825,SLC8A2
14,7087,8.508833333,ICAM5
15,7518,1.018625,XRCC4
16,7988,6.071416667,ZNF212
17,8178,1.6145,ELL
18,9785,6.635416667,DHX38
19,10376,-1.05025,TUBA1B
20,10632,-1.063083333,ATP5MG
21,10725,8.256875,NFAT5
22,11054,1.459375,OGFR
23,22884,1.672041667,WDR37
24,23466,1.65625,CBX6
25,24146,1.315833333,CLDN15
26,26043,2.592208333,UBXN7
27,26127,1.260083333,FGFR1OP2
