,ID,logFC,gene_name,,,,,ID,log2FoldChange,gene_name
1,5325,8.04175,PLAGL1,,,,,,,
2,7087,8.508833333,ICAM5,,,,1,ENSG00000047056,1.195237,WDR37
3,2627,9.008541667,GATA6,,,,2,ENSG00000060491,1.418982,OGFR
4,10725,8.256875,NFAT5,,,,3,ENSG00000069849,-1.144211,ATP1B3
5,9785,6.635416667,DHX38,,,,4,ENSG00000080802,1.081503,CNOT4
6,7988,6.071416667,ZNF212,,,,5,ENSG00000085465,2.752447,OVGP1
7,23466,1.65625,CBX6,,,,6,ENSG00000102908,1.766349,NFAT5
8,506,-1.204125,ATP5F1B,,,,7,ENSG00000104722,4.899644,NEFM
9,3694,-1.0965,ITGB6,,,,8,ENSG00000105376,3.934532,ICAM5
10,5016,1.036958333,OVGP1,,,,9,ENSG00000105656,1.310338,ELL
11,22884,1.672041667,WDR37,,,,10,ENSG00000106404,2.1459,CLDN15
12,26043,2.592208333,UBXN7,,,,11,ENSG00000110955,-2.466838,ATP5F1B
13,3418,-1.101333333,IDH2,,,,12,ENSG00000111790,1.065311,FGFR1OP2
14,11054,1.459375,OGFR,,,,13,ENSG00000115221,-3.699427,ITGB6
15,2760,-1.668291667,GM2A,,,,14,ENSG00000118160,4.601284,SLC8A2
16,3624,1.156541667,INHBA,,,,15,ENSG00000118495,1.133508,PLAGL1
17,483,-1.010291667,ATP1B3,,,,16,ENSG00000122641,2.070767,INHBA
18,26127,1.260083333,FGFR1OP2,,,,17,ENSG00000123416,-1.063502,TUBA1B
19,7518,1.018625,XRCC4,,,,18,ENSG00000140829,1.109044,DHX38
20,8178,1.6145,ELL,,,,19,ENSG00000141448,4.460967,GATA6
21,6543,1.22825,SLC8A2,,,,20,ENSG00000152422,1.021734,XRCC4
22,24146,1.315833333,CLDN15,,,,21,ENSG00000163960,1.113397,UBXN7
23,4741,1.189541667,NEFM,,,,22,ENSG00000167283,-1.615253,ATP5MG
24,4850,1.242125,CNOT4,,,,23,ENSG00000170260,1.151548,ZNF212
25,682,-1.282541667,BSG,,,,24,ENSG00000172270,-1.582876,BSG
26,10376,-1.05025,TUBA1B,,,,25,ENSG00000182054,-4.078691,IDH2
27,10632,-1.063083333,ATP5MG,,,,26,ENSG00000183741,2.767893,CBX6
,,,,,,,27,ENSG00000196743,-3.939553,GM2A
,,,,,,,"Showing 1 to 20 of 27 entries, 3 total columns",,,
