"","ID","MetaColumn","MetaRow","Column","Row","CLONE_ID","SPOT_ID","Reporter.Species","Reporter.BioSequence.Database.Entry..preferredName.","Repoter.Biosequence.Type","Repoter.BioSequence.PolymerType","CompositeSequence.Identifier","GeneId","CompositeSequence.Biosequence.Type","Plate.Identifier","Plate.Row","Plate.Column","LUID","Failed","Contaminated","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC"
"39487",39487,4,11,7,27,"","C17L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",11,30153,0,"U","U",9.3885,-1.04035714285714,18.7627925967893,8.71866484611518e-12,9.79346130884472e-08,17.2483779929258,9.3885
"39527",39527,4,11,17,28,"","C17L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",11,30153,0,"U","U",9.564,-1.35364285714286,18.300037730106,1.24713162228224e-11,9.79346130884472e-08,16.9186429887519,9.564
"14326",14326,4,4,16,28,"","N4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","A",16,30064,0,"U","U",8.17416666666667,0.0457142857142856,17.9672710192927,1.62165079105253e-11,9.79346130884472e-08,16.6754505660725,8.17416666666667
"21537",21537,4,6,27,28,"VACWR048","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","I",6,30616,0,"U","U",7.429625,-2.9935,17.4596909012838,2.44173428769336e-11,9.79346130884472e-08,16.2943102972801,7.429625
"14286",14286,4,4,6,27,"","N4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","A",16,30064,0,"U","U",8.05158333333334,0.103928571428571,17.4582686773464,2.44457309503023e-11,9.79346130884472e-08,16.2932246084012,8.05158333333334
"35927",35927,4,10,17,28,"","A39R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","E",10,30152,0,"U","U",8.92095833333333,-0.803357142857143,17.2882421388501,2.81062383368421e-11,9.79346130884472e-08,16.1627010741734,8.92095833333333
"31387",31387,3,9,7,27,"","A39R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","F",9,30174,0,"U","U",7.79008333333333,-0.0121428571428571,17.0799453116059,3.34030821537151e-11,9.79346130884472e-08,16.0008027048823,7.79008333333333
"17897",17897,4,5,17,27,"VACWR071","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","I",5,30615,0,"U","U",7.02516666666667,-0.600714285714286,16.9432348158085,3.74501360662719e-11,9.79346130884472e-08,15.8933306085308,7.02516666666667
"12517",12517,2,4,7,28,"","C15L_648_s","Variola virus","ss_oligo","DNA","Experimental","","","","C",4,31298,0,"U","U",9.54091666666666,-1.64928571428571,16.8522081213087,4.04320183787067e-11,9.79346130884472e-08,15.8212309076556,9.54091666666666
"11607",11607,1,4,27,27,"VACWR172","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","P",4,30861,0,"U","U",9.86691666666667,-1.98357142857143,16.7490119472789,4.41207807091577e-11,9.79346130884472e-08,15.738963565215,9.86691666666667
"26036",26036,1,8,26,28,"VACWR021","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","H",20,30606,0,"U","U",7.616625,-2.42735714285714,16.711313890715,4.55562007273616e-11,9.79346130884472e-08,15.7087698144441,7.616625
"10730",10730,4,3,20,28,"","I3L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","I",15,30249,0,"U","U",9.9005,-1.30692857142857,16.7023245499529,4.59057681952327e-11,9.79346130884472e-08,15.7015587209105,9.9005
"23336",23336,2,7,26,28,"VACWR021","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","G",19,30581,0,"U","U",7.06583333333333,-2.34128571428571,16.6388762710614,4.84556875017974e-11,9.79346130884472e-08,15.6505385039278,7.06583333333333
"8057",8057,1,3,17,29,"","C15L_648_s","Variola virus","ss_oligo","DNA","Experimental","","","","D",3,31321,0,"U","U",8.6145,-1.80907142857143,16.5421810558823,5.26357224691607e-11,9.79346130884472e-08,15.5723666441535,8.6145
"27830",27830,3,8,20,28,"","D11L","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","J",20,30277,0,"U","U",8.7475,-0.405071428571429,16.526551539129,5.33466250749604e-11,9.79346130884472e-08,15.5596836409455,8.7475
"18837",18837,1,6,27,28,"VACWR079","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","L",6,30688,0,"U","U",10.649,-1.41914285714286,16.522946986625,5.3512021572623e-11,9.79346130884472e-08,15.5567567426494,10.649
