ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000000003,6.797568815,-2.70450082,0.952978183,0.00063994,0.002142008
ENSG00000000419,203.6403105,0.890534258,0.17467498,2.21E-07,1.32E-06
ENSG00000001036,17.11447936,-2.347370432,0.612778356,2.29E-05,0.00010239
ENSG00000001167,59.46581902,0.642907506,0.289613982,0.020455722,0.045076678
ENSG00000001497,21.98107858,-1.11357943,0.424869156,0.004101852,0.011187571
ENSG00000001617,43.28520678,-2.769287498,0.362888844,3.64E-15,4.36E-14
ENSG00000001630,131.5269846,-0.911055078,0.183732515,4.44E-07,2.56E-06
ENSG00000002330,34.7954423,-2.108028732,0.429172965,1.84E-07,1.11E-06
ENSG00000002549,19.75618011,-2.235101064,0.514632214,2.58E-06,1.34E-05
ENSG00000002834,60.09962147,-0.669472404,0.267699383,0.009408546,0.023001138
ENSG00000003056,114.0590656,0.664472454,0.197145869,0.000573735,0.001939688
ENSG00000003393,37.97997432,0.905795784,0.351485795,0.006007113,0.015579975
ENSG00000003756,329.4520657,4.180963107,0.197574192,9.28E-100,9.33E-98
ENSG00000004059,164.9476585,-0.6724578,0.171105803,6.52E-05,0.000269834
ENSG00000004142,120.1023774,-0.861249475,0.202658491,1.39E-05,6.45E-05
ENSG00000004455,35.1765893,-1.127123489,0.347168863,0.000557507,0.001891911
ENSG00000004478,463.2118476,1.74562109,0.111870112,1.98E-55,9.90E-54
ENSG00000004700,535.5616253,4.555833879,0.169838997,4.20E-159,8.34E-157
ENSG00000004777,8.918150201,3.229949901,1.050383245,0.000369606,0.001307253
ENSG00000004779,81.62333391,-1.497935432,0.280500359,3.09E-08,2.05E-07
ENSG00000004864,36.11804361,-1.364954525,0.356306787,4.83E-05,0.000205287
ENSG00000004961,110.9153676,0.782678954,0.209683599,0.000133708,0.000520378
ENSG00000005001,72.74185816,2.705491372,0.362307915,1.65E-14,1.88E-13
ENSG00000005007,106.896141,1.215205524,0.212777628,5.27E-09,3.84E-08
ENSG00000005020,15.97297979,-1.336175321,0.547734673,0.005173405,0.013672369
ENSG00000005022,392.1436011,-2.315749854,0.140363329,7.00E-62,3.95E-60
ENSG00000005075,47.66313564,-0.792568262,0.315162777,0.007980593,0.019989446
ENSG00000005238,151.9240852,2.324064439,0.196660597,6.74E-33,1.93E-31
ENSG00000005243,10.52580508,-1.275402456,0.651641257,0.017537157,0.039535735
ENSG00000005339,84.68687422,2.752028767,0.274781811,2.34E-24,4.71E-23
ENSG00000005469,7.102626766,-3.448784583,1.071041993,0.000150979,0.00058081
ENSG00000005483,59.79104463,2.07136063,0.295795827,5.81E-13,6.03E-12
ENSG00000005513,16.86399667,7.984079054,2.491682035,2.54E-09,1.91E-08
ENSG00000005700,25.3871716,-0.867391569,0.406168507,0.019852756,0.043921757
ENSG00000005812,43.26739689,1.224913039,0.332206228,0.000101546,0.000404509
ENSG00000005889,34.3641527,2.291093949,0.416298954,7.53E-09,5.37E-08
ENSG00000005893,93.57807331,-0.907691221,0.221347904,2.63E-05,0.000116209
ENSG00000006007,54.02002869,-1.659577422,0.31267819,3.24E-08,2.14E-07
ENSG00000006015,5.344933594,-3.065217983,1.195184213,0.001289694,0.004020404
ENSG00000006062,20.86414495,1.466209915,0.522572455,0.001659354,0.005037201
ENSG00000006118,22.62825471,1.436477494,0.476264059,0.000872689,0.002833939
ENSG00000006125,137.8987972,1.387195318,0.187131365,4.98E-14,5.54E-13
ENSG00000006128,9.020778182,2.578807039,2.335352283,0.012032073,0.028617676
ENSG00000006194,41.3740981,1.625847231,0.351616636,1.16E-06,6.33E-06
ENSG00000006327,979.1847969,1.942608091,0.098208014,1.09E-87,9.29E-86
ENSG00000006432,44.59727576,1.608078405,0.332308437,4.16E-07,2.41E-06
