"","...1","GSM6765206","GSM6765207","GSM6765208","GSM6765209","GSM6765210","GSM6765211","GSM6765212","GSM6765213","GSM6765214","GSM6765215","GSM6765225","GSM6765240"
"1","ENSG00000087586",30.08069895,31.305771,32.56133339,31.52315135,29.01579459,30.58028412,28.70456776,29.97275292,33.64873005,38.1406714,38.81725735,33.06601039
"2","ENSG00000117399",16.49586717,22.21699877,19.73414145,26.59765895,24.17982883,23.89084697,20.78606631,18.98274351,21.77270768,21.18926189,22.03141633,20.66625649
"3","ENSG00000134057",27.16966357,25.24658951,18.74743438,19.70196959,24.17982883,23.89084697,23.75550435,19.98183528,24.74171327,23.30818808,24.12964646,24.79950779
"4","ENSG00000138160",1.940690255,2.019727161,1.973414145,1.970196959,1.934386306,1.911267758,0.989812681,2.997275292,1.979337062,3.178389283,2.098230127,3.099938474
"5","ENSG00000142798",97.03451276,126.2329476,114.4580204,122.1522115,116.0631784,117.5429671,104.9201442,109.900094,109.8532069,85.81651064,91.27301052,80.59840033
"6","ENSG00000145386",7.762761021,6.059181483,5.920242435,7.880787837,7.737545225,7.645071031,8.908314131,5.994550583,5.938011185,7.416241661,7.343805444,8.266502597
"7","ENSG00000156970",0.970345128,2.019727161,1.973414145,1.970196959,1.934386306,2.866901637,1.979625362,1.998183528,1.979337062,1.059463094,2.098230127,2.066625649
"8","ENSG00000157456",4.851725638,5.049317903,2.960121218,3.940393919,4.835965765,5.733803273,4.949063406,3.996367056,4.948342654,5.297315472,5.245575317,7.233189773
"9","ENSG00000169679",2.911035383,2.019727161,1.973414145,1.970196959,2.901579459,1.911267758,1.979625362,1.998183528,1.979337062,3.178389283,2.098230127,2.066625649
"10","ENSG00000171848",1.940690255,2.019727161,1.973414145,2.955295439,3.868772612,3.822535515,3.959250725,2.997275292,3.958674123,4.237852377,4.196460254,3.099938474
"11","ENSG00000175029",11.64414153,13.12822655,12.82719194,13.79137872,12.57351099,12.42324042,11.87775217,12.98819293,11.87602237,11.65409404,11.5402657,12.3997539
"12","ENSG00000175063",4.851725638,5.049317903,5.920242435,8.865886317,8.704738378,5.733803273,4.949063406,6.993642347,5.938011185,9.535167849,7.343805444,4.133251299
"13","ENSG00000198431",213.4759281,188.8444896,201.2882428,187.1687111,188.6026649,190.1711419,185.0949714,198.819261,186.0576838,198.1195986,191.9880566,200.462688
