gene,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
WDR37,16.49586717,16.15781729,16.77402023,18.71687111,16.4422836,19.11267758,18.80644094,16.98455999,17.81403355,18.0108726,18.88407114,17.56631802
OGFR,28.1400087,35.34522532,31.57462632,29.55295439,29.98298775,32.49155188,35.63325652,33.96911997,32.65906152,30.72442974,29.37522178,32.03269757
ATP1B3,170.7807425,155.5189914,167.7402023,164.5114461,171.1931881,168.1915627,149.4617149,166.8483246,150.4296167,184.3465784,176.2513307,176.696493
CNOT4,12.61448666,11.10849939,10.8537778,11.82118176,10.63912468,11.46760655,12.86756486,10.9900094,11.87602237,10.59463094,11.5402657,12.3997539
OVGP1,21.34759281,19.18740803,18.74743438,19.70196959,18.37666991,19.11267758,18.80644094,22.97911057,19.79337062,23.30818808,23.0805314,24.79950779
NFAT5,20.37724768,14.13809013,16.77402023,17.73177263,19.34386306,20.06831146,18.80644094,18.98274351,15.83469649,20.12979879,18.88407114,21.69956932
NEFM,8.733106148,9.088772225,7.89365658,9.850984797,8.704738378,6.689437152,6.928688768,6.993642347,6.927679715,6.356778566,8.392920507,7.233189773
ICAM5,1.940690255,1.009863581,0.986707073,0.98509848,1.934386306,0.955633879,0.989812681,1.998183528,0.989668531,0,1.049115063,1.033312825
ELL,20.37724768,21.20713519,20.72084852,23.64236351,21.27824937,20.06831146,20.78606631,18.98274351,20.78303915,20.12979879,22.03141633,17.56631802
CLDN15,35.90276972,43.42413396,36.50816168,39.40393919,34.81895351,32.49155188,34.64344384,36.96639526,32.65906152,37.0812083,36.71902722,32.03269757
ATP5F1B,981.9892691,1026.021398,988.6804867,950.6200329,900.4568255,891.606409,926.4646696,994.0963051,939.1954357,922.7923552,891.7478039,820.4503828
FGFR1OP2,13.58483179,9.088772225,11.84048487,11.82118176,12.57351099,13.3788743,12.86756486,12.98819293,10.88635384,13.77302023,14.68761089,14.46637955
ITGB6,16.49586717,16.15781729,14.80060609,14.77647719,13.54070414,14.33450818,15.8370029,12.98819293,13.85535943,12.71355713,10.49115063,14.46637955
SLC8A2,0.970345128,2.019727161,0.986707073,0.98509848,1.934386306,0.955633879,0.989812681,0.999091764,0.989668531,1.059463094,2.098230127,2.066625649
PLAGL1,14.55517691,17.16768087,13.81389902,14.77647719,13.54070414,15.29014206,14.84719022,14.98637646,15.83469649,18.0108726,17.83495608,16.53300519
INHBA,1.940690255,2.019727161,1.973414145,1.970196959,1.934386306,0.955633879,1.979625362,0.999091764,1.979337062,1.059463094,2.098230127,2.066625649
TUBA1B,112.5600348,130.2724019,119.3915558,133.9733932,121.8663373,131.8774753,114.818271,121.8891952,119.7498922,127.1355713,118.5500022,121.9309133
DHX38,43.66553074,47.46358829,42.42840412,49.25492398,49.32685081,46.82606006,44.54157065,43.96003761,47.50408948,46.61637615,45.11194773,42.36582581
GATA6,60.16139791,64.63126916,61.1758385,55.16551486,57.06439603,51.60422946,58.39894819,51.95277172,56.41110625,43.43798687,50.35752304,48.56570276
XRCC4,20.37724768,15.14795371,17.76072731,18.71687111,22.24544252,21.02394533,17.81662826,18.98274351,20.78303915,22.24872498,24.12964646,25.83282062
UBXN7,20.37724768,16.15781729,19.73414145,19.70196959,20.31105621,20.06831146,21.77587899,17.98365175,18.80370208,22.24872498,22.03141633,23.76619497
ATP5MG,204.7428219,211.0614883,213.1287277,217.706764,211.8153005,210.2394533,218.7486025,222.7974634,210.7993971,239.4386593,227.6579688,215.9623804
ZNF212,5.822070765,10.09863581,9.867070725,8.865886317,8.704738378,10.51197267,9.898126812,9.990917639,8.907016777,9.535167849,9.442035571,7.233189773
BSG,472.5580771,592.7899218,515.0610919,537.8637699,517.4483369,516.0422946,563.2034156,512.5340749,554.2143772,512.7801377,523.5084166,492.8902174
IDH2,126.1448666,142.3907649,143.0725255,132.9882948,125.7351099,116.5873332,132.6348993,138.8737552,136.5742572,122.8977189,123.7955775,117.797662
CBX6,10.6737964,12.11836297,11.84048487,12.80628024,12.57351099,11.46760655,11.87775217,9.990917639,11.87602237,11.65409404,10.49115063,11.36644107
GM2A,82.47933584,84.82854077,80.90997995,84.71846925,76.40825909,80.27324582,77.20538913,77.92915758,76.20447687,80.51919517,83.92920507,83.6983388
