ID,WDR37,OGFR,ATP1B3,CNOT4,OVGP1,NFAT5,NEFM,ICAM5,ELL,CLDN15,ATP5F1B,FGFR1OP2,ITGB6,SLC8A2,PLAGL1,INHBA,TUBA1B,DHX38,GATA6,XRCC4,UBXN7,ATP5MG,ZNF212,BSG,IDH2,CBX6,GM2A,condition
GSM6765206,16.4958672,28.1400087,170.7807425,12.6144867,21.3475928,20.3772477,8.7331061,1.9406903,20.3772477,35.9027697,981.9892691,13.5848318,16.4958672,0.9703451,14.5551769,1.9406903,112.5600348,43.6655307,60.1613979,20.3772477,20.3772477,204.7428219,5.8220708,472.5580771,126.1448666,10.6737964,82.4793358,0
GSM6765207,16.157817,35.345225,155.518991,11.108499,19.187408,14.13809,9.088772,1.009864,21.207135,43.424134,1026.021398,9.088772,16.157817,2.019727,17.167681,2.019727,130.272402,47.463588,64.631269,15.147954,16.157817,211.061488,10.098636,592.789922,142.390765,12.118363,84.828541,0
GSM6765208,16.7740202,31.5746263,167.7402023,10.8537778,18.7474344,16.7740202,7.8936566,0.9867071,20.7208485,36.5081617,988.6804867,11.8404849,14.8006061,0.9867071,13.813899,1.9734141,119.3915558,42.4284041,61.1758385,17.7607273,19.7341414,213.1287277,9.8670707,515.0610919,143.0725255,11.8404849,80.9099799,0
GSM6765209,18.7168711,29.5529544,164.5114461,11.8211818,19.7019696,17.7317726,9.8509848,0.9850985,23.6423635,39.4039392,950.6200329,11.8211818,14.7764772,0.9850985,14.7764772,1.970197,133.9733932,49.254924,55.1655149,18.7168711,19.7019696,217.706764,8.8658863,537.8637699,132.9882948,12.8062802,84.7184692,1
GSM6765210,16.442284,29.982988,171.193188,10.639125,18.37667,19.343863,8.704738,1.934386,21.278249,34.818954,900.456826,12.573511,13.540704,1.934386,13.540704,1.934386,121.866337,49.326851,57.064396,22.245443,20.311056,211.815301,8.704738,517.448337,125.73511,12.573511,76.408259,1
GSM6765211,19.1126776,32.4915519,168.1915627,11.4676065,19.1126776,20.0683115,6.6894372,0.9556339,20.0683115,32.4915519,891.606409,13.3788743,14.3345082,0.9556339,15.2901421,0.9556339,131.8774753,46.8260601,51.6042295,21.0239453,20.0683115,210.2394533,10.5119727,516.0422946,116.5873332,11.4676065,80.2732458,1
GSM6765212,18.8064409,35.6332565,149.4617149,12.8675649,18.8064409,18.8064409,6.9286888,0.9898127,20.7860663,34.6434438,926.4646696,12.8675649,15.8370029,0.9898127,14.8471902,1.9796254,114.818271,44.5415706,58.3989482,17.8166283,21.775879,218.7486025,9.8981268,563.2034156,132.6348993,11.8777522,77.2053891,1
GSM6765213,16.98456,33.96912,166.8483246,10.9900094,22.9791106,18.9827435,6.9936423,1.9981835,18.9827435,36.9663953,994.0963051,12.9881929,12.9881929,0.9990918,14.9863765,0.9990918,121.8891952,43.9600376,51.9527717,18.9827435,17.9836517,222.7974634,9.9909176,512.5340749,138.8737552,9.9909176,77.9291576,1
GSM6765214,17.8140336,32.6590615,150.4296167,11.8760224,19.7933706,15.8346965,6.9276797,0.9896685,20.7830392,32.6590615,939.1954357,10.8863538,13.8553594,0.9896685,15.8346965,1.9793371,119.7498922,47.5040895,56.4111063,20.7830392,18.8037021,210.7993971,8.9070168,554.2143772,136.5742572,11.8760224,76.2044769,1
GSM6765215,18.010873,30.72443,184.346578,10.594631,23.308188,20.129799,6.356779,0,20.129799,37.081208,922.792355,13.77302,12.713557,1.059463,18.010873,1.059463,127.135571,46.616376,43.437987,22.248725,22.248725,239.438659,9.535168,512.780138,122.897719,11.654094,80.519195,1
