w,1,2,3,4,5,6,7,8,9,10
GSM6765206,30.0806989,16.4958672,27.1696636,1.9406903,7.762761,0.9703451,4.8517256,2.9110354,11.6441415,213.4759281
GSM6765207,31.305771,22.216999,25.24659,2.019727,6.059181,2.019727,5.049318,2.019727,13.128227,188.84449
GSM6765208,32.561333,19.734141,18.747434,1.973414,5.920242,1.973414,2.960121,1.973414,12.827192,201.288243
GSM6765209,31.523151,26.597659,19.70197,1.970197,7.880788,1.970197,3.940394,1.970197,13.791379,187.168711
GSM6765210,29.015795,24.179829,24.179829,1.934386,7.737545,1.934386,4.835966,2.901579,12.573511,188.602665
GSM6765211,30.580284,23.890847,23.890847,1.911268,7.645071,2.866902,5.733803,1.911268,12.42324,190.171142
GSM6765212,28.7045678,20.7860663,23.7555043,0.9898127,8.9083141,1.9796254,4.9490634,1.9796254,11.8777522,185.0949714
GSM6765213,29.972753,18.982744,19.981835,2.997275,5.994551,1.998184,3.996367,1.998184,12.988193,198.819261
GSM6765214,33.64873,21.772708,24.741713,1.979337,5.938011,1.979337,4.948343,1.979337,11.876022,186.057684
GSM6765215,38.140671,21.189262,23.308188,3.178389,7.416242,1.059463,5.297315,3.178389,11.654094,198.119599
GSM6765225,38.817257,22.031416,24.129646,2.09823,7.343805,2.09823,5.245575,2.09823,11.540266,191.988057
GSM6765240,33.06601,20.666256,24.799508,3.099938,8.266503,2.066626,7.23319,2.066626,12.399754,200.462688
GSM6765254,18.009913,48.401641,63.034695,10.130576,25.88925,9.004956,18.009913,7.879337,15.758674,56.280978
GSM6765268,13.595124,43.051225,64.576838,11.32927,18.126832,10.196343,20.392686,7.930489,16.993905,52.114641
GSM6765281,18.93316,42.32117,55.68575,10.02344,18.93316,8.90972,16.70573,8.90972,17.81944,53.45832
GSM6765294,7.740704,23.222112,37.597705,3.317445,9.952334,2.21163,11.058149,3.317445,27.645372,93.994263
GSM6765307,9.911128,26.429674,30.834619,3.303709,9.911128,3.303709,7.708655,2.202473,29.733383,90.301385
GSM6765321,11.044618,12.149079,36.447238,2.208924,5.522309,2.208924,9.940156,3.313385,28.716006,85.043556
GSM6765335,4.4649141,11.1622852,7.4415235,1.4883047,2.9766094,0.7441524,7.4415235,0.7441524,46.1374457,751.5938732
GSM6765349,1.4833116,11.8664925,8.8998694,0.7416558,2.2249673,1.4833116,3.7082789,1.4833116,41.5327237,697.89809
GSM6765363,2.9743764,11.1539115,10.4103174,0.7435941,3.7179705,0.7435941,3.7179705,0.7435941,42.3848638,739.8761311
GSM6765379,10.209981,24.503954,32.671939,3.062994,11.230979,5.104991,9.188983,3.062994,19.398964,87.805837
GSM6765393,9.400022,18.800044,33.4223,2.088894,6.266681,2.088894,10.444469,3.133341,17.755597,88.777984
GSM6765408,6.256919,36.498694,29.198955,4.171279,10.428198,1.04282,13.556658,3.128459,22.942036,90.725324
