initial_alias,converted_alias,name,description,namespace,,,,,From,To,Species,Gene Name,,,,,,4963,OFC1,Homo sapiens,orofacial cleft 1(OFC1),,,,,,,,,,,,fibro down,,,,,,,,,,mono up,,,,,,,,,mono down,,,
10060,ABCC9,ABCC9,ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60],ENTREZGENE_ACC,,,,,30491,c3a.2,Danio rerio,"complement C3a, tandem duplicate 2(c3a.2)",,,,,,2549,GAB1,Homo sapiens,GRB2 associated binding protein 1(GAB1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26027,ACOT11,ACOT11,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156],ENTREZGENE_ACC,,,,,30486,rxrbb,Danio rerio,"retinoid x receptor, beta b(rxrbb)",,,,,,23731,TMEM245,Homo sapiens,transmembrane protein 245(TMEM245),,,,,,,,,,,From,To,Species,Gene Name,,,,,,,,From,To,Species,Gene Name,,,,,,From,To,Species,Gene Name
148,ADRA1A,ADRA1A,adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277],ENTREZGENE_ACC,,,,,30485,mxi1,Danio rerio,"max interactor 1, dimerization protein(mxi1)",,,,,,22884,WDR37,Homo sapiens,WD repeat domain 37(WDR37),,,,,,,,,,,32202,hwt,Drosophila melanogaster,heavyweight(hwt),,,,,,,,30485,mxi1,Danio rerio,"max interactor 1, dimerization protein(mxi1)",,,,,,42762,CG4408,Drosophila melanogaster,uncharacterized protein(CG4408)
23287,AGTPBP1,AGTPBP1,ATP/GTP binding carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17258],ENTREZGENE_ACC,,,,,30488,csnk2a2a,Danio rerio,"casein kinase 2, alpha prime polypeptide a(csnk2a2a)",,,,,,4739,NEDD9,Homo sapiens,"neural precursor cell expressed, developmentally down-regulated 9(NEDD9)",,,,,,,,,,,32208,CG1824,Drosophila melanogaster,uncharacterized protein(CG1824),,,,,,,,30488,csnk2a2a,Danio rerio,"casein kinase 2, alpha prime polypeptide a(csnk2a2a)",,,,,,42648,CG5376,Drosophila melanogaster,uncharacterized protein(CG5376)
10840,ALDH1L1,ALDH1L1,aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978],ENTREZGENE_ACC,,,,,30489,bfb,Danio rerio,complement component bfb(bfb),,,,,,10667,FARS2,Homo sapiens,"phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)",,,,,,,,,,,40299,tzn,Drosophila melanogaster,tenzing norgay(tzn),,,,,,,,30487,znf6,Danio rerio,zinc finger-6 type gene(znf6),,,,,,35397,CG8677,Drosophila melanogaster,uncharacterized protein(CG8677)
9068,ANGPTL1,ANGPTL1,angiopoietin like 1 [Source:HGNC Symbol;Acc:HGNC:489],ENTREZGENE_ACC,,,,,30696,nkx2.5,Danio rerio,NK2 homeobox 5(nkx2.5),,,,,,4730,NDUFV2P1,Homo sapiens,NADH:ubiquinone oxidoreductase core subunit V2 pseudogene 1(NDUFV2P1),,,,,,,,,,,42906,CG18528,Drosophila melanogaster,uncharacterized protein(CG18528),,,,,,,,30530,rxrba,Danio rerio,"retinoid x receptor, beta a(rxrba)",,,,,,40743,CG15580,Drosophila melanogaster,uncharacterized protein(CG15580)
23452,ANGPTL2,ANGPTL2,angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490],ENTREZGENE_ACC,,,,,30671,hsp70.3,Danio rerio,"heat shock cognate 70-kd protein, tandem duplicate 3(hsp70.3)",,,,,,4736,RPL10A,Homo sapiens,ribosomal protein L10a(RPL10A),,,,,,,,,,,36699,Arf6,Drosophila melanogaster,ADP ribosylation factor 6(Arf6),,,,,,,,30532,pax3a,Danio rerio,paired box 3a(pax3a),,,,,,41710,Npc2b,Drosophila melanogaster,Niemann-Pick type C-2b(Npc2b)
23782,AP1B1P1,AP1B1P1,AP1B1 pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:23782],ENTREZGENE_ACC,,,,,30670,thraa,Danio rerio,thyroid hormone receptor alpha a(thraa),,,,,,4741,NEFM,Homo sapiens,neurofilament medium chain(NEFM),,,,,,,,,,,43079,MED28,Drosophila melanogaster,Mediator complex subunit 28(MED28),,,,,,,,30527,msx1a,Danio rerio,muscle segment homeobox 1a(msx1a),,,,,,40746,Obp83cd,Drosophila melanogaster,Odorant-binding protein 83cd(Obp83cd)
10297,APC2,APC2,APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036],ENTREZGENE_ACC,,,,,30271,nr1d2b,Danio rerio,"nuclear receptor subfamily 1, group D, member 2b(nr1d2b)",,,,,,4745,NELL1,Homo sapiens,neural EGFL like 1(NELL1),,,,,,,,,,,38849,CG14837,Drosophila melanogaster,uncharacterized protein(CG14837),,,,,,,,30529,sox3,Danio rerio,SRY-box transcription factor 3(sox3),,,,,,42646,Nrx-1,Drosophila melanogaster,Neurexin 1(Nrx-1)
8862,APLN,APLN,apelin [Source:HGNC Symbol;Acc:HGNC:16665],ENTREZGENE_ACC,,,,,30666,psmb8a,Danio rerio,proteasome 20S subunit beta 8A(psmb8a),,,,,,3658,IREB2,Homo sapiens,iron responsive element binding protein 2(IREB2),,,,,,,,,,,38843,CG7548,Drosophila melanogaster,uncharacterized protein(CG7548),,,,,,,,30525,foxd2,Danio rerio,forkhead box D2(foxd2),,,,,,40745,Gasp,Drosophila melanogaster,gasp(Gasp)
9826,ARHGEF11,ARHGEF11,Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580],ENTREZGENE_ACC,,,,,30667,mtnr1aa,Danio rerio,melatonin receptor 1A a(mtnr1aa),,,,,,4747,NEFL,Homo sapiens,neurofilament light chain(NEFL),,,,,,,,,,,41207,CG9467,Drosophila melanogaster,uncharacterized protein(CG9467),,,,,,,,30299,ihhb,Danio rerio,Indian hedgehog signaling molecule b(ihhb),,,,,,35679,dpa,Drosophila melanogaster,disc proliferation abnormal(dpa)
9828,ARHGEF17,ARHGEF17,Rho guanine nucleotide exchange factor 17 [Source:HGNC Symbol;Acc:HGNC:21726],ENTREZGENE_ACC,,,,,30628,smad1,Danio rerio,SMAD family member 1(smad1),,,,,,4761,NEUROD2,Homo sapiens,neuronal differentiation 2(NEUROD2),,,,,,,,,,,31649,CG4593,Drosophila melanogaster,uncharacterized protein(CG4593),,,,,,,,37690,Prosbeta5R1,Drosophila melanogaster,Proteasome beta5 subunit-related 1(Prosbeta5R1),,,,,,39919,Rbp6,Drosophila melanogaster,RNA-binding protein 6(Rbp6)
9070,ASH2L,ASH2L,"ASH2 like, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]",ENTREZGENE_ACC,,,,,30602,sox11a,Danio rerio,SRY-box transcription factor 11a(sox11a),,,,,,825,CAPN3,Homo sapiens,calpain 3(CAPN3),,,,,,,,,,,39235,CG32069,Drosophila melanogaster,uncharacterized protein(CG32069),,,,,,,,37691,CG30412,Drosophila melanogaster,uncharacterized protein(CG30412),,,,,,41706,Cyp6d5,Drosophila melanogaster,Cytochrome P450 6d5(Cyp6d5)
10533,ATG7,ATG7,autophagy related 7 [Source:HGNC Symbol;Acc:HGNC:16935],ENTREZGENE_ACC,,,,,30530,rxrba,Danio rerio,"retinoid x receptor, beta a(rxrba)",,,,,,826,CAPNS1,Homo sapiens,calpain small subunit 1(CAPNS1),,,,,,,,,,,35799,LRP1,Drosophila melanogaster,LDL receptor protein 1(LRP1),,,,,,,,37692,CG9861,Drosophila melanogaster,uncharacterized protein(CG9861),,,,,,35399,l(2)k14505,Drosophila melanogaster,lethal (2) k14505(l(2)k14505)
550,AUP1,AUP1,AUP1 lipid droplet regulating VLDL assembly factor [Source:HGNC Symbol;Acc:HGNC:891],ENTREZGENE_ACC,,,,,30531,msx2b,Danio rerio,muscle segment homeobox 2b(msx2b),,,,,,827,CAPN6,Homo sapiens,calpain 6(CAPN6),,,,,,,,,,,33817,Acp26Aa,Drosophila melanogaster,Accessory gland protein 26Aa(Acp26Aa),,,,,,,,40502,CG32459,Drosophila melanogaster,uncharacterized protein(CG32459),,,,,,43050,CG11878,Drosophila melanogaster,uncharacterized protein(CG11878)
9790,BMS1,BMS1,BMS1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:23505],ENTREZGENE_ACC,,,,,30527,msx1a,Danio rerio,muscle segment homeobox 1a(msx1a),,,,,,828,CAPS,Homo sapiens,calcyphosine(CAPS),,,,,,,,,,,34903,esg,Drosophila melanogaster,escargot(esg),,,,,,,,40506,Arf1,Drosophila melanogaster,ADP ribosylation factor 1(Arf1),,,,,,39119,CG3335,Drosophila melanogaster,uncharacterized protein(CG3335)
8927,BSN,BSN,bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:1117],ENTREZGENE_ACC,,,,,30526,msx3,Danio rerio,muscle segment homeobox 3(msx3),,,,,,829,CAPZA1,Homo sapiens,capping actin protein of muscle Z-line subunit alpha 1(CAPZA1),,,,,,,,,,,31625,nonC,Drosophila melanogaster,no-on-and-no-off transient C(nonC),,,,,,,,40504,CG33169,Drosophila melanogaster,uncharacterized protein(CG33169),,,,,,42598,BomT3,Drosophila melanogaster,Bomanin Tailed 3(BomT3)
