sample_id,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000141646,10.13057601,11.32926974,12.25086556,22.11629729,26.42967353,22.08923528,26.78948459,26.69960812,26.76938766,22.46195827,25.06672484,25.02767571
ENSG00000175029,15.7586738,16.99390462,17.81944081,27.64537162,29.73338272,28.71600586,46.13744568,41.53272374,42.38486379,19.39896396,17.75559676,22.94203607
ENSG00000198431,56.28097784,52.11464082,53.45832244,93.99426349,90.30138455,85.04355582,751.5938732,697.89809,739.8761311,87.80583688,88.77798382,90.72532447
ENSG00000142798,11.25619557,11.32926974,12.25086556,16.58722297,15.41730956,14.35800293,23.81287519,28.92457546,26.02579356,15.31497155,15.66670303,17.72793696
ENSG00000145386,25.88924981,18.12683159,18.93315586,9.952333782,9.911127572,5.522308819,2.976609399,2.224967343,3.717970508,11.23097914,6.266681211,10.42819821
ENSG00000134057,63.03469518,64.57683754,55.68575254,37.5977054,30.83461911,36.44723821,7.441523497,8.899869373,10.41031742,32.6719393,33.42229979,29.198955
ENSG00000157456,18.00991291,20.39268554,16.70572576,11.05814865,7.708654778,9.940155875,7.441523497,3.708278905,3.717970508,9.188982929,10.44446868,13.55665768
ENSG00000156970,9.004956455,10.19634277,8.909720406,2.211629729,3.303709191,2.208923528,0.74415235,1.483311562,0.743594102,5.104990516,2.088893737,1.042819821
ENSG00000169679,7.879336898,7.930488821,8.909720406,3.317444594,2.202472794,3.313385292,0.74415235,1.483311562,0.743594102,3.06299431,3.133340605,3.128459464
ENSG00000087586,18.00991291,13.59512369,18.93315586,7.740704052,9.911127572,11.04461764,4.464914098,1.483311562,2.974376407,10.20998103,9.400021816,6.256918929
ENSG00000138160,10.13057601,11.32926974,10.02343546,3.317444594,3.303709191,2.208923528,1.488304699,0.741655781,0.743594102,3.06299431,2.088893737,4.171279286
ENSG00000117399,48.40164095,43.05122503,42.32117193,23.22211216,26.42967353,12.1490794,11.16228524,11.8664925,11.15391152,24.50395448,18.80004363,36.49869375
ENSG00000171848,10.13057601,9.063415796,10.02343546,2.211629729,2.202472794,2.208923528,0.74415235,0.741655781,1.487188203,3.06299431,2.088893737,3.128459464
ENSG00000175063,37.14544538,33.98780923,32.29773647,72.98378107,73.78283859,68.47662936,10.4181329,10.38318093,11.89750563,43.90291844,39.688981,38.58433339
